time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-09-22,,,,,,1699069490.3721
2025-09-23,,,,,,1630510956.17285
2025-09-24,,,,,,521369555.765489
2025-09-25,,,,,,293316360.578662
2025-09-26,,,,,,341011473.224287
2025-09-27,,,,,,177417100.940732
2025-09-28,,,,,,133344908.288788
2025-09-29,,,,,,170236897.197801
2025-09-30,,,,,,124128165.786526
2025-10-01,,,,,,264023459.436225
2025-10-02,,,,,,114397766.021033
2025-10-03,,,,,,343536363.349065
2025-10-04,,,,,,140142092.326827
2025-10-05,,,,,,137216933.482045
2025-10-06,,,,,,219254504.457313
2025-10-07,,,,,,163789476.054178
2025-10-08,,,,,,235602728.999983
2025-10-09,,,,,,50195396.3792678
2025-10-10,,,,,,121132023.65091
2025-10-11,,,,,,63540599.3868487
2025-10-12,,,,,,59522175.7374025
2025-10-13,,,,,,44617101.8498014
2025-10-14,,,,,,48481666.7189984
2025-10-15,,,,,,35173132.1328627
2025-10-16,,,,,,39478009.2994219
2025-10-17,,,,,,43007411.6170657
2025-10-18,,,,,,18691786.6599966
2025-10-19,,,,,,26654672.5511811
2025-10-20,,,,,,37085455.3326012
2025-10-21,,,,,,138017232.246148
2025-10-22,,,,,,33779609.6472408
2025-10-23,,,,,,26759291.1307747
2025-10-24,1.75357987234549,0.0000159328088909215,0.0004547552790214,1.50944076575198,1.75357987234549,31480052.8963362
2025-10-25,1.76435140821218,0.0000158914867074175,0.000448609778636336,1.51735684408366,1.76435140821218,22404536.489698
2025-10-26,1.75786991774411,0.0000157494711977792,0.000444465423209583,1.5112412994655,1.75786991774411,16843628.1312653
2025-10-27,1.76281084066568,0.0000153880539362355,0.000423115675346719,1.51430507015898,1.76281084066568,29815740.1023406
2025-10-28,1.59353245623472,0.0000139676005858193,0.000386881631762326,1.36737544998263,1.59353245623472,38811367.3792393
2025-10-29,1.56658525837962,0.000013865956350371,0.000393182908099124,1.34518792677768,1.56658525837962,29056230.6911007
2025-10-30,1.4709535622843,0.0000133472670967241,0.000376892707023711,1.26776916751283,1.4709535622843,
