time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-11-12,,,,,,4067250.47065859
2025-11-13,,,,,,7674533.07212806
2025-11-14,,,,,,9784740.23921413
2025-11-15,,,,,,4058799.68569745
2025-11-16,,,,,,5268762.40187266
2025-11-17,,,,,,8152762.96601454
2025-11-18,,,,,,10108627.679696
2025-11-19,,,,,,7447438.50641866
2025-11-20,,,,,,8034511.20151693
2025-11-21,,,,,,10822103.5522202
2025-11-22,,,,,,3605834.76227814
2025-11-23,,,,,,5047247.34390648
2025-11-24,,,,,,7083734.77057664
2025-11-25,,,,,,11508984.7588769
2025-11-26,,,,,,14820659.0351172
2025-11-27,,,,,,13175165.2131317
2025-11-28,,,,,,13186789.6282265
2025-11-29,,,,,,8449327.66788244
2025-11-30,,,,,,10503720.5122745
2025-12-01,,,,,,19607801.3144624
2025-12-02,,,,,,17049335.0718807
2025-12-03,,,,,,16675892.5353103
2025-12-04,,,,,,11078023.1525051
2025-12-05,,,,,,7275301.12356712
2025-12-06,,,,,,4213416.46396522
2025-12-07,,,,,,4625020.21733863
2025-12-08,,,,,,6210669.35669905
2025-12-09,,,,,,7319345.39353767
2025-12-10,,,,,,7576667.10971302
2025-12-11,,,,,,7702803.07721865
2025-12-12,,,,,,5889708.28576119
2025-12-13,,,,,,2894206.3416746
2025-12-14,,,,,,3635371.82880119
2025-12-15,,,,,,4646196.36921415
2025-12-16,,,,,,3462429.02083174
2025-12-17,,,,,,3784371.50714605
2025-12-18,,,,,,6993334.80747387
2025-12-19,,,,,,7029218.96612133
2025-12-20,,,,,,2385110.55277071
2025-12-21,,,,,,6277799.50790004
2025-12-22,,,,,,5857111.50928174
2025-12-23,,,,,,5578403.91824194
2025-12-24,,,,,,3885419.44416535
2025-12-25,,,,,,3196335.84597242
2025-12-26,,,,,,6030592.38529497
2025-12-27,,,,,,2185696.10132377
2025-12-28,,,,,,2060340.00267598
2025-12-29,,,,,,7086718.71274845
2025-12-30,,,,,,4816671.05253928
2025-12-31,,,,,,4818404.44957012
2026-01-01,,,,,,3012063.53549417
2026-01-02,,,,,,6915656.55217628
2026-01-03,,,,,,3585541.5552509
2026-01-04,,,,,,5365727.87214802
2026-01-05,,,,,,7801592.45647823
2026-01-06,,,,,,7172718.85093671
2026-01-07,,,,,,6417340.729604
2026-01-08,,,,,,7126351.17917753
2026-01-09,,,,,,5537550.06090601
2026-01-10,,,,,,2670734.59377947
2026-01-11,,,,,,4426197.42201597
2026-01-12,0.0234261508280956,0.000000258232718792856,0.00000752636119670389,0.0201557195692534,0.0234261508280956,6249277.00540226
2026-01-13,0.0224476177982013,0.000000246295091025425,0.0000072620797505282,0.0192422895721403,0.0224476177982013,7424933.99795368
2026-01-14,0.0242057896267864,0.000000253983705491487,0.00000728585623712097,0.020781632531373,0.0242057896267864,9092178.9045981
2026-01-15,0.0233764033172368,0.000000240884599454449,0.0000069645204440805,0.0200753830988895,0.0233764033172368,8065174.89709997
2026-01-16,0.0254784429266088,0.000000266661143992108,0.00000768686938411082,0.0219525292885682,0.0254784429266088,4753264.48904146
2026-01-17,0.0267845431350456,0.000000280498347258933,0.00000812782421490965,0.0230937538147585,0.0267845431350456,2233012.80803638
2026-01-18,0.0261070747422286,0.000000274502193374717,0.00000789466715286885,0.0225350070413625,0.0261070747422286,
