time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2026-01-21,,,,,,11008865.4894699
2026-01-22,,,,,,11113205.7725952
2026-01-23,,,,,,24539914.2285134
2026-01-24,,,,,,15714449.2204532
2026-01-25,,,,,,7801945.91767096
2026-01-26,,,,,,17073351.804819
2026-01-27,,,,,,6534388.28975533
2026-01-28,,,,,,6509795.00577097
2026-01-29,,,,,,5892632.0730067
2026-01-30,,,,,,8321760.51469535
2026-01-31,,,,,,6535755.85937529
2026-02-01,,,,,,5945942.60650486
2026-02-02,,,,,,4571217.81839709
2026-02-03,,,,,,3964871.96738799
2026-02-04,,,,,,2927637.72497927
2026-02-05,,,,,,1739954.64521329
2026-02-06,,,,,,1766603.18585493
2026-02-07,,,,,,2727378.91838167
2026-02-08,,,,,,1636848.51667935
2026-02-09,,,,,,3375769.52684188
2026-02-10,,,,,,1409675.00222785
2026-02-11,,,,,,2428837.99363906
2026-02-12,,,,,,1956470.49691461
2026-02-13,,,,,,1559730.3520451
2026-02-14,,,,,,706767.041726185
2026-02-15,,,,,,1102466.15733917
2026-02-16,,,,,,707604.291745276
2026-02-17,,,,,,477696.299907593
2026-02-18,,,,,,454397.497479783
2026-02-19,,,,,,421451.927595192
2026-02-20,,,,,,852950.442302192
2026-02-21,,,,,,1397209.63132235
2026-02-22,,,,,,2024563.53118098
2026-02-23,,,,,,518342.41485033
2026-02-24,,,,,,597018.640330133
2026-02-25,,,,,,804551.706470635
2026-02-26,,,,,,417346.71894184
2026-02-27,,,,,,1089802.43745801
2026-02-28,,,,,,777212.526949276
2026-03-01,,,,,,429667.65344328
2026-03-02,,,,,,538687.085844686
2026-03-03,,,,,,545425.567212415
2026-03-04,,,,,,685017.314943312
2026-03-05,,,,,,480831.938881993
2026-03-06,,,,,,748416.211446244
2026-03-07,,,,,,349680.7892747
2026-03-08,,,,,,252861.14123081
2026-03-09,,,,,,396059.547187605
2026-03-10,,,,,,449755.588327979
2026-03-11,,,,,,400082.412007845
2026-03-12,,,,,,333477.562092091
2026-03-13,,,,,,374131.133845162
2026-03-14,,,,,,313877.145771443
2026-03-15,,,,,,279376.173930281
2026-03-16,,,,,,379167.958797004
2026-03-17,,,,,,546190.439507495
2026-03-18,,,,,,342802.734170923
2026-03-19,,,,,,410006.022676453
2026-03-20,,,,,,302343.601690425
2026-03-21,,,,,,361255.156612328
2026-03-22,,,,,,208230.969195911
2026-03-23,,,,,,163995.579185386
2026-03-24,,,,,,251788.390368621
2026-03-25,,,,,,251265.157602624
2026-03-26,,,,,,182907.030901303
2026-03-27,,,,,,175896.607457898
2026-03-28,,,,,,417049.385355773
2026-03-29,,,,,,192368.478049152
2026-03-30,,,,,,258741.588771222
2026-03-31,,,,,,305733.863767773
2026-04-01,,,,,,224163.452622626
2026-04-02,,,,,,186144.847914109
2026-04-03,,,,,,253277.031970121
2026-04-04,,,,,,293395.412258963
2026-04-05,,,,,,246972.392056258
2026-04-06,,,,,,292837.803532046
2026-04-07,,,,,,248092.855812927
2026-04-08,,,,,,204529.529506664
2026-04-09,,,,,,378125.693784612
2026-04-10,,,,,,247200.476944132
2026-04-11,,,,,,166193.972449547
2026-04-12,,,,,,323975.426515178
2026-04-13,,,,,,1097085.69836756
2026-04-14,,,,,,1297400.20116242
2026-04-15,,,,,,585003.007989634
2026-04-16,,,,,,714415.424762941
2026-04-17,,,,,,569708.257443572
2026-04-18,,,,,,511198.345588814
2026-04-19,,,,,,266259.339016732
2026-04-20,,,,,,193178.575153881
2026-04-21,,,,,,619693.472608537
2026-04-22,,,,,,1074401.80947338
2026-04-23,,,,,,801942.435739085
2026-04-24,,,,,,641091.57809706
2026-04-25,0.0959785632730916,0.00000123932428014474,0.000041448353726184,0.0818985503078282,0.0959785632730916,353700.484819213
2026-04-26,0.0934642920339985,0.00000120405332592395,0.0000402989014545786,0.0798025214378518,0.0934642920339985,256597.005102605
2026-04-27,0.0948137959580488,0.00000120722277551491,0.0000400257127107181,0.0809989614860277,0.0948137959580488,468230.646198689
2026-04-28,0.0927880647274893,0.00000120104209156575,0.0000403788590181177,0.079171411539679,0.0927880647274893,313412.018473023
2026-04-29,0.0905590134282375,0.00000118695042949694,0.0000395888042788909,0.0773126523466527,0.0905590134282375,254500.072979065
2026-04-30,0.0883399133737301,0.00000116551094254158,0.000039190700952028,0.0756406701258621,0.0883399133737301,424203.073567529
2026-05-01,0.0935078478962266,0.00000122553497174412,0.0000414372107475265,0.0797364939434202,0.0935078478962266,
