time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-12-09,,,,,,,1105841.30857966
2025-12-10,,,,,,,3197317.45375526
2025-12-11,104896845.964032598499048,,,,,,733480.950725661
2025-12-12,105816902.8436915046120384,,,,,,2017238.92085892
2025-12-13,105820966.8925640838842864,,,,,,1044762.45662642
2025-12-14,105536211.363744268104384,,,,,,1161632.58138627
2025-12-15,105152606.0988705152086552,,,,,,291964.164602273
2025-12-16,105705156.016980635897084,,,,,,1593694.98238335
2025-12-17,108784163.3897111407771864,,,,,,5019578.53111822
2025-12-18,110864077.2828079280054824,,,,,,4605291.8611942
2025-12-19,120938817.5456996280707952,,,,,,6094983.0552888
2025-12-20,120571027.6610070988601736,,,,,,13685164.3930366
2025-12-21,124604327.4794450593336096,,,,,,30793142.1933131
2025-12-22,111902317.5661404139168048,,,,,,2896198.52317975
2025-12-23,113870326.508137668803128,,,,,,1961917.91295937
2025-12-24,114218909.1152797211827816,,,,,,41553.2337553881
2025-12-25,114199581.507073483521556,,,,,,32906.7292805099
2025-12-26,114623449.6438403714088208,,,,,,35866.8481012703
2025-12-27,114618502.6525285674566616,,,,,,19777.2567997979
2025-12-28,114369882.3124558949311792,,,,,,6780.25134794932
2025-12-29,119091930.7500960772134048,,,,,,175860.838703313
2025-12-30,117364338.1648931618594536,,,,,,124780.421392663
2025-12-31,115363676.8821370570349504,,,,,,90411.5920852059
2026-01-01,117474092.1883085412622144,,,,,,69756.1305025405
2026-01-02,117847027.7196527889997376,,,,,,12470.9805109475
2026-01-03,119164420.9605148942964144,1.21036335250328,0.0000134574263722157,0.000387407765881013,1.03318306915026,1.21036335250328,42144.9029709546
2026-01-04,122850077.0118781519417944,1.22389381254482,0.0000135090405295298,0.000391615228098595,1.04527687052356,1.22389381254482,98401.1987833428
2026-01-05,123897841.1038703823110544,1.26174782635257,0.0000138107606182035,0.00040181548870087,1.07820456609522,1.26174782635257,29826.2036219178
2026-01-06,124177373.5979696,1.27250902486182,0.0000135447389980993,0.000394007845363131,1.08620948483932,1.27250902486182,31733.2728360786
2026-01-07,124099774.2784881308689608,1.27538,0.0000136295988925949,0.000387531243132789,1.09137534835897,1.27538,152768.467570617
2026-01-08,128481815.07409507104724,1.27458300601299,0.0000139743185128702,0.000402911913386633,1.09203611785414,1.27458300601299,177243.892925621
2026-01-09,,1.3195893306595,0.0000144855543562804,0.000424427018517435,1.13225442322672,1.3195893306595,
