time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-11-04,,,,,,128110.841116375
2025-11-05,,,,,,96035.0668014798
2025-11-06,,,,,,44667.3467202469
2025-11-07,,,,,,102924.959593659
2025-11-08,,,,,,76902.8740128935
2025-11-09,,,,,,1111651.7670321
2025-11-10,,,,,,3656661.3148273
2025-11-11,,,,,,1346200.88449055
2025-11-12,,,,,,193140.261695696
2025-11-13,,,,,,156867.150727664
2025-11-14,,,,,,164361.965215989
2025-11-15,,,,,,154848.510850072
2025-11-16,,,,,,73207.155752064
2025-11-17,,,,,,38788.3177360206
2025-11-18,,,,,,70057.2423437474
2025-11-19,,,,,,53886.2242093506
2025-11-20,,,,,,822956.46041702
2025-11-21,,,,,,221101.879609013
2025-11-22,,,,,,64991.9919521069
2025-11-23,,,,,,35771.3033774042
2025-11-24,,,,,,318811.438772465
2025-11-25,,,,,,60400.6720822515
2025-11-26,,,,,,49498.7365400774
2025-11-27,,,,,,304403.394729485
2025-11-28,,,,,,327504.64655157
2025-11-29,,,,,,54434.5747144281
2025-11-30,,,,,,49614.7613031115
2025-12-01,,,,,,57281.4605611409
2025-12-02,,,,,,37622.952802078
2025-12-03,,,,,,24507.4866798514
2025-12-04,,,,,,25965.9217863404
2025-12-05,,,,,,31085.7427986331
2025-12-06,,,,,,19045.5017689466
2025-12-07,,,,,,36538.1588629627
2025-12-08,,,,,,135814.031421866
2025-12-09,,,,,,230445.880169704
2025-12-10,,,,,,64697.5920552169
2025-12-11,,,,,,51626.7882069192
2025-12-12,,,,,,27503.4739580359
2025-12-13,,,,,,17760.1373909264
2025-12-14,,,,,,210279.242320389
2025-12-15,,,,,,271791.876839612
2025-12-16,,,,,,110302.872206887
2025-12-17,,,,,,101916.37268211
2025-12-18,,,,,,37519.5687335471
2025-12-19,,,,,,50608.5127068042
2025-12-20,,,,,,1210282.34582488
2025-12-21,,,,,,2324133.21354305
2025-12-22,,,,,,330714.971059202
2025-12-23,,,,,,133715.865573416
2025-12-24,,,,,,81979.9383288316
2025-12-25,,,,,,130520.65151498
2025-12-26,,,,,,59996.2498212807
2025-12-27,,,,,,63329.0932920378
2025-12-28,,,,,,134117.085736465
2025-12-29,,,,,,79948.3331054082
2025-12-30,,,,,,43316.5569309753
2025-12-31,,,,,,2005604.8291727
2026-01-01,,,,,,5700488.32003844
2026-01-02,,,,,,620164.320919165
2026-01-03,,,,,,253845.421534338
2026-01-04,,,,,,133042.000877332
2026-01-05,,,,,,126323.534806806
2026-01-06,,,,,,246847.500317303
2026-01-07,,,,,,176524.915447868
2026-01-08,,,,,,66915.8601396475
2026-01-09,,,,,,51981.1656180151
2026-01-10,,,,,,24435.4994487898
2026-01-11,,,,,,256301.315539478
2026-01-12,,,,,,38926.9600464728
2026-01-13,,,,,,49536.1233159853
2026-01-14,,,,,,43336.0152155966
2026-01-15,,,,,,280973.616327926
2026-01-16,,,,,,103689.547754787
2026-01-17,,,,,,40960.7741153942
2026-01-18,,,,,,53321.4743659339
2026-01-19,,,,,,257685.299872665
2026-01-20,,,,,,50442.4139369172
2026-01-21,,,,,,441661.979226315
2026-01-22,,,,,,73792.515644814
2026-01-23,,,,,,72802.2148204012
2026-01-24,,,,,,64251.0439712852
2026-01-25,,,,,,303637.736792662
2026-01-26,,,,,,274803.284748205
2026-01-27,,,,,,51270.9379840647
2026-01-28,,,,,,436540.561668525
2026-01-29,,,,,,556274.106433736
2026-01-30,,,,,,136850.269527681
2026-01-31,,,,,,62686.9693205201
2026-02-01,,,,,,97268.8316551375
2026-02-02,,,,,,84298.8502249346
2026-02-03,,,,,,313484.863512618
2026-02-04,,,,,,43107.197133128
2026-02-05,,,,,,99560.627912309
2026-02-06,,,,,,81881.6339970642
2026-02-07,,,,,,3188011.30903577
2026-02-08,,,,,,3240924.29087533
2026-02-09,,,,,,553165.141001203
2026-02-10,,,,,,152688.067641372
2026-02-11,,,,,,106315.429555686
2026-02-12,0.000600523128483427,0.00000000896440765887164,0.00000030953869426468,0.000505956565286464,0.000600523128483427,57953.1081931115
2026-02-13,0.000610131663865949,0.00000000921349192637097,0.000000313715519268174,0.000514321226176719,0.000610131663865949,144881.694515044
2026-02-14,0.000646303535284848,0.00000000938564682577226,0.000000315498971799532,0.000544915407247089,0.000646303535284848,223407.271551585
2026-02-15,0.000629821141785959,0.00000000902347385025781,0.000000301835158530287,0.000531784882085717,0.000629821141785959,65590.5423204251
2026-02-16,0.000633397441482233,0.00000000922916816071855,0.000000323115456186009,0.000534182476659735,0.000633397441482233,321687.917908691
2026-02-17,0.000634311840121514,0.00000000922669787137781,0.000000317729107130403,0.000535492767624307,0.000634311840121514,47466.8397008568
2026-02-18,0.00061717725566438,0.00000000914728980682023,0.000000309760965185044,0.000520952183505598,0.00061717725566438,
