time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2024-03-13,,,,,,720485963.019945
2024-03-14,,,,,,304778985.260033
2024-03-15,,,,,,266382522.888464
2024-03-16,,,,,,323870057.199493
2024-03-17,,,,,,160495220.669255
2024-03-18,,,,,,228161022.940663
2024-03-19,,,,,,198999961.282328
2024-03-20,,,,,,175030188.975082
2024-03-21,,,,,,126804105.413564
2024-03-22,,,,,,83175808.3957147
2024-03-23,,,,,,78618543.6086198
2024-03-24,,,,,,59565611.8165927
2024-03-25,,,,,,90599555.202572
2024-03-26,,,,,,105890089.808566
2024-03-27,,,,,,475723622.730641
2024-03-28,,,,,,418354294.118044
2024-03-29,,,,,,192075076.317488
2024-03-30,,,,,,130163739.856304
2024-03-31,,,,,,104665220.157315
2024-04-01,,,,,,157873950.259137
2024-04-02,,,,,,317259785.962922
2024-04-03,,,,,,208930370.699938
2024-04-04,,,,,,139379574.726746
2024-04-05,,,,,,125045746.120712
2024-04-06,,,,,,76098252.6279777
2024-04-07,,,,,,114317159.456627
2024-04-08,,,,,,130802488.391415
2024-04-09,,,,,,121817194.569493
2024-04-10,,,,,,126847579.914602
2024-04-11,,,,,,78026077.6018513
2024-04-12,,,,,,165862277.869686
2024-04-13,,,,,,119533027.52621
2024-04-14,,,,,,93874688.4699194
2024-04-15,,,,,,69245340.4170239
2024-04-16,,,,,,56914273.4972364
2024-04-17,,,,,,45965900.826746
2024-04-18,,,,,,46244647.5700041
2024-04-19,,,,,,53805153.2166503
2024-04-20,,,,,,54775166.6784676
2024-04-21,,,,,,79522656.0335437
2024-04-22,,,,,,74129046.3197052
2024-04-23,,,,,,54973538.5550733
2024-04-24,,,,,,66259892.8752261
2024-04-25,,,,,,61432799.6073831
2024-04-26,,,,,,39172051.7750129
2024-04-27,,,,,,41808478.3988352
2024-04-28,,,,,,41811663.6594971
2024-04-29,,,,,,39226890.8888167
2024-04-30,,,,,,46195517.6725401
2024-05-01,,,,,,52709965.8261079
2024-05-02,,,,,,39923985.2691825
2024-05-03,,,,,,53147433.3686769
2024-05-04,,,,,,34354940.3505337
2024-05-05,,,,,,29346696.509029
2024-05-06,,,,,,40496911.1636923
2024-05-07,,,,,,38589725.6366384
2024-05-08,,,,,,37659691.1111329
2024-05-09,,,,,,31131760.6703773
2024-05-10,,,,,,35941666.9813389
2024-05-11,,,,,,26987556.8362585
2024-05-12,,,,,,26080521.2107007
2024-05-13,,,,,,53974266.6551715
2024-05-14,,,,,,42170535.7096919
2024-05-15,,,,,,246443793.804271
2024-05-16,,,,,,148351628.396157
2024-05-17,,,,,,77005789.3713134
2024-05-18,,,,,,57091638.532331
2024-05-19,,,,,,58899737.2258444
2024-05-20,,,,,,67386888.3419848
2024-05-21,,,,,,147706808.227982
2024-05-22,,,,,,75338692.6764074
2024-05-23,,,,,,93735272.3818912
2024-05-24,,,,,,72203938.6584354
2024-05-25,,,,,,45220247.457776
2024-05-26,,,,,,51322219.3241371
2024-05-27,,,,,,68667148.2781874
2024-05-28,,,,,,80279889.9424663
2024-05-29,,,,,,55772892.6821476
2024-05-30,,,,,,47950152.0463904
2024-05-31,,,,,,46218488.238119
2024-06-01,,,,,,32169901.4622733
2024-06-02,,,,,,224449514.972922
2024-06-03,,,,,,122987212.693809
2024-06-04,,,,,,87578670.9331371
2024-06-05,,,,,,60953935.7577164
2024-06-06,,,,,,65062926.5010002
2024-06-07,,,,,,127526594.772634
2024-06-08,,,,,,70068371.7109503
2024-06-09,,,,,,33751229.2960106
2024-06-10,,,,,,44518134.0315529
2024-06-11,,,,,,55393354.401958
2024-06-12,,,,,,53148031.9134185
2024-06-13,,,,,,40738490.6793105
2024-06-14,,,,,,45116320.0950383
2024-06-15,,,,,,30811618.5448015
2024-06-16,,,,,,25740531.609006
2024-06-17,,,,,,47752992.3695204
2024-06-18,,,,,,62452629.436026
2024-06-19,,,,,,41503209.1804021
2024-06-20,,,,,,45391138.3963254
2024-06-21,,,,,,38222865.3184598
2024-06-22,,,,,,29497030.6267883
2024-06-23,,,,,,29128679.5665911
2024-06-24,,,,,,58399362.9315598
2024-06-25,,,,,,36982361.661116
2024-06-26,,,,,,37592536.3159655
2024-06-27,,,,,,33790492.4509145
2024-06-28,,,,,,31542445.0221944
2024-06-29,,,,,,29909701.4451014
2024-06-30,,,,,,41317748.5176675
2024-07-01,,,,,,29589936.6731662
2024-07-02,,,,,,32046404.0971645
2024-07-03,,,,,,42557590.307824
2024-07-04,,,,,,81138889.1394594
2024-07-05,,,,,,99199870.113071
2024-07-06,,,,,,52913805.8416867
2024-07-07,,,,,,70990564.1411347
2024-07-08,,,,,,51909174.4673817
2024-07-09,,,,,,32473298.055551
2024-07-10,,,,,,33204286.2308331
2024-07-11,,,,,,34229381.424003
2024-07-12,,,,,,28677429.3010148
2024-07-13,,,,,,28345017.5565586
2024-07-14,,,,,,30792382.9786858
2024-07-15,,,,,,73368097.7405848
2024-07-16,,,,,,53789274.5024066
2024-07-17,,,,,,47184879.130931
2024-07-18,,,,,,37170331.6382885
2024-07-19,,,,,,37004201.7735732
2024-07-20,,,,,,34392681.7965684
2024-07-21,,,,,,37303140.6775279
2024-07-22,,,,,,56285723.4706764
2024-07-23,,,,,,54955289.891467
2024-07-24,,,,,,39449617.2445214
2024-07-25,,,,,,60392603.4125775
2024-07-26,,,,,,43907186.544855
2024-07-27,,,,,,43801507.87211
2024-07-28,,,,,,29363323.4484812
2024-07-29,,,,,,38382189.8842828
2024-07-30,,,,,,29115042.938236
2024-07-31,,,,,,29213342.7668897
2024-08-01,,,,,,38511289.1236348
2024-08-02,,,,,,31294806.441323
2024-08-03,,,,,,36514347.909432
2024-08-04,,,,,,35223692.7359162
2024-08-05,,,,,,109838378.873951
2024-08-06,,,,,,48766451.3659338
2024-08-07,,,,,,34785006.1016806
2024-08-08,,,,,,34663711.5321767
2024-08-09,,,,,,27488797.0578326
2024-08-10,,,,,,27417815.0765355
2024-08-11,,,,,,22548622.5225566
2024-08-12,,,,,,38070218.7316411
2024-08-13,,,,,,25425562.5717306
2024-08-14,,,,,,24181866.2978051
2024-08-15,,,,,,28529294.5022946
2024-08-16,,,,,,23145674.7762585
2024-08-17,,,,,,16465385.9223819
2024-08-18,,,,,,18742393.3837527
2024-08-19,,,,,,22761597.5656679
2024-08-20,,,,,,20672352.0607453
2024-08-21,,,,,,22518963.0501856
2024-08-22,,,,,,22233499.9878522
2024-08-23,,,,,,29480955.9689025
2024-08-24,,,,,,28708931.2655186
2024-08-25,,,,,,24857752.3007584
2024-08-26,,,,,,30476799.9230173
2024-08-27,,,,,,26402451.4024397
2024-08-28,,,,,,30042980.9630006
2024-08-29,,,,,,22144248.3090038
2024-08-30,,,,,,21300403.3890047
2024-08-31,,,,,,13298467.6524915
2024-09-01,,,,,,17447879.4460201
2024-09-02,,,,,,18510299.6304687
2024-09-03,,,,,,18808985.0528093
2024-09-04,,,,,,22964808.6729367
2024-09-05,,,,,,17621941.7120191
2024-09-06,,,,,,25354453.3289203
2024-09-07,,,,,,17702702.1562401
2024-09-08,,,,,,14826271.5168323
2024-09-09,,,,,,17376384.9993714
2024-09-10,,,,,,16862376.0620291
2024-09-11,,,,,,25111601.6393631
2024-09-12,,,,,,16156192.6458374
2024-09-13,,,,,,20853590.6244522
2024-09-14,,,,,,14916410.5663541
2024-09-15,,,,,,12545476.6542238
2024-09-16,,,,,,15538991.0491338
2024-09-17,,,,,,23965667.1343683
2024-09-18,,,,,,26767371.6911249
2024-09-19,,,,,,25950093.9900812
2024-09-20,,,,,,25874106.246779
2024-09-21,,,,,,16227532.9730333
2024-09-22,,,,,,20852324.4452673
2024-09-23,,,,,,24717456.1907151
2024-09-24,,,,,,29328488.9792972
2024-09-25,,,,,,26375752.8133276
2024-09-26,,,,,,34960133.5950962
2024-09-27,,,,,,28370405.1825566
2024-09-28,,,,,,18111587.2651743
2024-09-29,,,,,,18896035.3649803
2024-09-30,,,,,,24760380.4923582
2024-10-01,,,,,,35176077.0820771
2024-10-02,,,,,,29769593.3329081
2024-10-03,,,,,,22821563.7120099
2024-10-04,,,,,,18409231.3283883
2024-10-05,,,,,,13113912.0216832
2024-10-06,,,,,,10916819.9631387
2024-10-07,,,,,,17589538.2896067
2024-10-08,,,,,,15904397.0668941
2024-10-09,,,,,,15878505.816973
2024-10-10,,,,,,16571269.4905757
2024-10-11,,,,,,13445089.671139
2024-10-12,,,,,,12571440.4472089
2024-10-13,,,,,,12639852.9740327
2024-10-14,,,,,,21833616.1949215
2024-10-15,,,,,,27311498.5840939
2024-10-16,,,,,,18336176.4321227
2024-10-17,,,,,,14227077.0344769
2024-10-18,,,,,,12779158.3136735
2024-10-19,,,,,,9413239.72692194
2024-10-20,,,,,,31764111.6241978
2024-10-21,,,,,,31357368.4139483
2024-10-22,,,,,,18202210.3143089
2024-10-23,,,,,,16873839.1989208
2024-10-24,,,,,,18319875.7445799
2024-10-25,,,,,,27686219.6664268
2024-10-26,,,,,,18082559.6832364
2024-10-27,,,,,,10519169.218989
2024-10-28,,,,,,17582290.7011765
2024-10-29,,,,,,18776629.6906097
