time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-08-02,,,,,,1095912.12599916
2025-08-03,,,,,,1183962.54300277
2025-08-04,,,,,,747553.089759139
2025-08-05,,,,,,1038787.98591394
2025-08-06,,,,,,1056116.31074739
2025-08-07,,,,,,1164383.00012606
2025-08-08,,,,,,1091083.89051891
2025-08-09,,,,,,1257863.67987578
2025-08-10,,,,,,3918371.27910036
2025-08-11,,,,,,1414416.40401318
2025-08-12,,,,,,1167828.58835148
2025-08-13,,,,,,5665567.34368114
2025-08-14,,,,,,4522945.3505029
2025-08-15,,,,,,3257232.21236869
2025-08-16,,,,,,3586774.57134996
2025-08-17,,,,,,2688215.51954075
2025-08-18,,,,,,3072764.9988617
2025-08-19,,,,,,1874515.22601205
2025-08-20,,,,,,2306459.8435467
2025-08-21,,,,,,2137343.04490485
2025-08-22,,,,,,2013863.30194318
2025-08-23,,,,,,1200878.65987537
2025-08-24,,,,,,1676750.33670066
2025-08-25,,,,,,1866911.99944403
2025-08-26,,,,,,869664.372108251
2025-08-27,,,,,,1401762.21080424
2025-08-28,,,,,,1329175.8024467
2025-08-29,,,,,,1975312.67297621
2025-08-30,,,,,,1320669.15496658
2025-08-31,,,,,,218863.011038965
2025-09-01,,,,,,3832790.18117747
2025-09-02,,,,,,425152.73634316
2025-09-03,,,,,,212513.943229837
2025-09-04,,,,,,169787.010262678
2025-09-05,,,,,,149856.646259645
2025-09-06,,,,,,67809.507720537
2025-09-07,,,,,,30073.7635162477
2025-09-08,,,,,,1244250.73536311
2025-09-09,,,,,,1027417.85255909
2025-09-10,,,,,,570697.077956908
2025-09-11,,,,,,475614.834601251
2025-09-12,,,,,,454030.508374658
2025-09-13,,,,,,2392882.148045
2025-09-14,,,,,,1596506.45469485
2025-09-15,,,,,,911643.516612431
2025-09-16,,,,,,1013201.93768806
2025-09-17,,,,,,623050.682124904
2025-09-18,,,,,,1126513.92011761
2025-09-19,,,,,,559121.683043771
2025-09-20,,,,,,683687.099441095
2025-09-21,,,,,,570438.066028749
2025-09-22,,,,,,499642.484301018
2025-09-23,,,,,,315185.000595941
2025-09-24,,,,,,315637.238348448
2025-09-25,,,,,,281804.09434672
2025-09-26,,,,,,301397.747601414
2025-09-27,,,,,,151724.284768482
2025-09-28,,,,,,150726.906202615
2025-09-29,,,,,,155871.360215554
2025-09-30,,,,,,172905.643127019
2025-10-01,,,,,,146747.753982749
2025-10-02,,,,,,149486.095207181
2025-10-03,,,,,,179576.041902694
2025-10-04,,,,,,115552.720563075
2025-10-05,,,,,,104624.433586941
2025-10-06,,,,,,659543.583784245
2025-10-07,,,,,,1287491.66503052
2025-10-08,,,,,,173763.810608212
2025-10-09,,,,,,169351.944859874
2025-10-10,,,,,,337396.841975142
2025-10-11,,,,,,417843.088542982
2025-10-12,,,,,,167669.53795451
2025-10-13,,,,,,157640.139670515
2025-10-14,,,,,,1647392.88204992
2025-10-15,,,,,,871447.776115867
2025-10-16,,,,,,948130.888350153
2025-10-17,,,,,,1089584.35555486
2025-10-18,,,,,,345577.710326104
2025-10-19,,,,,,475705.908299858
2025-10-20,,,,,,370431.736760031
2025-10-21,,,,,,264983.258233664
2025-10-22,,,,,,354259.305051994
2025-10-23,,,,,,155001.424887968
2025-10-24,,,,,,298782.816854742
2025-10-25,,,,,,334860.324642978
2025-10-26,,,,,,948373.637166123
2025-10-27,,,,,,436216.525685208
2025-10-28,,,,,,277142.337513484
2025-10-29,,,,,,702373.568303495
2025-10-30,,,,,,1044757.57082358
2025-10-31,,,,,,521590.491142719
2025-11-01,,,,,,310392.481489414
2025-11-02,,,,,,238953.672734743
2025-11-03,,,,,,488520.563021143
2025-11-04,,,,,,292660.285225373
2025-11-05,,,,,,270029.335057337
2025-11-06,,,,,,530162.750459855
2025-11-07,,,,,,219441.127285996
2025-11-08,,,,,,297631.811164352
2025-11-09,,,,,,303492.614280342
2025-11-10,,,,,,221349.637820557
2025-11-11,,,,,,161288.300134099
2025-11-12,,,,,,169360.564167196
2025-11-13,,,,,,167553.790413264
2025-11-14,,,,,,183569.371917044
2025-11-15,,,,,,146889.039766368
2025-11-16,0.119931769680064,0.00000125528697848569,0.0000378342557721285,0.103265163144858,0.119931769680064,268079.970442755
2025-11-17,0.126928843147015,0.00000134769299000671,0.000041070548992508,0.109163910141243,0.126928843147015,297375.924396671
2025-11-18,0.125049133578051,0.00000136053891581954,0.0000414328079665688,0.107783036758787,0.125049133578051,220289.787988521
2025-11-19,0.118268522861549,0.00000127394502015407,0.0000379377120646112,0.102114145057446,0.118268522861549,183012.750195647
2025-11-20,0.11920547909516,0.00000130535316520305,0.0000395317965002239,0.103314882281302,0.11920547909516,158523.544421469
2025-11-21,0.118838988770069,0.00000136735949668309,0.0000417744870579699,0.103074060000135,0.118838988770069,158981.942878269
2025-11-22,0.117558526002456,0.00000138388734166787,0.0000426394475799582,0.10213248611904,0.117558526002456,
