time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-12-11,,,,,,11975504.0103359
2025-12-12,,,,,,8435529.23718837
2025-12-13,,,,,,3856176.56446992
2025-12-14,,,,,,5396983.1194714
2025-12-15,,,,,,3268424.34755598
2025-12-16,,,,,,3350136.61394907
2025-12-17,,,,,,2293754.87966504
2025-12-18,,,,,,1546588.51051056
2025-12-19,,,,,,1846463.27725259
2025-12-20,,,,,,1897460.24297251
2025-12-21,,,,,,578268.463855836
2025-12-22,,,,,,1084331.00006643
2025-12-23,,,,,,3928285.77612486
2025-12-24,,,,,,28326142.4823205
2025-12-25,,,,,,25769152.2382043
2025-12-26,,,,,,803005.566575439
2025-12-27,,,,,,361367.090837199
2025-12-28,,,,,,452061.885304045
2025-12-29,,,,,,351068.14653806
2025-12-30,,,,,,487716.555172996
2025-12-31,,,,,,273810.581553187
2026-01-01,,,,,,171151.86858402
2026-01-02,,,,,,223172.289553814
2026-01-03,,,,,,235014.014313711
2026-01-04,,,,,,226850.487337137
2026-01-05,,,,,,190910.092037588
2026-01-06,,,,,,306535.619915467
2026-01-07,,,,,,283510.148961729
2026-01-08,,,,,,226793.188450247
2026-01-09,,,,,,450853.267385792
2026-01-10,,,,,,284394.30143102
2026-01-11,,,,,,242777.52552508
2026-01-12,,,,,,2045122.97668334
2026-01-13,,,,,,454386.06759378
2026-01-14,,,,,,386489.527460443
2026-01-15,,,,,,1508951.64811698
2026-01-16,,,,,,294810.939611387
2026-01-17,,,,,,204758.346453112
2026-01-18,,,,,,193113.4566904
2026-01-19,,,,,,460673.295888034
2026-01-20,,,,,,524341.806159735
2026-01-21,,,,,,232663.485924013
2026-01-22,,,,,,717702.808638328
2026-01-23,,,,,,254280.287104294
2026-01-24,,,,,,176606.950896899
2026-01-25,,,,,,176410.533183223
2026-01-26,,,,,,151370.386029025
2026-01-27,,,,,,514986.100521144
2026-01-28,,,,,,492090.303600409
2026-01-29,,,,,,216726.238110444
2026-01-30,0.00369919334905797,0.0000000437668712732426,0.00000131245255462495,0.00309136942891659,0.00369919334905797,124025.010138732
2026-01-31,0.0034770039510955,0.0000000413845119774894,0.00000128795074557329,0.00293560416862977,0.0034770039510955,157025.334993962
2026-02-01,0.00350976451361332,0.0000000445954019207719,0.00000143593098204737,0.00297188280520929,0.00350976451361332,110189.901803277
2026-02-02,0.00337872267671587,0.0000000439302619361198,0.00000148827513365285,0.00285250314355042,0.00337872267671587,122404.276895298
2026-02-03,0.00335070817746988,0.0000000425667279896695,0.00000142849911099237,0.00284228424497847,0.00335070817746988,110501.622113358
2026-02-04,0.00316563903541049,0.0000000418266343619179,0.00000141865999745256,0.00267978056331685,0.00316563903541049,344562.959467589
2026-02-05,0.00280988654566778,0.0000000384414691221796,0.00000130851038274563,0.00238110620279123,0.00280988654566778,
