time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-09-19,,,,,,81949304.6615566
2025-09-20,,,,,,627429796.759035
2025-09-21,,,,,,884926829.003609
2025-09-22,,,,,,944724198.230812
2025-09-23,,,,,,1129381088.15119
2025-09-24,,,,,,1035614912.97031
2025-09-25,,,,,,1190972623.77557
2025-09-26,,,,,,873810982.654416
2025-09-27,,,,,,549277627.426939
2025-09-28,,,,,,539875980.621493
2025-09-29,,,,,,454431377.329077
2025-09-30,,,,,,533717759.304479
2025-10-01,,,,,,415728202.938438
2025-10-02,,,,,,392485673.164701
2025-10-03,,,,,,559731340.029914
2025-10-04,,,,,,420542600.125986
2025-10-05,,,,,,512564155.765804
2025-10-06,,,,,,1005343304.61196
2025-10-07,,,,,,672725141.515961
2025-10-08,,,,,,499688158.257267
2025-10-09,,,,,,622420597.537927
2025-10-10,,,,,,1417440242.35472
2025-10-11,,,,,,708445471.064252
2025-10-12,,,,,,809830891.491536
2025-10-13,,,,,,743073708.361412
2025-10-14,,,,,,679744340.920999
2025-10-15,,,,,,485450177.266678
2025-10-16,,,,,,570292492.032166
2025-10-17,,,,,,681704932.025915
2025-10-18,,,,,,329392605.572745
2025-10-19,,,,,,286785962.6475
2025-10-20,,,,,,323759576.234837
2025-10-21,,,,,,364429513.583133
2025-10-22,,,,,,406850092.243341
2025-10-23,,,,,,363132517.590568
2025-10-24,,,,,,306677069.429932
2025-10-25,,,,,,195194625.887337
2025-10-26,,,,,,246231777.136384
2025-10-27,,,,,,296120490.154897
2025-10-28,,,,,,275560708.684451
2025-10-29,,,,,,264371592.602556
2025-10-30,,,,,,370876970.413962
2025-10-31,,,,,,274050262.477215
2025-11-01,,,,,,130830641.622117
2025-11-02,,,,,,1044504038.59599
2025-11-03,,,,,,947625639.367118
2025-11-04,,,,,,893660475.581695
2025-11-05,,,,,,767046455.865652
2025-11-06,,,,,,570475734.40026
2025-11-07,,,,,,472037828.266415
2025-11-08,,,,,,268375146.810981
2025-11-09,,,,,,263436246.011045
2025-11-10,,,,,,360418568.310369
2025-11-11,,,,,,412396723.478952
2025-11-12,,,,,,527578272.813973
2025-11-13,,,,,,381445572.095013
2025-11-14,,,,,,451272534.620128
2025-11-15,,,,,,250805265.741626
2025-11-16,,,,,,567085886.387164
2025-11-17,,,,,,594921814.039969
2025-11-18,,,,,,680392948.726412
2025-11-19,,,,,,457950233.867956
2025-11-20,,,,,,548363910.357965
2025-11-21,,,,,,654671138.013548
2025-11-22,,,,,,204639315.152002
2025-11-23,,,,,,318986782.763042
2025-11-24,,,,,,237181897.214605
2025-11-25,,,,,,175091806.565713
2025-11-26,1.1753554666207,0.0000134426889417344,0.000396739820695064,1.01636580010903,1.1753554666207,331473314.78409
2025-11-27,1.10652691998123,0.0000122336734560675,0.000365871677790162,0.954412431440988,1.10652691998123,101678374.185886
2025-11-28,1.09188808619854,0.0000119546038225485,0.000362147123288135,0.941768627470523,1.09188808619854,131672488.716534
2025-11-29,1.09650169847521,0.0000120507767086581,0.000361234200345736,0.945976515857068,1.09650169847521,103434679.851775
2025-11-30,1.04542501375593,0.0000115081588271211,0.000349485243392624,0.902203040651603,1.04542501375593,90871969.3288788
2025-12-01,1.06151694555691,0.0000117155266092445,0.000353531379522959,0.915500064939389,1.06151694555691,348341440.574729
2025-12-02,0.95596292231832,0.0000110510020908598,0.00034083211189315,0.823577074358213,0.95596292231832,
