time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2019-04-23,,,,,,,22278605.4920293
2019-04-24,,,,,,,19594669.3925662
2019-04-25,,,,,,,9813788.34311688
2019-04-26,,,,,,,5785613.91817339
2019-04-27,,,,,,,4069598.74269226
2019-04-28,,,,,,,24137520.4290049
2019-04-29,,,,,,,14527169.6404593
2019-04-30,,,,,,,10033154.3970816
2019-05-01,,,,,,,30471571.9048278
2019-05-02,,,,,,,20534030.6662631
2019-05-03,,,,,,,91071848.5150957
2019-05-04,,,,,,,114089988.055977
2019-05-05,,,,,,,41982882.0329314
2019-05-06,,,,,,,35851011.0140886
2019-05-07,,,,,,,33489702.0393444
2019-05-08,,,,,,,32445179.4790999
2019-05-09,,,,,,,50144140.9970383
2019-05-10,,,,,,,29236579.6935275
2019-05-11,,,,,,,29490939.5134943
2019-05-12,,,,,,,16716566.2117637
2019-05-13,,,,,,,26409871.5881819
2019-05-14,,,,,,,23472270.1047295
2019-05-15,,,,,,,36754969.6948701
2019-05-16,,,,,,,30235700.1625358
2019-05-17,,,,,,,61893992.9994028
2019-05-18,,,,,,,38751036.6255909
2019-05-19,,,,,,,38907968.1530104
2019-05-20,,,,,,,28424060.5329082
2019-05-21,,,,,,,24629054.7323089
2019-05-22,,,,,,,20008986.0144358
2019-05-23,,,,,,,17409996.0637028
2019-05-24,,,,,,,38117114.050955
2019-05-25,,,,,,,12459452.8420019
2019-05-26,,,,,,,12572618.8044915
2019-05-27,,,,,,,15874785.6295756
2019-05-28,,,,,,,16157049.8585795
2019-05-29,,,,,,,15562583.0119931
2019-05-30,,,,,,,197550886.627114
2019-05-31,,,,,,,84087508.6885306
2019-06-01,,,,,,,70463512.6389666
2019-06-02,,,,,,,39648454.9780885
2019-06-03,,,,,,,134697899.730077
2019-06-04,,,,,,,85697789.4366958
2019-06-05,,,,,,,51065620.4412147
2019-06-06,,,,,,,39915899.4816823
2019-06-07,,,,,,,45792951.4522074
2019-06-08,,,,,,,17554108.8641377
2019-06-09,,,,,,,17135763.2505244
2019-06-10,,,,,,,18454390.1326037
2019-06-11,,,,,,,13801791.3926584
2019-06-12,,,,,,,20445518.09659
2019-06-13,,,,,,,23920369.0692806
2019-06-14,,,,,,,20355429.2557286
2019-06-15,,,,,,,11395753.4824045
2019-06-16,,,,,,,21471460.2633728
2019-06-17,,,,,,,35594606.3649902
2019-06-18,,,,,,,19548633.9030108
2019-06-19,,,,,,,12923119.9981494
2019-06-20,,,,,,,15435454.9584683
2019-06-21,,,,,,,15865223.187554
2019-06-22,1612199590.3129457573588818782,,,,,,24061537.6882318
2019-06-23,1634952136.91570684172357833412,,,,,,21215449.7427968
2019-06-24,1591697929.0421830094168562175,,,,,,13887852.455369
2019-06-25,1570535670.87017694602012027228,,,,,,16710498.9373395
2019-06-26,1523702823.48072864076559641063,,,,,,33671771.5334281
2019-06-27,1311591631.90063504456391099174,,,,,,40088100.9184567
2019-06-28,1421584118.944763410994937837,,,,,,13619944.1389362
2019-06-29,1454031478.1528438907313357165,,,,,,15149120.9883931
2019-06-30,1310602174.06405483472035335348,,,,,,17261422.4461512
2019-07-01,1311175328.84771418641068736758,,,,,,14602225.047929
2019-07-02,1282644634.85857211210603830537,,,,,,15187119.1350772
2019-07-03,1349511078.19241985558131307135,,,,,,12576037.0606052
2019-07-04,1325687830.1376812817936634994,,,,,,10688044.8221196
2019-07-05,1288940065.50701377271774309493,,,,,,6850296.99146291
2019-07-06,1274763477.37146912409430470197,,,,,,6961724.77124036
2019-07-07,1306545350.91548991701764646048,,,,,,5460760.81192997
2019-07-08,1250538783.87024459580726548,,,,,,10621745.8134423
2019-07-09,1208012554.92546185611254808799,,,,,,19236228.1444748
2019-07-10,1074586587.40388921912395297747,,,,,,24985611.0472774
2019-07-11,1047580204.17645879587547888,,,,,,16703074.8097421
2019-07-12,1089636302.25009030362143678259,,,,,,10852212.4108487
2019-07-13,1027847458.5122095387446532716,,,,,,5656783.93310674
2019-07-14,931823389.98850926565669984706,,,,,,7066056.20709457
2019-07-15,1009203619.60848909323738408034,,,,,,18620850.9173031
2019-07-16,881126555.59621985452537374844,,,,,,14764699.5041761
2019-07-17,926933594.66878973134637802,,,,,,12974581.9325977
2019-07-18,992587701.42689742952545869057,,,,,,9725521.08925542
2019-07-19,949618070.65294739829764913408,,,,,,5057893.98166181
2019-07-20,989884908.3154576090254954105,,,,,,7484286.37442933
2019-07-21,1015926197.68968728588961040103,,,,,,8614884.64801432
2019-07-22,963507153.38280293020213032652,,,,,,7846623.10759647
2019-07-23,899255148.30342685040400103444,,,,,,6773127.02532952
2019-07-24,942585608.45103762228369930739,,,,,,7832955.15571433
2019-07-25,923958958.19746015798784777294,,,,,,5620053.58778731
2019-07-26,943261493.83124232850972770594,,,,,,4260756.2654095
2019-07-27,877388373.1568615012786031375,,,,,,6807335.95296854
2019-07-28,876163386.66046315779651684568,,,,,,3603774.58357783
2019-07-29,872698761.156085565680601674,,,,,,3487447.72067617
2019-07-30,867946448.3747255227546514104,,,,,,3844089.12509055
2019-07-31,883124219.81610517570874331613,,,,,,5001439.68615297
2019-08-01,857518907.02876639385799314616,,,,,,6741608.20817204
2019-08-02,885487345.7838965970975611049,,,,,,13193591.423347
2019-08-03,897744290.18573069527900943296,,,,,,4200765.78649317
2019-08-04,875388172.35024321229182544107,,,,,,3707857.55272468
2019-08-05,910215888.02483697534415567664,,,,,,7696990.27769641
2019-08-06,860466830.44305372901516961298,,,,,,8789894.33910068
2019-08-07,847774306.82795938508433454893,,,,,,7651673.03425353
2019-08-08,791981806.6147501653488833419,,,,,,11932543.4796627
2019-08-09,762249895.3640330181493906481,,,,,,6475207.24420051
2019-08-10,810665091.0012716591412769525,,,,,,6750338.04002651
2019-08-11,856662483.03918683907101017444,,,,,,4677167.64649083
2019-08-12,814365213.83342057257221547416,,,,,,8619357.72111843
2019-08-13,787742902.95751810062644158048,,,,,,5726775.42961067
2019-08-14,701067688.66149934738880806152,,,,,,7557578.17504859
2019-08-15,704040473.27574018988683236064,,,,,,8129503.36903075
2019-08-16,706352893.9396739433497621097,,,,,,7776142.35170321
2019-08-17,704596368.5696327649318179064,,,,,,2496045.58623935
2019-08-18,723294560.42446508534429818472,,,,,,2372279.41438046
2019-08-19,704922669.13139119436302345888,,,,,,6772863.21295528
2019-08-20,700712623.94888020301393614305,,,,,,3745319.48989383
2019-08-21,645878716.67410231383948196716,,,,,,4527510.34079274
2019-08-22,661323841.13103748355771397267,,,,,,4187305.90356055
2019-08-23,658558958.52215422997187352745,,,,,,4203067.5698864
2019-08-24,656106984.269929137250109376,,,,,,3162305.87003342
2019-08-25,638205467.9691787174946235244,,,,,,3049383.41284954
2019-08-26,636919893.41292422645377972203,,,,,,2757582.21575897
2019-08-27,625068626.3718972881009130875,,,,,,2868670.99895595
2019-08-28,571165958.17999142041961962461,,,,,,7686426.2642181
2019-08-29,529846103.13789313266777759672,,,,,,6775438.33950885
2019-08-30,524426496.28124559137210945952,,,,,,4073217.96753737
2019-08-31,493184648.32608322947163179426,,,,,,9476893.05668205
2019-09-01,520045817.4822825163812415005,,,,,,7293297.70018187
2019-09-02,521162780.60878294373022095322,,,,,,4125166.83039742
2019-09-03,525887848.5173367029176624822,,,,,,4598519.83319376
2019-09-04,496314428.43358545388155302984,,,,,,3919251.00569933
2019-09-05,475395432.18884285959773886965,,,,,,7047117.10993303
2019-09-06,495622107.23855832828633546912,,,,,,12096410.2457795
2019-09-07,531998663.16574758169411104771,,,,,,9509419.40382599
2019-09-08,663822669.25070429020937268106,,,,,,25640431.2784161
2019-09-09,668472958.95289166646865462272,,,,,,25226226.4676737
2019-09-10,628224496.74007821670596664017,,,,,,15311811.9972709
2019-09-11,618705080.57633811251273549907,,,,,,8566959.51975263
2019-09-12,751860863.76639301660454623632,,,,,,28547623.9546908
2019-09-13,771650455.84348125182853481484,,,,,,23748931.7790257
2019-09-14,762003779.19517826177388036036,,,,,,11873907.8420858
2019-09-15,838005173.16302374699867164301,,,,,,20108477.1306528
2019-09-16,810584688.5557615889602844244,,,,,,21680196.9931595
2019-09-17,807930967.9565492160828719992,,,,,,14744103.8211307
2019-09-18,805092106.14113902032779894843,,,,,,9827490.25811434
2019-09-19,764489593.2731161574827616281,,,,,,14594742.5312096
2019-09-20,769653431.47041188582430067296,,,,,,8376682.44450999
2019-09-21,748560795.492197717505861705,,,,,,6727340.24047389
2019-09-22,707485097.295848742890085248,,,,,,9797318.21314633
2019-09-23,633767857.70272706928806798116,,,,,,7754489.77832857
2019-09-24,551757839.43967004201210873712,,,,,,15054476.3690063
2019-09-25,564653283.58873487540401185933,,,,,,10368826.2266309
2019-09-26,547261723.26870186224879345556,,,,,,8429999.26778901
2019-09-27,554533768.30460525766031623335,,,,,,5026089.4245339
2019-09-28,554823685.86826294134995966808,,,,,,3950466.36980458
2019-09-29,539302991.06138547741862880952,,,,,,3740364.48030882
2019-09-30,643781632.11675453336252935799,,,,,,13764521.3250971
2019-10-01,623291762.01574411854821270969,,,,,,8655839.49339551
2019-10-02,639901745.04420437146182255744,,,,,,6956153.1788029
2019-10-03,634392823.47696284780827135647,,,,,,7247509.44552984
2019-10-04,631614787.3598420072878557582,,,,,,4408267.08558371
2019-10-05,678668024.01246219863603117992,,,,,,8782840.3008961
2019-10-06,646527673.01837111950523668992,,,,,,8290154.13628468
2019-10-07,713553125.5571639772461826715,,,,,,12550072.6674015
2019-10-08,711101320.9863353719462839137,,,,,,17298674.3914567
2019-10-09,714801455.3485524549016946228,,,,,,13587653.7756459
2019-10-10,714799124.66172508593646521305,,,,,,13297553.6902929
2019-10-11,693474783.93553428655591671777,,,,,,7811528.24412138
2019-10-12,697527859.4448620410167570954,,,,,,3657440.51480776
2019-10-13,703909657.69839675963256922112,,,,,,6832409.45651323
2019-10-14,754689615.36554036745311722152,,,,,,11743485.4481967
2019-10-15,720681127.29621081602835575008,,,,,,9671818.59142313
2019-10-16,697384149.45970710902005440559,,,,,,8670108.80630897
2019-10-17,716803923.1791934427821852692,,,,,,5699576.36877532
2019-10-18,673722740.09953081231813580096,,,,,,6009482.17937924
2019-10-19,676894149.6053132397637089132,,,,,,3923532.34839183
2019-10-20,715096172.24564687821636995505,,,,,,3928851.25745736
2019-10-21,732797959.6757415938118481884,,,,,,6795814.91630238
2019-10-22,705148370.5148985757720008118,,,,,,5629164.22878572
2019-10-23,657622799.54375516647853982848,,,,,,8553906.73337598
2019-10-24,697990032.17409395195831102434,,,,,,5624331.89295135
2019-10-25,744354076.3969164217052879169,,,,,,14005183.3650635
2019-10-26,760894325.54147040054478574468,,,,,,15136085.9324608
2019-10-27,787696767.11925216547875707358,,,,,,11665757.8302584
2019-10-28,773768476.13480080080730649412,,,,,,10697536.9899746
2019-10-29,774544058.14123454999190329743,,,,,,6451652.03038761
2019-10-30,744296586.46733574711480598701,,,,,,6147306.11061549
2019-10-31,807403000.54172659980986514615,,,,,,10588665.8097673
2019-11-01,805996158.6929375606087879274,,,,,,5752367.98033501
2019-11-02,844364310.35144278328977063052,,,,,,6910281.67383899
2019-11-03,834218974.8446034944298071901,,,,,,4695183.28665353
2019-11-04,892320144.84450156748982599899,,,,,,11126665.6640093
2019-11-05,928825609.580335605305063892,,,,,,16637257.7843345
2019-11-06,948342335.37007532918904058491,,,,,,11146978.9185873
2019-11-07,953851992.60166558351231121036,,,,,,10034636.1127252
2019-11-08,942061526.46474577694194664016,,,,,,17269520.5171204
2019-11-09,976601749.8428999302979678103,,,,,,10114619.4245398
2019-11-10,1033447112.01421023961774523166,,,,,,17960080.7817751
2019-11-11,1071921661.1020910443004671403,,,,,,21808171.0688284
2019-11-12,1042109535.81165575149480923906,,,,,,17564288.5157323
2019-11-13,981319051.44350212105184236778,,,,,,11454156.9471424
2019-11-14,982746883.975476695294085048,,,,,,11425745.1764176
2019-11-15,970025724.06948346348651406211,,,,,,13016831.660541
2019-11-16,978911589.62756897693097889125,,,,,,3935020.42147291
2019-11-17,962146858.63395219938684327237,,,,,,5158695.03240358
2019-11-18,884919029.69293786240767428285,,,,,,11388740.3734218
2019-11-19,861807938.28063434024518050198,,,,,,11354861.8026926
2019-11-20,822528000.6077169843479314665,,,,,,11141423.003776
2019-11-21,788619144.1701822540112285858,,,,,,9880353.56738081
2019-11-22,726247907.99598815420897155892,,,,,,15699107.9074533
2019-11-23,799215075.14181283689503112558,,,,,,9819599.89736134
2019-11-24,776648858.63153477787095294738,,,,,,13872527.9517626
2019-11-25,845689342.54318301406115594832,,,,,,22809957.775609
2019-11-26,862470764.2769336329244193961,,,,,,16154805.1504381
2019-11-27,884322745.4745167611012794304,,,,,,17436994.919331
2019-11-28,910836492.07019902530429673668,,,,,,8658430.81406891
2019-11-29,992743100.43510954651183298524,,,,,,16061966.8066155
2019-11-30,972673709.01514283802434812864,,,,,,11983370.6225586
