time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-06-18,,,,,,,1332487.63112082
2025-06-19,,,,,,,1391831.59577473
2025-06-20,,,,,,,1184435.63278875
2025-06-21,,,,,,,1327748.08020663
2025-06-22,,,,,,,1805557.76059325
2025-06-23,,,,,,,2077129.00593208
2025-06-24,,,,,,,3715379.69265188
2025-06-25,,,,,,,3342524.71246677
2025-06-26,,,,,,,3158305.99355001
2025-06-27,,,,,,,2320098.95537
2025-06-28,,,,,,,3413788.60299886
2025-06-29,,,,,,,3102214.26423631
2025-06-30,,,,,,,2772774.2436243
2025-07-01,,,,,,,1840687.08277148
2025-07-02,,,,,,,1567063.38181881
2025-07-03,,,,,,,2212985.67846661
2025-07-04,,,,,,,1173059.08897635
2025-07-05,,,,,,,1880935.74571383
2025-07-06,,,,,,,2801915.99947135
2025-07-07,,,,,,,2045202.90380246
2025-07-08,,,,,,,1941330.64332254
2025-07-09,,,,,,,1030854.52739899
2025-07-10,,,,,,,2687717.27093163
2025-07-11,,,,,,,6794498.42400803
2025-07-12,,,,,,,3901632.38164293
2025-07-13,,,,,,,3581073.8980046
2025-07-14,,,,,,,2590611.95440533
2025-07-15,,,,,,,1757733.44636135
2025-07-16,,,,,,,1265958.72352178
2025-07-17,,,,,,,988566.191890344
2025-07-18,,,,,,,1736760.27330842
2025-07-19,,,,,,,852427.395154883
2025-07-20,,,,,,,2002450.01235328
2025-07-21,,,,,,,1549536.85799651
2025-07-22,,,,,,,1500007.84761755
2025-07-23,,,,,,,1977864.58444133
2025-07-24,,,,,,,2525245.29896695
2025-07-25,,,,,,,3015996.7004723
2025-07-26,,,,,,,1199486.15217485
2025-07-27,,,,,,,3385904.04861521
2025-07-28,,,,,,,2528848.96278898
2025-07-29,,,,,,,3729892.25587278
2025-07-30,,,,,,,2228685.09459137
2025-07-31,,,,,,,1858868.22902212
2025-08-01,,,,,,,1822074.05285676
2025-08-02,,,,,,,2185549.34086318
2025-08-03,,,,,,,832437.634342563
2025-08-04,,,,,,,1112160.4008342
2025-08-05,,,,,,,758557.021586241
2025-08-06,,,,,,,646644.877490587
2025-08-07,,,,,,,1443869.46510796
2025-08-08,573381866.770078,,,,,,2057691.26420157
2025-08-09,588150363.689189,,,,,,1327957.52549612
2025-08-10,648354106.815883,,,,,,3076095.91364256
2025-08-11,660502486.06296,,,,,,2264981.06808868
