time,ReferenceRate,ReferenceRateUSD,volume_reported_spot_usd_1d
2026-01-23,,,700086.251945446
2026-01-24,,,55324.785833972
2026-01-25,,,55469.7733573893
2026-01-26,,,483064.520945459
2026-01-27,,,489812.154242603
2026-01-28,,,533079.837204108
2026-01-29,,,1110777.0846273
2026-01-30,,,729925.772065045
2026-01-31,,,53908.9396694701
2026-02-01,,,54265.6961686947
2026-02-02,,,692518.903903451
2026-02-03,,,639820.355147336
2026-02-04,,,752291.749194175
2026-02-05,,,774460.230795102
2026-02-09,,,357077.871595724
2026-02-10,,,768749.075151976
2026-02-11,,,907716.162028507
2026-02-12,,,540551.314899712
2026-02-13,,,440043.642978411
2026-02-14,,,60506.9674171064
2026-02-15,,,57400.6640307707
2026-02-16,,,55870.0423091651
2026-02-17,,,279747.201549642
2026-02-18,,,64457.3096262288
2026-02-19,,,91185.2305335174
2026-02-20,,,81985.6522038522
2026-02-21,,,54377.7095391866
2026-02-22,,,56142.3932058908
2026-02-23,,,86277.4722892994
2026-02-24,,,98069.352841042
2026-02-25,,,70858.2210121281
2026-02-26,,,91180.1337239984
2026-02-27,,,112978.192808885
2026-02-28,,,56970.2053211667
2026-03-01,,,56267.7794345003
2026-03-02,,,84996.7212589221
2026-03-03,,,82131.8868194958
2026-03-04,,,61126.3988076251
2026-03-05,,,57519.9853685853
2026-03-06,,,88077.1318211144
2026-03-07,,,54820.298515758
2026-03-08,,,57423.0584085374
2026-03-09,,,82807.8114072939
2026-03-10,,,70716.9732599284
2026-03-11,,,62065.1364976884
2026-03-12,,,66979.1534594534
2026-03-13,,,63063.7113204894
2026-03-14,,,57891.8592983845
2026-03-15,,,56355.8853487516
2026-03-16,,,56513.1195385801
2026-03-17,,,54755.1668790257
2026-03-18,,,54484.655334797
2026-03-19,,,57987.3080572509
2026-03-20,,,58366.1942717357
2026-03-21,,,52582.3262122393
2026-03-22,,,54806.2577415549
2026-03-23,,,55034.2415858971
2026-03-24,,,61464.1388446636
2026-03-25,,,60392.892030546
2026-03-26,,,56969.6569934284
2026-03-27,,,60345.4668122447
2026-03-28,,,53794.917262446
2026-03-29,,,56545.059581186
2026-03-30,,,54611.6067792095
2026-03-31,,,57067.1622382935
2026-04-01,,,60593.6410114133
2026-04-02,,,58678.30557703
2026-04-03,,,57581.1279664077
2026-04-04,,,54822.0231477563
2026-04-05,,,55929.7274805872
2026-04-06,,,61657.7213056004
2026-04-07,,,57947.1173033525
2026-04-08,,,57497.8247239448
2026-04-09,,,58586.2703757995
2026-04-10,,,53566.9432450217
2026-04-11,,,57393.9618069283
2026-04-12,,,56346.2465907044
2026-04-13,,,59332.7157006428
2026-04-14,,,55852.1163899132
2026-04-15,,,60903.6981720414
2026-04-16,,,55305.2268311233
2026-04-17,,,59210.6767238967
2026-04-18,,,55829.071904049
2026-04-19,,,54979.21887391
2026-04-20,,,56217.4437417314
2026-04-21,,,59493.6088541119
2026-04-22,,,54809.7924527779
2026-04-23,,,57392.2709616228
2026-04-24,,,57279.3782256777
2026-04-25,,,58565.3293332989
2026-04-26,,,57002.6516355683
2026-04-27,,,60179.5295262822
2026-04-28,,,56519.4848182782
2026-04-29,,,58099.2177744977
2026-04-30,,,57827.5240117404
2026-05-01,,,62260.3059866954
2026-05-02,,,55894.77629954
2026-05-03,,,56982.4093854482
2026-05-04,,,60077.7435725374
2026-05-05,,,58494.6587720213
2026-05-06,,,58947.5501838087
2026-05-07,,,58552.23213896
2026-05-08,,,59291.3977331322
2026-05-09,,,56331.4293894358
2026-05-10,,,55370.0044591486
2026-05-11,,,58381.4421617117
2026-05-12,,,58651.0538785494
2026-05-13,50.8894329046278,50.8894329046278,57864.4183082624
2026-05-14,50.094005955675,50.094005955675,59407.5050335154
2026-05-15,50.1395922237152,50.1395922237152,60588.9314724367
2026-05-16,49.6252524007133,49.6252524007133,54342.9665608414
2026-05-17,49.6350262934844,49.6350262934844,56530.1596097998
2026-05-18,49.6646183533311,49.6646183533311,59897.314315589
2026-05-19,50.72636784107,50.72636784107,
