time,AdrActCnt,AssetEODCompletionTime,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2020-06-20,4.0,1614090085.0,,25000000.0,,158.723088600101,,,,,,25000000.0,25000000.0,7.015649039869249729,2.0,2.0,157507.01564903988,,78753.507824519934624864,,78753.50782451993,,157507.015649039869249729,,,,
2020-06-21,103.0,1614090110.0,,0.0,,1.118943717131,,,,,,25000000.0,25000000.0,5687507.015649039869249729,1.0,102.0,22342500.0,,438088.23529412,,125000.0,,44685000.0,,,,
2020-06-22,3.0,1614090136.0,,10000000.0,,,,,,,,35000000.0,35000000.0,5687507.015649039869249729,0.0,0.0,0.0,,,,,,0.0,,,,
2020-06-23,1968.0,1614090163.0,,435000.0,,29.03551445518,,,,,,35435000.0,35434674.4,6122181.415649039869249729,2737.0,9465.0,1220402.003026284,,254.732665050420601061,,10.0,,2411044.674702230989038756,,,,
2020-06-24,1601.0,1614090191.0,,0.0,,50.216244350138,,,,,,35435000.0,35430196.123,6117703.138649039869249729,3786.0,9989.0,705648.1514811385,,122.065911267636037549,,12.441963568563613,,1219316.387652416379078535,,,,
2020-06-25,833.0,1614090210.0,607978337.209964589,0.0,0.0,47.148200755964,,0.0018554493666121264,17.1575656049094,,,35435000.0,35430196.123,6117703.138649039869249729,1573.0,3749.0,751566.3255827916,12895048.53762744482694511708104,382.026740900895865741,6554.6488698368459969988582728688654,17.27,296.311157996785338,1432218.251637458600662411,24573378.6130183356427384594407536405634,,,
2020-06-26,699.0,1614090225.0,433190079.135007081,0.0,0.0,73.569718350993,,0.0013346802940306449,12.2249210987726,,,35435000.0,35430196.123,6118441.180459921984860894,1557.0,3757.0,481651.9730433615,5888157.3675232415845642280949,234.858815710006560973,2871.1304914060049779748021773617398,18.0,220.0485797779068,882364.570622494649576649,10786837.2562123607022646324945035210174,,,
2020-06-27,477.0,1614090241.0,406811507.144943342,0.0,0.0,111.53108394008,,0.0012753042096736963,11.4804997077732,,,35435000.0,35430196.123,6118441.180459921984860894,833.0,2083.0,317714.1183263079,3647516.84260059773263168656828,274.682125902345116874,3153.4880661523944446325310002849768,17.42,199.990304909409144,572162.868254584878448789,6568715.6417954376281723977570214266548,,,
2020-06-28,431.0,1614090257.0,415918312.5,0.0,0.0,349.123800366297,,0.0012886929474787805,11.7375,,,35435000.0,35430196.123,6118441.180459921984860894,744.0,1544.0,101496.9473946547,1191320.42004475954125,101.303379175003689641,1189.0484130666058071612375,16.58223431095572,194.6339752248427635,156412.417446205696806335,1835890.7497748393662643570625,,,
2020-06-29,547.0,1614090271.0,368878350.0,0.0,0.0,235.341451001228,,0.001133462502134222,10.41,,,35435000.0,35430196.123,6118441.180459921984860894,1150.0,2425.0,150568.4606313366,1567417.675172214006,121.658705494533721642,1266.46712419809604229322,22.865874319701454,238.03375166809213614,295022.360824244274981001,3071182.77618038290255222041,,,
2020-06-30,409.0,1614090283.0,351603787.5,0.0,0.0,288.005070758752,,0.0010851416420100293,9.9225,,,35435000.0,35430196.123,6118441.180459921984860894,657.0,1296.0,123036.02817355307,1220824.989552080337075,160.307048134455575746,1590.646685114135450339685,28.568341358223023,283.4693671269679457175,207757.934382254426167431,2061478.1039079195436463340975,,,
2020-07-01,2638.0,1614090300.0,396199431.61016919,145000.0,1614640.7415254225,94.230822605907,,0.0012049609533774238,11.1354533898305,,,35580000.0,35575196.123,6263441.180459921984860894,1037.0,4744.0,377583.4595947766,4204563.0150885827203613593663,154.932059176215379797,1725.2387235472071743002726549544085,5.322777608933134,59.271541968708350478910093787,734997.688731965761758507,8184532.5045079508348976309378706630635,,,
2020-07-02,979.0,1614090317.0,410453349.389246292,0.0,0.0,180.792175012282,,0.0012684823111296722,11.5360694038574,,,35580000.0,35575196.123,6263441.180459921984860894,1303.0,3171.0,196800.55288666632,2270304.836818091454867634662768,118.89549475767883052,1371.586679330546653267828408847848,19.092631184357362,220.2539184449986379634628881788,377017.613876599571577644,4349301.3601571634374975638598972039656,,,
2020-07-03,420.0,1614090333.0,405345150.0,0.0,0.0,361.351560486891,,0.001256522405055617,11.3925,,,35580000.0,35575196.123,6263441.180459921984860894,638.0,1332.0,98463.66777013204,1121747.3350712292657,152.877854722556902599,1741.6609599267295128591075,27.524751269914265,313.5757288424982640125,203633.302490445794261808,2319892.39862240371112764764,,,
2020-07-04,304.0,1614090360.0,404544600.0,0.0,0.0,604.490531886928,,0.00124586088813162,11.37,,,35580000.0,35575196.123,6263441.180459921984860894,449.0,981.0,58859.482693527694,669232.31822540988078,107.983918709772432652,1227.77715573011255925324,20.23576,230.0805912,105932.224254286756432084,1204449.38977124042063279508,,,
2020-07-05,273.0,1614090385.0,379460700.0,0.0,0.0,378.1653671,,0.0011746094028614739,10.665,,,35580000.0,35575196.123,6263441.180459921984860894,365.0,644.0,94085.82354552686,1003425.3081130439619,214.874448659913157778,2291.63599495797382770237,34.397249431727175,366.846665189370321375,138379.144936984073608928,1475813.58075293514503921712,,,
2020-07-06,319.0,1614090397.0,382827324.932787546,0.0,0.0,569.92358936999,,0.0011521241477891173,10.7596212741087,,,35580000.0,35575132.690613508083644508,6263377.748073430068505402,490.0,945.0,62429.4215288249,671716.93201184407638110586663,128.710556204113709746,1384.8768387361453951575098966533902,36.706837697136756,394.9516717913678420026259093772,121631.475612887455710078,1308708.6126056573984250088914350574786,,,
