time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,BlkCnt,CapMVRVCur,CapMrktCurUSD,CapMrktEstUSD,FeeTotNtv,HashRate,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SplyCur,SplyExpFut10yr,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2017-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,1089585.1296241
2017-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,115604.675512797
2017-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,27976.1497784826
2017-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,21192.6040785363
2017-08-01,308149,18284210,1614335691,1614335691,89,25.85146816,5411499996.8533095683235115718,,52.0440309,3805806.1441017,1112.5,365264.789480349575,0.12038175659840059,328.327900656494,,,,,,,,16481998.5935797,20200540.625,77010,207932,1282705.92262381
2017-08-02,16751,18276652,1614335692,1614335692,7,24.74393817,5653824428.6300819848611054381,,5.61781323,254519.085523694,87.5,30014.9892857213875,0.12751296428039804,343.028448979673,,,,,,,,16482086.0935797,20200562.5,4877,6428,125436442.530523
2017-08-03,80506,18244172,1614335692,1614335692,35,16.21579497,4994964257.6706325713571966728,,20.57356421,401456.093651183,437.5,132582.6624984855,0.1086285460289068,303.046085710824,,,,,,,,16482523.5935797,20200671.875,23013,37546,63049035.9992358
2017-08-04,88105,18206943,1614335692,1614335692,19,8.80246211,3230499417.8225566896148101228,,21.52932081,212988.979723215,237.5,46548.24561108945,0.06852234868497947,195.992613099324,,,,,,,,16482761.0935797,20200731.25,26683,41505,51311619.1301118
2017-08-05,44381,18188031,1614335692,1614335692,13,8.20840019,3188357892.3631545794161343069,,9.20121024,145729.301915884,162.5,31433.0254925662625,0.05974936896551706,193.434003031177,,,,,,,,16482923.5935797,20200771.875,12075,19606,54027686.6287957
2017-08-06,33613,18174818,1614335692,1614335692,65,8.46552775,3469877361.150519587113294119,,6.98099381,468127.650546413,812.5,171033.759575469375,0.06516888016012572,210.50308870827,,,,,,,,16483736.0935797,20200975,10151,16487,35816566.2443184
2017-08-07,58611,18154165,1614335692,1614335692,78,10.8082265,5295001375.506671086685155416,,9.10629753,559600.8696187,975,313176.634507698,0.09467970371246966,321.20680462328,,,,,,,,16484711.0935797,20201218.75,16954,29195,92877064.0581898
2017-08-08,34565,18147005,1614335693,1614335693,23,10.42465498,5636590756.7425549225322807443,,8.06455312,144922.340867394,287.5,98302.6982601392125,0.09981164803303307,341.922428730919,,,,,,,,16484998.5935797,20201290.625,11599,19661,75439345.1624005
2017-08-09,30593,18140647,1614335693,1614335693,95,8.85466014,4987840124.7519412700902710625,,5.2390242,545252.566211906,1187.5,359274.1289296484375,0.09038755976988103,302.546634888125,,,,,,,,16486186.0935797,20201587.5,10564,17400,56345728.5961929
2017-08-10,31527,18132040,1614335693,1614335693,100,7.92474306,4600009225.8670401062988552379,,5.42151434,573950.069696743,1250,348751.10354925875,0.0811749411176777,279.000882839407,,,,,,,,16487436.0935797,20201900,9983,17292,50889580.5647324
2017-08-11,31381,18127428,1614335693,1614335693,67,8.83715926,5419999941.3969614945061850044,,4.85890651,384546.546696818,837.5,275301.71216272605,0.08980101571220268,328.718462283852,,,,,,,,16488273.5935797,20202109.375,10854,19077,105188479.771373
2017-08-12,23548,18120880,1614335693,1614335693,72,8.30615729,5219424667.2351646312960000218,,4.67592508,413244.050181655,900,284882.8156154946,0.08176949715366813,316.536461794994,,,,,,,,16489173.5935797,20202334.375,7215,11532,75196816.9609681
2017-08-13,23046,18115753,1614335693,1614335693,78,7.66276663,4905121730.9511919964351290713,,4.6176887,447681.05436346,975,290021.260908433275,0.07319691580297737,297.457703495829,,,,,,,,16490148.5935797,20202578.125,7793,12653,70904815.942775
2017-08-14,32262,18107891,1614335694,1614335694,91,7.49582909,4983556780.2474379183588943106,,5.7792547,522294.563424036,1137.5,343744.921127673975,0.07020235591574293,302.193337255098,,,,,,,,16491286.0935797,20202862.5,9864,18223,75230897.1443606
2017-08-15,25233,18100069,1614335694,1614335694,112,7.10583138,4920005076.4582880693893162402,,4.75426168,642824.078060352,1400,417640.1022828524,0.07170965585070967,298.314358773466,,,,,,,,16492686.0935797,20203212.5,7442,12822,75655608.5688101
2017-08-16,186687,18125764,1614335694,1614335694,84,6.9692428,4943095469.1051571422925807397,,4.45342092,482118.058545264,1050,314680.08297894105,0.06866377718269495,299.695317122801,,,,,,,,16493736.0935797,20203475,135764,173858,63072414.7356198
2017-08-17,38367,18119079,1614335694,1614335694,65,9.10990525,7075388476.113444410483008309,,9.16596119,373067.545302883,812.5,348524.429403288125,0.09955935132141769,428.95314388097,,,,,,,,16494548.5935797,20203678.125,13222,24310,361685287.384043
2017-08-18,61736,18110993,1614335694,1614335694,65,12.02246184,11534091069.5379366840777585336,,9.21839331,373067.545302883,812.5,568126.3320538715,0.17019135687953227,699.232408681688,,,,,,,,16495361.0935797,20203881.25,22797,41481,1413355293.01675
2017-08-19,68401,18099456,1614335694,1614335694,131,10.76460249,11740245528.4938208551034251502,,10.81175696,751874.591302733,1637.5,1165342.407217666825,0.17105832110822108,711.659485323766,,,,,,,,16496998.5935797,20204290.625,25168,45687,1624673476.42764
2017-08-20,51823,18090076,1614335695,1614335695,464,10.03993317,11843105076.0297747953575173641,,8.84158449,1655767.74917988,5800,4162324.8960752674,0.17564256639441855,717.642223461253,,,,,,,,16502798.5935797,20205740.625,19447,34918,855205655.587644
2017-08-21,44956,18083458,1614335695,1614335695,764,8.15729803,9921975118.7116282638257732997,,7.1229269,2590984.40964222,9550,5738424.29783358955,0.1504979730442242,600.882125427601,,,,,,,,16512348.5935797,20208128.125,16394,31016,664668501.235018
2017-08-22,42557,18078759,1614335695,1614335695,855,8.72039399,11382267346.2274460264933385333,,6.45709805,3225165.14865151,10687.5,7362326.2440293386875,0.16907627831661456,688.872631020289,,,,,,,,16523036.0935797,20210800,15575,31163,686449505.888753
2017-08-23,33653,18075529,1614335695,1614335695,22,8.25930396,11162249215.7124835318440240594,,4.36539891,298437.994827904,275,185775.02517117555,0.16290314362287586,675.545546077002,,,,,,,,16523311.0935797,20210868.75,10121,20939,292058619.941267
2017-08-24,52614,18054583,1614335695,1614335695,569,7.35537734,10223148716.0724840644999926968,,6.91863958,2543531.27293065,7112.5,4398686.1456657667,0.1429659486473736,618.444449302744,,,,,,,,16530423.5935797,20212646.875,12336,25302,215894891.222691
2017-08-25,29747,18052193,1614335695,1614335695,688,7.32660293,10446913880.5444019801437789313,,5.53186897,3058245.46176259,8600,5432210.6056828094,0.14510298079908077,631.652396009629,,,,,,,,16539023.5935797,20214796.875,10918,22585,203228032.146912
2017-08-26,37503,18040542,1614335696,1614335696,676,7.03698445,10240964784.3676246595720020688,,3.6663858,3004903.97115045,8450,5229568.8485934088,0.1425349887176203,618.883887407504,,,,,,,,16547473.5935797,20216909.375,8249,17137,118929179.385417
2017-08-27,25421,18037186,1614335696,1614335696,43,6.96603515,10262116388.8230557695244126637,,3.66840997,328828.852275985,537.5,333326.3150356750375,0.1427285989998959,620.141981461721,,,,,,,,16548011.0935797,20217043.75,7892,16277,240807328.474678
2017-08-28,27003,18031770,1614335696,1614335696,174,6.55467311,9756380477.7568807946162003772,,3.79715796,1042972.84737197,2175,1282168.5157578453,0.1345969272637987,589.502765865676,,,,,,,,16550186.0935797,20217587.5,8823,17578,135201400.510913
2017-08-29,38467,18022822,1614335696,1614335696,142,5.84494623,9135378971.7931860961216071542,,5.06667012,842611.58258855,1775,979660.20964262765,0.11997096487306665,551.921244869086,,,,,,,,16551961.0935797,20218031.25,12779,23894,195362155.471321
2017-08-30,98978,17971883,1614335696,1614335696,86,4.98712984,9557802882.677776683113766609,,4.1093705,510314.057060671,1075,620710.18517646775,0.1258886107883447,577.40482341997,,,,,,,,16553036.0935797,20218300,16849,24649,258581036.482877
2017-08-31,66622,17942277,1614335697,1614335697,86,5.04795841,9831162237.8277112080938983155,,4.31920892,510314.057060671,1075,638421.437787961125,0.125281810051744,593.880407244615,,80.88027427981197,,,,,,16554111.0935797,20218568.75,12868,18582,184539387.008939
2017-09-01,31477,17932372,1614335697,1614335697,116,5.31066818,10486750491.7690027957796126085,,3.69869024,688330.588593463,1450,918470.12173824225,0.1287934646013544,633.427670164305,,84.65747434313833,,,,,,16555561.0935797,20218931.25,10152,17232,241824118.031957
2017-09-02,21234,17928305,1614335697,1614335697,134,4.83767683,9627842422.2161351458800447786,,2.74292473,795140.507513138,1675,973993.24175037615,0.12654754501214857,581.488502537538,,91.8812121178204,,,,,,16557236.0935797,20219350,7762,13493,192022321.273516
2017-09-03,25532,17919686,1614335697,1614335697,131,4.99472213,10044170179.6524243001088656523,,2.55855711,777338.854359859,1637.5,993263.7371878903625,0.13114257625514386,606.573274618559,,209.48782457998217,,,,,,16558873.5935797,20219759.375,7710,13430,203877633.568729
2017-09-04,21699,17916164,1614335697,1614335697,129,4.41816152,8956409377.3870237156439257251,,4.26420481,765471.085591006,1612.5,872088.5389128550875,0.12362527444915518,540.830101651383,,179.5941216003341,,,,,,16560486.0935797,20220162.5,7729,14393,185240420.738151
2017-09-05,22945,17912039,1614335697,1614335697,112,4.45608417,9224578646.1851779591950068442,,2.38896889,664595.051055757,1400,779766.8714595004,0.12504934148009475,556.976336756786,,164.5929521389033,,,,,,16561886.0935797,20220512.5,7240,13748,171289499.363709
2017-09-06,25282,17906610,1614335698,1614335698,140,5.07260896,10783042018.4334546887687888981,,2.30672171,830743.813819697,1750,1139262.14181757775,0.14129237170826256,651.006938181473,,102.67532593059212,,,,,,16563636.0935797,20220950,8313,15875,397631152.066193
2017-09-07,22751,17903212,1614335698,1614335698,207,5.16512813,11116991814.4994415890479320986,,2.35152814,1228314.06757627,2587.5,1736377.404151744575,0.14477832446208028,671.063731073138,,96.26198069657538,,,,,,16566223.5935797,20221596.875,8758,16297,686120732.909806
2017-09-08,19775,17900911,1614335698,1614335698,188,4.68378483,10190300078.8156359944995950877,,1.69470002,1115570.26427217,2350,1445338.97561925635,0.141535808332666,615.037861965641,,103.28696175816606,,,,,,16568573.5935797,20222184.375,7387,14870,461788813.78326
2017-09-09,18543,17896619,1614335698,1614335698,158,4.47443839,9794505869.1357468379969716747,,1.56434431,937553.732739373,1975,1167381.332144793225,0.13633177611526429,591.079155516351,,111.8556577674259,,,,,,16570548.5935797,20222678.125,6399,11874,152350655.747102
