time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2026-03-03,,,,,,96472.1796490694
2026-03-04,,,,,,87290.1327657084
2026-03-05,,,,,,175830.528174979
2026-03-06,,,,,,107938.671086975
2026-03-07,,,,,,57255.1302344285
2026-03-08,,,,,,54881.1457719479
2026-03-09,,,,,,119650.668418532
2026-03-10,,,,,,79556.9500384296
2026-03-11,,,,,,77148.6082077832
2026-03-12,,,,,,73176.0882268111
2026-03-13,,,,,,66409.9936163129
2026-03-14,,,,,,52999.4489532504
2026-03-15,,,,,,56639.3364843523
2026-03-16,,,,,,54177.7615740579
2026-03-17,,,,,,54380.2400779162
2026-03-18,,,,,,54081.1167128209
2026-03-19,,,,,,56397.1072244831
2026-03-20,,,,,,56417.431726503
2026-03-21,,,,,,56745.6158145039
2026-03-22,,,,,,53775.7835042464
2026-03-23,,,,,,61930.8490558963
2026-03-24,,,,,,60425.6847876299
2026-03-25,,,,,,60412.834634345
2026-03-26,,,,,,59890.665067187
2026-03-27,,,,,,57961.4323278219
2026-03-28,,,,,,56749.5663772549
2026-03-29,,,,,,54522.9468757764
2026-03-30,,,,,,58965.801354038
2026-03-31,21.6127979341275,0.000324267043299299,0.0106846989718535,18.8701189169492,21.6127979341275,59415.5258243104
2026-04-01,22.4565001017794,0.000329202426793299,0.0106862849941629,19.4205795486081,22.4565001017794,54558.9220925972
2026-04-02,22.9628367842546,0.000337109657574031,0.0107258937109223,19.8170266418173,22.9628367842546,60413.7986666036
2026-04-03,22.8826874999066,0.000342000638884764,0.0111274575669973,19.8336868773933,22.8826874999066,54825.6565713012
2026-04-04,22.8774905714434,0.000342007694963113,0.0111509376207918,19.8672401605506,22.8774905714434,54868.1299169677
2026-04-05,22.8803735868678,0.000340000432069568,0.0110841613697649,19.874361252618,22.8803735868678,55161.7903666044
2026-04-06,22.8704258370709,0.000331831493313106,0.0108345187572313,19.8709345046843,22.8704258370709,
