time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2026-01-28,,,,,,37975035.2330278
2026-01-29,,,,,,41109918.054624
2026-01-30,,,,,,25235986.1161218
2026-01-31,,,,,,20405402.3278075
2026-02-01,,,,,,28129482.445957
2026-02-02,,,,,,35867119.423526
2026-02-03,,,,,,280418355.750026
2026-02-04,,,,,,101743590.202432
2026-02-05,,,,,,36183692.8742707
2026-02-09,,,,,,105344600.126339
2026-02-10,,,,,,260415888.055241
2026-02-11,,,,,,176802796.087589
2026-02-12,,,,,,11598537.6775371
2026-02-13,,,,,,18172452.1352263
2026-02-14,,,,,,7338117.22123744
2026-02-15,,,,,,14857565.4815095
2026-02-16,0.201816259809069,0.00000294064370545363,0.000102952662235833,0.17020389163987,0.201816259809069,4728375.96235846
2026-02-17,0.196782877582985,0.00000286240306876616,0.0000985692589011357,0.166126187582753,0.196782877582985,4499749.62919151
2026-02-18,0.19240084200113,0.00000285160583075282,0.0000965658892541801,0.162403325509633,0.19240084200113,3865021.9325515
2026-02-19,0.18388685630518,0.00000277018526501753,0.0000942104142453263,0.156075085757539,0.18388685630518,6904922.72521592
2026-02-20,0.177627896871229,0.00000265384214062841,0.0000911912368664233,0.150953232474001,0.177627896871229,17993248.1215939
2026-02-21,0.18000980349668,0.00000264808662556598,0.0000915100065236489,0.152775716768045,0.18000980349668,4005765.14260721
2026-02-22,0.172453567772039,0.00000253531130240213,0.0000873386110921652,0.146387392020888,0.172453567772039,
