time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-09-23,,,,,,18105204.5555855
2025-09-24,,,,,,18633486.2668536
2025-09-25,,,,,,7720409.68531776
2025-09-26,,,,,,6347002.53173765
2025-09-27,,,,,,5040233.16590582
2025-09-28,,,,,,7603087.44846553
2025-09-29,,,,,,15337972.7227033
2025-09-30,,,,,,17198099.0043193
2025-10-01,,,,,,11116850.4060792
2025-10-02,,,,,,4415802.41140891
2025-10-03,,,,,,9463538.11381541
2025-10-04,,,,,,17402305.1621449
2025-10-05,,,,,,10873248.1862973
2025-10-06,,,,,,39724794.0013854
2025-10-07,,,,,,24253689.0206286
2025-10-08,,,,,,18711789.1026127
2025-10-09,,,,,,17156881.8622121
2025-10-10,,,,,,11118076.7789863
2025-10-11,,,,,,3426609.2801524
2025-10-12,,,,,,6055588.00350885
2025-10-13,,,,,,6374172.62964241
2025-10-14,,,,,,3118263.88184346
2025-10-15,,,,,,58748597.8222426
2025-10-16,,,,,,50972201.2492433
2025-10-17,,,,,,14231769.6052955
2025-10-18,,,,,,10231427.7850687
2025-10-19,,,,,,16478964.8969393
2025-10-20,,,,,,6951608.30419765
2025-10-21,,,,,,8410527.34991771
2025-10-22,,,,,,27679486.7326771
2025-10-23,,,,,,16484076.5447835
2025-10-24,,,,,,16073613.0644363
2025-10-25,,,,,,30386007.3906761
2025-10-26,,,,,,9157727.11516913
2025-10-27,,,,,,6748063.44039178
2025-10-28,,,,,,10375886.7264539
2025-10-29,,,,,,4785428.36073708
2025-10-30,,,,,,3590453.40702068
2025-10-31,,,,,,5811246.81868832
2025-11-01,,,,,,5349530.88598528
2025-11-02,,,,,,4618849.07906857
2025-11-03,,,,,,7387677.45457516
2025-11-04,,,,,,11022343.4327126
2025-11-05,,,,,,3974553.7500931
2025-11-06,,,,,,7799897.93595867
2025-11-07,,,,,,23175412.8105852
2025-11-08,,,,,,7938229.2124771
2025-11-09,,,,,,7290888.11849374
2025-11-10,,,,,,4801421.35720682
2025-11-11,,,,,,7486626.50437504
2025-11-12,,,,,,4168351.72711213
2025-11-13,,,,,,3874859.42205092
2025-11-14,,,,,,3052820.95215741
2025-11-15,,,,,,1515538.99837751
2025-11-16,,,,,,1370539.77537084
2025-11-17,,,,,,1217441.90789798
2025-11-18,,,,,,1513422.94350551
2025-11-19,,,,,,1048152.7282334
2025-11-20,,,,,,1134799.66046813
2025-11-21,,,,,,1324311.70583007
2025-11-22,,,,,,3328670.90654857
2025-11-23,,,,,,774992.353542606
2025-11-24,,,,,,1205354.19487119
2025-11-25,,,,,,1166579.92065563
2025-11-26,,,,,,857627.6326919
2025-11-27,,,,,,723773.322662018
2025-11-28,,,,,,591035.70147288
2025-11-29,,,,,,577266.708332125
2025-11-30,,,,,,770837.635497379
2025-12-01,,,,,,1967558.18817017
2025-12-02,,,,,,1740811.9817617
2025-12-03,0.0139512903862357,0.000000152426433872145,0.00000464519745860291,0.0119976404663607,0.0139512903862357,719140.056831198
2025-12-04,0.0146751436063481,0.000000156770490988579,0.0000046007154316459,0.0125776619631492,0.0146751436063481,1204615.84256562
2025-12-05,0.0159248265709681,0.000000172709984944638,0.00000507729185165246,0.0136790510141945,0.0159248265709681,708705.494327345
2025-12-06,0.0144762699141244,0.000000162144900929978,0.00000479116331715015,0.0124476648316931,0.0144762699141244,1084557.19886152
2025-12-07,0.0159536541186561,0.000000178913685841558,0.00000525445343216027,0.0137178131757589,0.0159536541186561,939046.107587131
2025-12-08,0.0150801380322024,0.000000167430869812155,0.00000494739663573237,0.0129580147534801,0.0150801380322024,517380.10383294
2025-12-09,0.0148949788403104,0.00000016427111833069,0.00000476617155885638,0.0128023141896797,0.0148949788403104,
