time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2024-02-02,,,,,,,703981.725162069
2024-02-03,,,,,,,267354.724200402
2024-02-04,,,,,,,195491.559871838
2024-02-05,,,,,,,150631.818315734
2024-02-06,,,,,,,142357.223031324
2024-02-07,,,,,,,192390.833198276
2024-02-08,,,,,,,78214.4434679066
2024-02-09,,,,,,,551532.794980186
2024-02-10,,,,,,,175288.524711608
2024-02-11,,,,,,,836380.854367596
2024-02-12,,,,,,,1975028.36512362
2024-02-13,,,,,,,1433318.36869798
2024-02-14,,,,,,,1087527.97031073
2024-02-15,,,,,,,2890881.17466476
2024-02-16,,,,,,,518898.850053235
2024-02-17,,,,,,,53679.0063562337
2024-02-18,,,,,,,38110.8691177201
2024-02-19,,,,,,,47071.1599229279
2024-02-20,,,,,,,81497.2550520693
2024-02-21,,,,,,,61151.4973122187
2024-02-22,,,,,,,160773.594274265
2024-02-23,,,,,,,121963.575575067
2024-02-24,,,,,,,108082.475701789
2024-02-25,,,,,,,146299.009517084
2024-02-26,,,,,,,151372.033359913
2024-02-27,,,,,,,48288.2460126618
2024-02-28,,,,,,,57525.6123561027
2024-02-29,,,,,,,36205.3170035413
2024-03-01,,,,,,,32461.4700231524
2024-03-02,,,,,,,151349.399902104
2024-03-03,,,,,,,99360.7744190844
2024-03-04,,,,,,,62890.7481665662
2024-03-05,,,,,,,123249.716230356
2024-03-06,,,,,,,43125.6753524066
2024-03-07,,,,,,,33317.5992103382
2024-03-08,,,,,,,17526.0980627183
2024-03-09,,,,,,,24649.6628004726
2024-03-10,,,,,,,35002.8185679114
2024-03-11,,,,,,,114521.085569681
2024-03-12,,,,,,,79551.5155229132
2024-03-13,,,,,,,81176.1729250932
2024-03-14,,,,,,,51052.553479427
2024-03-15,,,,,,,88390.5940703648
2024-03-16,,,,,,,78756.4197744686
2024-03-17,,,,,,,98549.6802075907
2024-03-18,,,,,,,57815.3719536926
2024-03-19,,,,,,,197215.82158905
2024-03-20,,,,,,,78150.6866489896
2024-03-21,,,,,,,23001.5974636896
2024-03-22,,,,,,,87085.7875572497
2024-03-23,,,,,,,51285.6492086983
2024-03-24,,,,,,,21553.7912379446
2024-03-25,,,,,,,16624.357853738
2024-03-26,,,,,,,60022.0390519773
2024-03-27,,,,,,,42432.5583809968
2024-03-28,,,,,,,40008.1971141689
2024-03-29,,,,,,,15341.0891181393
2024-03-30,,,,,,,50838.9554642635
2024-03-31,,,,,,,37482.0558479977
2024-04-01,,,,,,,180953.959027962
2024-04-02,,,,,,,229036.917119648
2024-04-03,,,,,,,373983.876841991
2024-04-04,,,,,,,106810.898824851
2024-04-05,,,,,,,143766.104199489
2024-04-06,,,,,,,69486.6054778516
2024-04-07,,,,,,,36655.6395526169
2024-04-08,,,,,,,41326.4010338021
2024-04-09,,,,,,,51569.039688519
2024-04-10,,,,,,,56400.4004154842
2024-04-11,,,,,,,127160.601623788
2024-04-12,,,,,,,120863.039615631
2024-04-13,,,,,,,183097.11333024
2024-04-14,,,,,,,188101.835458604
2024-04-15,,,,,,,226270.176550321
2024-04-16,,,,,,,157956.819061447
2024-04-17,,,,,,,109649.873096588
2024-04-18,,,,,,,164603.980769082
2024-04-19,,,,,,,200326.251430051
2024-04-20,,,,,,,430416.325453387
2024-04-21,,,,,,,36578.925853979
2024-04-22,,,,,,,183759.5004334
2024-04-23,,,,,,,42411.4037580987
2024-04-24,,,,,,,55213.0333388159
2024-04-25,,,,,,,116355.549339027
2024-04-26,,,,,,,47743.7492629863
2024-04-27,,,,,,,65813.2788657894
2024-04-28,,,,,,,54456.834153883
2024-04-29,,,,,,,37432.8042063697
2024-04-30,,,,,,,245518.932184668
2024-05-01,,,,,,,29111.2556719508
2024-05-02,,,,,,,12213.0407695621
2024-05-03,,,,,,,15860.9684208774
2024-05-04,,,,,,,6077.51516169069
2024-05-05,,,,,,,6857.08118041136
2024-05-06,,,,,,,58542.4169432386
2024-05-07,,,,,,,51410.7970048139
2024-05-08,,,,,,,24134.0269656097
2024-05-09,,,,,,,23482.4539697605
2024-05-10,,,,,,,80134.9260671031
2024-05-11,,,,,,,182813.386851597
2024-05-12,,,,,,,82337.3595482922
2024-05-13,,,,,,,71441.7805507038
2024-05-14,,,,,,,138877.952852832
2024-05-15,,,,,,,88030.9269556976
2024-05-16,,,,,,,121332.898842735
2024-05-17,,,,,,,61333.5148051548
2024-05-18,,,,,,,73053.5871584865
2024-05-19,,,,,,,93596.8663176131
2024-05-20,,,,,,,80791.5400249018
2024-05-21,,,,,,,34912.2897871172
