time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktEstUSD,CapMrktFFUSD,CapRealUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d,principal_market_price_usd,principal_market_usd
2017-07-05,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1614335154,,,,,,,0,200000000,,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000000,200000000,200000000,200000000,200000000,200000000,200000000,200000000,200000000,200000000,200000000,200000000,200000000,200000000,200000000,200000000,200000000,200000000,,,,,,,,,200000000,200000000,200000000,200000000,0,0,0,0,0,,,,,,0,,,,
2017-07-06,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1614335154,,,,,,,0,0,,1,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000000,200000000,200000000,200000000,200000000,200000000,200000000,200000000,200000000,200000000,200000000,200000000,200000000,200000000,200000000,200000000,200000000,200000000,,,,,,,,,200000000,200000000,200000000,200000000,0,0,0,0,0,,,,,,0,,,,
2017-07-07,6,3,6,6,3,3,6,3,3,6,6,6,6,3,3,5,3,6,3,2,,,,,,,,,1614335154,,,,,,,0,0,,0.99999988,9.49240593,,0.99999839,,,,,,,,,,,0.00000013413,21069440,21069440,21069440,21069440,21069440,21069440,21069440,21069440,21069440,21069440,21069440,21069440,10.53472,199999976,200000000,200000000,199999976,199999976,200000000,199999976,199999976,200000000,200000000,200000000,200000000,199999996,199999976,199999976,199999976,199999976,199000010,,,,,,,,,200000000,178930560,178930560,200000000,21069440,8,0.00009259,8,21069474,,2633684.25,,10,,0.10534737,,,,
2017-07-08,24,17,26,28,8,21,28,3,21,28,28,28,28,21,4,23,10,27,21,2,,,,,,,,,1614335154,,,,,,,0,0,,0.9995282425,504.08980662,,53.10444968,,,,,,,,,,,0.000000212373,21069440,21069440,21069440,21069440,21069440,21069440,21069440,21069440,21069440,21069440,21069440,21069440,10.53472,199993573,199999998.2,200000000,199905648.5,199999962,200000000,199603221.5,199999962,200000000,200000000,200000000,199999999.2,199999982.2,199999962,199739480.5,199945608.5,199999962,199000010,,,,,,,,,200000000,199000010,178930560,200000000,21069440,35,0.00040509,35,396754.7,,11335.84857143,,4451.5,,0.10733114349999999,,,,
2017-07-09,82,75,96,99,24,92,99,6,92,99,99,99,99,92,7,93,39,98,91,5,,,,,,,,,1614335154,,,,,,,0,0,,0.9973154925,6.76724851,,1.59265299,,,,,,,,,,,0.000000189629,47069440,47069440,6999965.8,47069440,47069440,47069440,47069440,47069440,47069440,47069440,47069440,47069440,23.53472,199973665,199999997.2,200000000,199463098.5,199999971,200000000,198719724.5,199999971,200000000,200000000,200000000,199999999.2,199999981.2,199999971,198854983.5,199695863.5,199999472,197909725.5,,,,,,,,,200000000,198989837.5,152930560,200000000,47069440,137,0.00158565,137,29554109,,216015.3649635,,9989,,0.2553016685,,,,
2017-07-10,55,105,138,144,31,133,144,7,132,144,144,144,144,132,9,134,48,140,129,6,,,,,,,,,1614335154,,,,,,,0,0,,0.9961909461,125.21015115,,29.46785849,,,,,,,,,,,0.000000262211,47069440,47069440,26769225.5,47069440,47069440,47069440,47069440,47069440,47069440,47069440,47069440,47069440,23.53472,199959461.3,199999995.1,200000000,199238189.22,199999959.9,200000000,198222860.22,199999931.9,200000000,200000000,200000000,199999997.1,199999970.1,199999931.9,198458119.22,199496777.22,199997983,197412861.22,,,,,,,,,199945401.3,198721351.22,152930560,200000000,47069440,68,0.00078704,68,1597314.58,,23489.92029412,,8616.5,,0.2632882414,,,,
2017-07-11,304,329,407,415,90,400,415,10,397,416,416,416,415,397,19,401,149,410,360,7,,,,,,,,,1614335154,,,,,,,0,0,,0.988981133219,8.51842683,,2.0047879,,,,,,,,,,,0.000000273638,47069440,47069440,42751243.3259,47069440,47069440,47069440,47069440,47069440,47069440,47069440,47069440,47069440,23.53472,199921079.2013832,199999993.5023832,199999999.99,197796226.6437832,199999949.4023832,199999999.99,193749233.7492832,199999811.7323832,200000000,200000000,199999999.99,199999996.5023832,199999959.6023832,199999811.7323832,194982762.5292832,198651982.6614832,199968324.2203832,191960888.6292832,,,,,,,,,197995919.4067832,196346203.4032832,184907098.3661,200000000,47069440,404,0.00467593,404,23478513.590716824,,58115.13265029,,6560.61905,,0.380680809353584,,,,
2017-07-12,421,611,705,712,214,698,712,14,689,714,714,712,712,690,39,699,347,708,657,6,,,,,,,,,1614335154,,,,,,,0,0,,0.982141811402,15.38374197,,3.6205206,,,,,,,,,,,0.000000264682,47069440,47069440,41782960.1499,47069440,47069440,47069440,47069440,47069440,47069440,47069440,47069440,47069440,23.53472,199908929.6893832,199999994.6023832,199999999.99,196428362.2804332,199999951.6003832,199999999.99,185244080.3883832,199999441.5633832,200000000,199999999.99,199999999.99,199999997.6023832,199999962.0003832,199999541.5633832,188646892.2692332,198394364.3638832,199978353.1333832,181989365.6919832,,,,,,,,,193029946.2367332,191384919.1167332,182859524.9949832,200000000,47069440,534,0.00618056,534,13000738.0769,,24345.95145487,,8898.95,,0.445684499738084,,,,
2017-07-13,389,871,1005,1013,314,996,1013,22,986,1016,1016,1013,1013,989,64,998,498,1009,948,5,,,,,,,,,1614335154,,,,,,,0,0,,0.9754059236,9.14854221,,2.24456922,,,,,,,,,,,0.000000430379,49069440,49069440,35444835.7053832,49069440,49069440,49069440,49069440,49069440,49069440,49069440,49069440,49069440,24.53472,199861010.2353832,199999993.5983832,199999999.986,195081184.7200832,199999924.7963832,199999999.986,177805101.7278932,199999245.2151832,200000000,199999999.986,199999999.986,199999997.5983832,199999945.1963832,199999581.5041832,184020204.6719932,197731945.1024832,199976001.3748832,171395908.4025332,,,,,,,,,187076175.3694932,187146148.8174932,174737988.5760432,200000000,49069440,511,0.00591435,511,21861406.47831953,,42784.74653291,,9970,,0.5549995271296815,,,,
2017-07-14,362,1074,1261,1273,372,1251,1273,35,1241,1278,1277,1274,1273,1246,82,1252,603,1265,1176,6,,,,,,,,,1614335155,,,,,,,0,0,,0.969298749863,8.54528029,,2.09656059,,,,,,,,,,,0.000000461073,49069440,49069440,25350706.975683699999998401,49069440,49069440,49069440,49069440,49069440,49069440,49069440,49069440,49069440,24.53472,199807311.124871779999990001,199999990.978383199999990001,199999999.975999999999990001,193859749.972571779999990001,199999922.976383199999990001,199999999.975999999999990001,174448438.891728579999978394,199998922.182183199999990001,199999999.999999999999990001,199999999.985999999999990001,199999999.975999999999990001,199999994.978383199999990001,199999933.376383199999990001,199999658.271183199999990001,181221391.982808079999978394,197179891.077971779999990001,199960494.840883199999990001,161846308.129878579999978394,,,,,,,,,182884945.788308079999988402,184881305.771308079999988402,167052960.996878579999978394,200000000,49069440,422,0.00488426,422,23404732.58918515,,55461.45163314,,5483.5,,0.6720231900756072,,,,
