time,ReferenceRate,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-11-04,,,54956.8011827835
2025-11-05,,,57406.3616487225
2025-11-06,,,55041.8969055342
2025-11-07,,,59056.3699894073
2025-11-08,,,57265.6471311965
2025-11-09,,,57735.2214516534
2025-11-10,,,55368.6579941258
2025-11-11,,,59421.5695496281
2025-11-12,,,60546.958357881
2025-11-13,,,23217.2548712618
2025-11-14,,,0
2025-11-15,,,0
2025-11-16,,,0
2025-11-17,,,0
2025-11-18,,,0
2025-11-19,,,0
2025-11-20,,,9776347.05063104
2025-11-21,,,21264407.0443366
2025-11-22,,,8110717.19062865
2025-11-23,,,10176690.0157937
2025-11-24,,,18061308.2778436
2025-11-25,,,9138645.00028253
2025-11-26,,,5373740.26358526
2025-11-27,,,3701573.74449405
2025-11-28,,,2816457.40217079
2025-11-29,,,2515390.09901179
2025-11-30,,,2381151.35339017
2025-12-01,,,4859356.63783376
2025-12-02,,,4121320.7483089
2025-12-03,,,87236284.1547906
2025-12-04,,,42536101.5203857
2025-12-05,,,17775391.223815
2025-12-06,,,8503633.291111
2025-12-07,,,5378307.30214168
2025-12-08,,,4077493.76887109
2025-12-09,,,14895965.0058642
2025-12-10,,,10696127.6502484
2025-12-11,,,3846482.26439391
2025-12-12,,,2091345.7509905
2025-12-13,,,1857975.78522178
2025-12-14,,,1726384.71800415
2025-12-15,,,1699061.83533561
2025-12-16,,,2002809.47607221
2025-12-17,,,2947992.93129308
2025-12-18,,,1939306.44103625
2025-12-19,,,2554042.08036081
2025-12-20,,,1245263.31888672
2025-12-21,,,1339470.78262111
2025-12-22,,,1091669.12983608
2025-12-23,,,783570.380322144
2025-12-24,,,865005.244150595
2025-12-25,,,1153333.85143482
2025-12-26,,,870845.895853369
2025-12-27,,,1170574.5751596
2025-12-28,,,3128107.74600438
2025-12-29,,,1153458.55981664
2025-12-30,,,909713.768396655
2025-12-31,,,1296063.27514226
2026-01-01,,,1469148.37416258
2026-01-02,,,915876.28579138
2026-01-03,,,1168704.69310875
2026-01-04,,,1743172.12055325
2026-01-05,,,1950656.09705189
2026-01-06,,,1000380.27164437
2026-01-07,,,704896.628080916
2026-01-08,,,824816.220464702
2026-01-09,,,857230.892821005
2026-01-10,,,509965.674671802
2026-01-11,,,868934.891729593
2026-01-12,,,441553.86305238
2026-01-13,,,712444.159247519
2026-01-14,,,637178.439113234
2026-01-15,,,536755.266487617
2026-01-16,,,491875.293172083
2026-01-17,,,478518.839201945
2026-01-18,,,547372.176609312
2026-01-19,,,769479.429995843
2026-01-20,0.00966466968112446,0.00966466968112446,620230.312987124
2026-01-21,0.00850225901868366,0.00850225901868366,646736.747297536
2026-01-22,0.00889129142412433,0.00889129142412433,582822.420310363
2026-01-23,0.0080992899314713,0.0080992899314713,771460.126935149
2026-01-24,0.00906320121329421,0.00906320121329421,680436.717147428
2026-01-25,0.0089670141448731,0.0089670141448731,4042170.05433385
2026-01-26,0.00996949022466775,0.00996949022466775,
