time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-11-12,,,,,,3400397.29412207
2025-11-13,,,,,,2928269.79630465
2025-11-14,,,,,,1346003.17275856
2025-11-15,,,,,,910802.412197171
2025-11-16,,,,,,913173.267556947
2025-11-17,,,,,,776762.366957072
2025-11-18,,,,,,931002.943392955
2025-11-19,,,,,,1111618.16640321
2025-11-20,,,,,,1391466.54777542
2025-11-21,,,,,,1296883.44132795
2025-11-22,,,,,,993353.359794393
2025-11-23,,,,,,904528.622682386
2025-11-24,,,,,,1023691.42490731
2025-11-25,,,,,,1050746.69699505
2025-11-26,,,,,,1172116.10360789
2025-11-27,,,,,,1380893.27659431
2025-11-28,,,,,,1362721.79628467
2025-11-29,,,,,,1045027.17272468
2025-11-30,,,,,,840120.349993292
2025-12-01,,,,,,763625.813601051
2025-12-02,,,,,,1257340.79017543
2025-12-03,,,,,,802796.645036362
2025-12-04,,,,,,897819.431065079
2025-12-05,,,,,,778661.652647696
2025-12-06,,,,,,730269.089377168
2025-12-07,,,,,,952867.398596267
2025-12-08,,,,,,1081149.73772108
2025-12-09,,,,,,827030.780210714
2025-12-10,,,,,,820663.885452981
2025-12-11,,,,,,613663.127607984
2025-12-12,,,,,,707049.918302516
2025-12-13,,,,,,732588.277196564
2025-12-14,,,,,,684823.851020818
2025-12-15,,,,,,478595.345163881
2025-12-16,,,,,,611432.560167693
2025-12-17,0.00263178383298376,0.000000029991008362582,0.000000889634579879491,0.00223982743726627,0.00263178383298376,605253.642697324
2025-12-18,0.00256735501206174,0.0000000298323073466056,0.000000908255847358465,0.00218620857421396,0.00256735501206174,561800.265555923
2025-12-19,0.00249510948747685,0.0000000292050454710974,0.000000882732602216821,0.00212830897342061,0.00249510948747685,441890.025767731
2025-12-20,0.00252088450717269,0.0000000285918065076512,0.000000845800299159412,0.00215268184928558,0.00252088450717269,575316.405310257
2025-12-21,0.0025918865922962,0.0000000293556978600022,0.000000871088082409464,0.00221391273365484,0.0025918865922962,518216.305464134
2025-12-22,0.0024406582648317,0.0000000275676457777735,0.000000813298681972569,0.00208353943361346,0.0024406582648317,485354.874281336
2025-12-23,0.00239840756574366,0.0000000271084729446791,0.000000798201075740225,0.00203935626822329,0.00239840756574366,
