time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-08-27,,,,,,19778637.2294935
2025-08-28,,,,,,11294182.3289303
2025-08-29,,,,,,9120281.82652051
2025-08-30,,,,,,7220026.34064856
2025-08-31,,,,,,8610107.04272947
2025-09-01,,,,,,7798364.17246383
2025-09-02,,,,,,6984805.60584394
2025-09-03,,,,,,7315212.55202235
2025-09-04,,,,,,7043541.67877099
2025-09-05,,,,,,4841583.82030375
2025-09-06,,,,,,5646313.82767193
2025-09-07,,,,,,9286114.42386134
2025-09-08,,,,,,12131738.0417197
2025-09-09,,,,,,6803888.83157482
2025-09-10,,,,,,6088834.86978467
2025-09-11,,,,,,7274698.0064277
2025-09-12,,,,,,6070782.95631314
2025-09-13,,,,,,4267564.28513783
2025-09-14,,,,,,18123800.4870896
2025-09-15,,,,,,13239976.2406179
2025-09-16,,,,,,6308225.48936194
2025-09-17,,,,,,10017854.7492191
2025-09-18,,,,,,5845836.27055393
2025-09-19,,,,,,5496275.39332145
2025-09-20,,,,,,4498067.44444656
2025-09-21,,,,,,2770248.70356897
2025-09-22,,,,,,4144218.41398934
2025-09-23,,,,,,4233421.67094927
2025-09-24,,,,,,2505364.02694173
2025-09-25,,,,,,83889241.2015268
2025-09-26,,,,,,18395958.3838539
2025-09-27,,,,,,5421894.75195579
2025-09-28,,,,,,4113909.80992602
2025-09-29,,,,,,6251904.12580125
2025-09-30,,,,,,4676902.55575831
2025-10-01,,,,,,10305109.0148858
2025-10-02,,,,,,4726235.41218384
2025-10-03,,,,,,2590591.48099573
2025-10-04,,,,,,3864353.33998
2025-10-05,,,,,,2715303.18993361
2025-10-06,,,,,,4699328.54773029
2025-10-07,,,,,,3847958.46458231
2025-10-08,,,,,,2330520.60482835
2025-10-09,,,,,,2501666.94637333
2025-10-10,,,,,,3977629.7447076
2025-10-11,,,,,,4622247.29957933
2025-10-12,,,,,,2449364.16416102
2025-10-13,,,,,,2328583.21457713
2025-10-14,,,,,,2211736.64087391
2025-10-15,,,,,,2420737.17742022
2025-10-16,,,,,,3430231.23582148
2025-10-17,,,,,,3151716.17594311
2025-10-18,,,,,,1609782.61189181
2025-10-19,,,,,,1074047.47621798
2025-10-20,,,,,,5233320.23625525
2025-10-21,,,,,,8571185.47514438
2025-10-22,,,,,,3079272.39239661
2025-10-23,,,,,,2496981.58738529
2025-10-24,,,,,,1769284.8724272
2025-10-25,,,,,,1495213.05513787
2025-10-26,,,,,,1940289.45822046
2025-10-27,,,,,,1857859.3910573
2025-10-28,,,,,,898169.376008159
2025-10-29,,,,,,868235.266246158
2025-10-30,,,,,,5862455.8954083
2025-10-31,,,,,,4123647.18830481
2025-11-01,,,,,,911874.587290863
2025-11-02,,,,,,953450.830147166
2025-11-03,,,,,,1250060.83824631
2025-11-04,,,,,,1829123.52251723
2025-11-05,,,,,,1350029.60488494
2025-11-06,,,,,,1485366.09615774
2025-11-07,,,,,,1032734.33255687
2025-11-08,,,,,,777147.108490521
2025-11-09,,,,,,831829.436640074
2025-11-10,,,,,,796699.207917727
2025-11-11,,,,,,810740.319222604
2025-11-12,,,,,,658409.39193959
2025-11-13,,,,,,624589.104156459
2025-11-14,,,,,,727221.301464459
2025-11-15,,,,,,460429.069378427
2025-11-16,,,,,,964068.073834016
2025-11-17,,,,,,738955.607080112
2025-11-18,,,,,,1600384.95835044
2025-11-19,,,,,,1418539.9119888
2025-11-20,,,,,,1423825.57059441
2025-11-21,,,,,,964009.77294702
2025-11-22,,,,,,718979.49377491
2025-11-23,,,,,,961004.170135143
2025-11-24,,,,,,791624.320570842
2025-11-25,,,,,,991587.632971297
2025-11-26,,,,,,802658.533870554
2025-11-27,,,,,,1437903.68495633
2025-11-28,,,,,,2494618.50057498
2025-11-29,,,,,,807577.46704163
2025-11-30,,,,,,810335.882068908
2025-12-01,,,,,,1287936.14689133
2025-12-02,,,,,,776926.051995358
2025-12-03,,,,,,688348.456024106
2025-12-04,,,,,,2731177.45961475
2025-12-05,,,,,,1382106.79497132
2025-12-06,,,,,,772736.124634055
2025-12-07,,,,,,955605.830037538
2025-12-08,,,,,,1244398.65770517
2025-12-09,,,,,,1052682.75568129
2025-12-10,,,,,,1197497.71923097
2025-12-11,,,,,,1300821.0702417
2025-12-12,,,,,,940946.931841492
2025-12-13,,,,,,971015.382139696
2025-12-14,,,,,,738125.024080627
2025-12-15,,,,,,956184.699458935
2025-12-16,,,,,,2228639.97447034
2025-12-17,,,,,,4512461.0963757
2025-12-18,,,,,,1154234.71649784
2025-12-19,,,,,,1130645.89908304
2025-12-20,,,,,,902994.540362901
2025-12-21,,,,,,902917.456722761
2025-12-22,,,,,,678849.508082419
2025-12-23,,,,,,326007.486277662
2025-12-24,,,,,,394990.295790379
2025-12-25,,,,,,308640.808328215
2025-12-26,,,,,,386273.503755632
2025-12-27,,,,,,836116.0668703
2025-12-28,,,,,,1691800.88469823
2025-12-29,,,,,,1813411.66488099
2025-12-30,,,,,,1061146.35210889
2025-12-31,,,,,,477279.293954888
2026-01-01,,,,,,339110.751569201
2026-01-02,,,,,,512278.814043607
2026-01-03,,,,,,652568.697003434
2026-01-04,,,,,,484622.132512476
2026-01-05,0.0329339903777534,0.000000360486816628184,0.0000104881396758665,0.0281431662202107,0.0329339903777534,2295370.20216117
2026-01-06,0.0336564351676573,0.000000358243140948937,0.0000104210651900504,0.028729021477045,0.0336564351676573,601484.782560489
2026-01-07,0.0345878773517768,0.000000369630145408415,0.000010509717188178,0.0295977329845166,0.0345878773517768,426865.540347395
2026-01-08,0.0320335556595426,0.000000351210637341292,0.0000101262147247175,0.0274456819198755,0.0320335556595426,383360.898804606
2026-01-09,0.0322267801539147,0.000000353763678442385,0.0000103652825158164,0.0276517197645031,0.0322267801539147,302537.250233691
2026-01-10,0.0343688208475899,0.000000379599861518416,0.0000111406108586667,0.0295544741154181,0.0343688208475899,320952.895400045
2026-01-11,0.0343176669984213,0.000000379594417846469,0.0000111346693661071,0.0295303601460254,0.0343176669984213,
