time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2026-01-23,,,,,,1221955.19106044
2026-01-24,,,,,,55277.6797821071
2026-01-25,,,,,,54251.0727435828
2026-01-26,,,,,,1226315.96413917
2026-01-27,,,,,,1100124.677624
2026-01-28,,,,,,1253707.05637542
2026-01-29,,,,,,7210969.73616976
2026-01-30,,,,,,3106398.80309708
2026-01-31,,,,,,56517.486928652
2026-02-01,,,,,,54124.174379335
2026-02-02,,,,,,718423.481890831
2026-02-03,,,,,,644643.62215563
2026-02-04,,,,,,547929.87153219
2026-02-05,,,,,,1582289.00672307
2026-02-09,,,,,,1015609.59445915
2026-02-10,,,,,,897197.084080215
2026-02-11,,,,,,928084.468257869
2026-02-12,,,,,,1157588.73304969
2026-02-13,,,,,,607812.948961914
2026-02-14,,,,,,64245.8072710378
2026-02-15,,,,,,56806.8324934073
2026-02-16,,,,,,54470.9218957408
2026-02-17,,,,,,716052.58097233
2026-02-18,765.138258496933,0.0113402451702841,0.384022520721177,645.84435474467,765.138258496933,251779.374576176
2026-02-19,754.507945873409,0.0113663740628008,0.386555665589036,640.393200052875,754.507945873409,142718.169007021
2026-02-20,760.748045451668,0.0113659242550394,0.390555517632143,646.50529889716,760.748045451668,89516.4029985332
2026-02-21,759.998069606316,0.0111801728821817,0.386353559398875,645.01625784274,759.998069606316,57572.419791556
2026-02-22,759.974826725407,0.0111727045872717,0.38488705504165,645.10542938095,759.974826725407,56467.6676382241
2026-02-23,760.61187378609,0.0112599793143034,0.389499660064063,643.618248606256,760.61187378609,183869.02451593
2026-02-24,759.47974914985,0.0117403119247735,0.409022955973688,644.266471733789,759.47974914985,
