time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2026-04-16,,,,,,5970149.35247706
2026-04-17,,,,,,4530851.07724761
2026-04-18,,,,,,2905940.61255087
2026-04-19,,,,,,3094436.953175
2026-04-20,,,,,,3677743.58126638
2026-04-21,,,,,,2946491.51303619
2026-04-22,,,,,,3184331.53975171
2026-04-23,,,,,,2352070.53421524
2026-04-24,,,,,,4554570.04992788
2026-04-25,,,,,,2444433.38352885
2026-04-26,,,,,,2741851.41495226
2026-04-27,,,,,,4027745.45325551
2026-04-28,,,,,,2042231.95755076
2026-04-29,,,,,,2512996.85240677
2026-04-30,,,,,,2321276.49468157
2026-05-01,,,,,,2901825.2955271
2026-05-02,,,,,,1509829.27862727
2026-05-03,0.0234357621134101,0.000000297738613072597,0.0000101063645932903,0.0199899905736544,0.0234357621134101,2615980.90961924
2026-05-04,0.0237168072840067,0.000000301551895488671,0.0000101962224191337,0.0202144961113998,0.0237168072840067,4641721.45953833
2026-05-05,0.0269683497859687,0.000000337838716222653,0.000011488578012111,0.0230677907914461,0.0269683497859687,2023807.0568492
2026-05-06,0.0303238052150404,0.000000374660502271346,0.0000128455630072759,0.025883687125203,0.0303238052150404,2590493.30080433
2026-05-07,0.032417078149794,0.000000398417372299724,0.0000138028603156078,0.0275931097625947,0.032417078149794,5214162.52759347
2026-05-08,0.0350327446536994,0.000000437969535911295,0.0000152962856707538,0.0298691743383452,0.0350327446536994,4363579.1021356
2026-05-09,0.0394782420867874,0.000000492372082711125,0.0000171170895619994,0.0335073842511308,0.0394782420867874,
