time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2019-08-21,,,,,,,651250.859109686
2019-08-22,,,,,,,489481.919449421
2019-08-23,,,,,,,382073.204418389
2019-08-24,,,,,,,287999.433586926
2019-08-25,,,,,,,303254.787476651
2019-08-26,,,,,,,328776.088418437
2019-08-27,,,,,,,215145.463400522
2019-08-28,,,,,,,425160.555533457
2019-08-29,,,,,,,360770.184970982
2019-08-30,,,,,,,241487.345795368
2019-08-31,,,,,,,207810.710578506
2019-09-01,,,,,,,284599.02953097
2019-09-02,,,,,,,253025.738211278
2019-09-03,,,,,,,353388.885226412
2019-09-04,,,,,,,291186.851831981
2019-09-05,,,,,,,360098.898888771
2019-09-06,,,,,,,312733.200326986
2019-09-07,,,,,,,430078.687554253
2019-09-08,,,,,,,501663.406405299
2019-09-09,,,,,,,687686.991721925
2019-09-10,,,,,,,392477.902637547
2019-09-11,,,,,,,793745.048192064
2019-09-12,,,,,,,342720.305685709
2019-09-13,,,,,,,199023.042355037
2019-09-14,,,,,,,469592.697937535
2019-09-15,,,,,,,298967.735831391
2019-09-16,,,,,,,446484.297737175
2019-09-17,,,,,,,394762.349996357
2019-09-18,,,,,,,394989.33030847
2019-09-19,,,,,,,519561.496980295
2019-09-20,,,,,,,335314.229674342
2019-09-21,,,,,,,278675.753927205
2019-09-22,,,,,,,315401.46550031
2019-09-23,,,,,,,433450.348354324
2019-09-24,,,,,,,1136405.01442478
2019-09-25,,,,,,,752440.5011098
2019-09-26,,,,,,,697480.31995746
2019-09-27,,,,,,,481125.483996591
2019-09-28,,,,,,,265091.238661231
2019-09-29,,,,,,,323202.486216427
2019-09-30,,,,,,,553336.446456737
2019-10-01,,,,,,,551777.838877639
2019-10-02,,,,,,,251009.750745351
2019-10-03,,,,,,,230171.453623232
2019-10-04,,,,,,,294400.766972331
2019-10-05,,,,,,,257639.453355431
2019-10-06,,,,,,,297941.995257801
2019-10-07,,,,,,,523433.668231065
