time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-11-04,,,,,,10896.226124695
2025-11-05,,,,,,15039.3679552318
2025-11-06,,,,,,11080.5524519376
2025-11-07,,,,,,9370.65053240299
2025-11-08,,,,,,9712.05175411172
2025-11-09,,,,,,9827.28882558876
2025-11-10,,,,,,9817.79086031459
2025-11-11,,,,,,8851.62325260067
2025-11-12,,,,,,9950.93234590895
2025-11-13,,,,,,9467.87997212758
2025-11-14,,,,,,9544.12161842132
2025-11-15,,,,,,9333.51290933922
2025-11-16,,,,,,9173.99218483273
2025-11-17,,,,,,9011.298870713
2025-11-18,,,,,,9889.13712356908
2025-11-19,,,,,,9596.47743994617
2025-11-20,,,,,,9564.75626261318
2025-11-21,,,,,,8686.68565191949
2025-11-22,,,,,,10214.1857859318
2025-11-23,,,,,,9451.88124621311
2025-11-24,,,,,,6079.46020263321
2025-11-25,,,,,,5374.61570656209
2025-11-26,,,,,,11707.8341011016
2025-11-27,,,,,,11775.8783219457
2025-11-28,,,,,,11571.1209688819
2025-11-29,,,,,,11861.6735440775
2025-11-30,,,,,,11887.6663582168
2025-12-01,,,,,,11864.3409152842
2025-12-02,,,,,,11893.2425488668
2025-12-03,,,,,,12973.3449464903
2025-12-04,,,,,,12658.3819635494
2025-12-05,,,,,,12322.6964265391
2025-12-06,,,,,,12456.9672494388
2025-12-07,,,,,,12065.4739562143
2025-12-08,,,,,,12745.6531732346
2025-12-09,,,,,,12460.9523611447
2025-12-10,,,,,,11932.3697964303
2025-12-11,,,,,,11994.3738777047
2025-12-12,,,,,,11319.591908741
2025-12-13,,,,,,11919.132699062
2025-12-14,,,,,,11312.1075567468
2025-12-15,,,,,,11393.5585256885
2025-12-16,,,,,,11676.2166660775
2025-12-17,,,,,,11731.6519737346
2025-12-18,,,,,,12318.0047018706
2025-12-19,,,,,,11714.4664622747
2025-12-20,,,,,,11703.4627583666
2025-12-21,,,,,,11390.8845386868
2025-12-22,,,,,,12364.673782731
2025-12-23,,,,,,11926.4279969655
2025-12-24,,,,,,12659.8641664553
2025-12-25,,,,,,11726.5802912201
2025-12-26,,,,,,11517.4173602155
2025-12-27,,,,,,11540.4749005919
2025-12-28,,,,,,11960.2497387902
2025-12-29,,,,,,12292.8628435605
2025-12-30,,,,,,11914.0573649508
2025-12-31,,,,,,12153.2451645012
2026-01-01,,,,,,11604.8895529931
2026-01-02,,,,,,13177.266560348
2026-01-03,,,,,,11994.229289636
2026-01-04,,,,,,12084.3065777729
2026-01-05,,,,,,13355.483412049
2026-01-06,,,,,,11837.0485278691
2026-01-07,,,,,,13512.9709718098
2026-01-08,,,,,,26261.9864737255
2026-01-09,,,,,,11704.8638736204
2026-01-10,,,,,,12254.4748415492
2026-01-11,,,,,,11911.7980642387
2026-01-12,,,,,,12413.648193107
2026-01-13,,,,,,13410.0120784332
2026-01-14,,,,,,15130.3209501885
2026-01-15,,,,,,14860.9403447582
2026-01-16,,,,,,14926.1861180901
2026-01-17,,,,,,8332.39846567784
2026-01-18,,,,,,12071.3999180244
2026-01-19,,,,,,12401.7191735534
2026-01-20,,,,,,14530.9661599198
2026-01-21,,,,,,18307.2881689096
2026-01-22,30.8479706297117,0.000344287838486761,0.0103102347277721,26.4268168003798,30.8479706297117,15538.9168157282
2026-01-23,31.7386936381669,0.0003550360182528,0.0107665692595209,27.0050381583104,31.7386936381669,14018.0048374052
2026-01-24,31.2845809580016,0.000349783774003004,0.0105992133046301,26.4637437922436,31.2845809580016,12558.2231408199
2026-01-25,31.0001460102461,0.000347593570204859,0.0105061661832244,26.2256415269149,31.0001460102461,12285.3038954956
2026-01-26,31.0277408838674,0.00035892764404688,0.0110543884188658,26.1543240905201,31.0277408838674,12976.9679533047
2026-01-27,31.3288837106159,0.000354650061741129,0.0106917968873332,26.380205868266,31.3288837106159,15755.8980263339
2026-01-28,30.5569953990252,0.000342335482038638,0.0101087575079665,25.4129233264427,30.5569953990252,
