time,volume_reported_spot_usd_1d
2023-04-24,57542.2628741362
2023-04-25,58197.2172246117
2023-04-26,65760.0082232066
2023-04-27,57284.3453692453
2023-04-28,57227.3689291204
2023-04-29,54859.4826395546
2023-04-30,57219.6860295525
2023-05-01,59378.6341588334
2023-05-02,56300.8071611244
2023-05-03,56662.8442599549
2023-05-04,57701.7716486438
2023-05-05,54756.5898234046
2023-05-06,53123.6911609296
2023-05-07,55555.8674852728
2023-05-08,56643.5049467569
2023-05-09,54557.3435129342
2023-05-10,53262.0025693444
2023-05-11,52406.4189745522
2023-05-12,48033.3036571582
2023-05-13,55948.0944643505
2023-05-14,51517.0798361078
2023-05-15,52096.8412974737
2023-05-16,183862.206869812
2023-05-17,74155.8931845848
2023-05-18,202696.002860127
2023-05-19,80757.4396404274
2023-05-20,73576.7235518687
2023-05-21,53487.2503982769
2023-05-22,59304.8537684437
2023-05-23,87151.0899713313
2023-05-24,28167.6916433869
2023-05-25,19514.6189020422
2023-05-26,14180.8691770265
2023-05-27,14688.1514325452
2023-05-28,23835.2134125762
2023-05-29,33837.0274379722
2023-05-30,22989.8888312061
2023-05-31,29210.4374843377
2023-06-01,73595.1343633106
2023-06-02,80883581.4691482
2023-06-03,55100192.4211874
2023-06-04,18864058.5102518
2023-06-05,21855758.6254598
2023-06-06,13251845.2173785
2023-06-07,10958498.5665862
2023-06-08,7857960.42836734
2023-06-09,7266271.92379219
2023-06-10,12769877.7201382
2023-06-11,14547020.5064885
2023-06-12,4819060.55359488
2023-06-13,4927466.3436198
2023-06-14,4656442.2067935
2023-06-15,3796670.2124927
2023-06-16,3573655.92056683
2023-06-17,7148588.4162646
2023-06-18,3860179.17587911
2023-06-19,3122290.78496512
2023-06-20,3671672.51560083
2023-06-21,7337093.27787622
2023-06-22,11212398.0079246
2023-06-23,6755897.28904765
2023-06-24,10373327.0590468
2023-06-25,6279552.42003958
2023-06-26,4964286.29884894
2023-06-27,767503.280128416
2023-06-28,91915.1289471935
2023-06-29,44662.0505663145
2023-06-30,68956.6451942616
2023-07-01,80573.5310508659
2023-07-02,40376.6218734461
2023-07-03,37973.2323762377
2023-07-04,46496.6464936361
2023-07-05,79431.0628847633
2023-07-06,101401.594587332
2023-07-07,59096.7505641555
2023-07-08,41369.4735130496
2023-07-09,53364.0263529333
2023-07-10,110524.527595562
2023-07-11,88758.7989994457
2023-07-12,101015.818631052
2023-07-13,112672.398168621
2023-07-14,87734.7089905909
2023-07-15,44610.0392021183
2023-07-16,62083.8097546917
2023-07-17,60329.0888710764
2023-07-18,72148.2732193375
2023-07-19,44434.7077709782
2023-07-20,51743.6505737892
2023-07-21,59700.2943738203
2023-07-22,24963.6588541297
2023-07-23,104619.363314856
2023-07-24,58466.7783665043
2023-07-25,37731.9710110557
2023-07-26,34476.9861804366
2023-07-27,35159.9189605686
2023-07-28,94769.4847714009
2023-07-29,37438.6180664509
2023-07-30,31197.9347839973
2023-07-31,26261.2808520569
2023-08-01,42344.0341828256
2023-08-02,25565.4237940937
2023-08-03,27043.8277149374
2023-08-04,35800.5885819774
2023-08-05,31787.7431311159
2023-08-06,176314.902679922
2023-08-07,94783.309802718
2023-08-08,38357.9473416866
2023-08-09,33950.5563549876
2023-08-10,66604.0208414213
2023-08-11,93402.8713871222
2023-08-12,129272.594347226
2023-08-13,121974.18727033
2023-08-14,121514.697393245
2023-08-15,111039.908887864
2023-08-16,130489.812207411
2023-08-17,180023.82838933
2023-08-18,187158.744810713
2023-08-19,137588.459098253
2023-08-20,97355.668014287
2023-08-21,87525.6930871114
2023-08-22,116347.74189946
2023-08-23,79236.2693104129
2023-08-24,38562.0455047775
2023-08-25,33059.4559553746
2023-08-26,25055.2481891677
2023-08-27,25731.407083954
2023-08-28,44632.4004267857
2023-08-29,110560.683927758
2023-08-30,86325.1430341596
2023-08-31,69387.0020308358
2023-09-01,147720.567952477
2023-09-02,301381.5215429
2023-09-03,98964.3566838922
2023-09-04,192980.689135449
2023-09-05,163513.648100851
2023-09-06,198245.559625743
2023-09-07,88449.1074595278
2023-09-08,492869.901722905
2023-09-09,307059.712654524
2023-09-10,153756.13588468
2023-09-11,114710.856305673
2023-09-12,110739.864311986
2023-09-13,94526.647739483
2023-09-14,82858.7407768374
2023-09-15,85288.5727369373
2023-09-16,323306.929198673
2023-09-17,115343.396364151
2023-09-18,85681.6860933346
2023-09-19,156765.99165085
