time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,principal_market_price_usd,principal_market_usd
2021-03-25,0,,,,,,,
2021-03-26,0,,,,,,,
2021-03-27,88325772.92700730201649710105997838221592,,,,,,,
2021-03-28,69863938.951834512192270815167947058964593,,,,,,,
2021-03-29,77889880.687191054222519197323386225820956,,,,,,,
2021-03-30,72436200.883482893871373069280014297728079,,,,,,,
2021-03-31,61609905.347761745869950446619935076530547,,,,,,,
2021-04-01,66359230.944680567597207336432810402446449,,,,,,,
2021-04-02,72549159.138084960810273879606873423490693,,,,,,,
2021-04-03,61554218.16023195911120277900790808378164,,,,,,,
2021-04-04,70842204.641733039754199777923229635729659,,,,,,,
2021-04-05,64335360.725327827911518648329633510068285,,,,,,,
2021-04-06,62141563.05189694618994368946303178051516,,,,,,,
2021-04-07,54401299.321531730306234706578901900563084,,,,,,,
2021-04-08,58344879.11222341584207786056482841390003,,,,,,,
2021-04-09,55205891.60079678307740769383880739467515,,,,,,,
2021-04-10,55618690.329329896624325390847234735802043,,,,,,,
2021-04-11,53623057.555365089487193398409478667496316,,,,,,,
2021-04-12,57282200.31155066649182359025134897869797,,,,,,,
2021-04-13,72936019.43178455231998724391563454231072,,,,,,,
2021-04-14,66989087.293528570712962915912754851680144,,,,,,,
2021-04-15,68689395.435949922046296143250439268617042,,,,,,,
2021-04-16,63390955.66071612514157779691589059018454,,,,,,,
2021-04-17,59572516.560007434011662385799857415480736,,,,,,,
2021-04-18,59758745.673447363400824830208987494906682,,,,,,,
2021-04-19,55644694.625735417738405235575986319262848,,,,,,,
2021-04-20,56135249.061465555373321159031476439889188,,,,,,,
2021-04-21,56727434.252586751294674172874125910103035,,,,,,,
2021-04-22,55737016.310785359861141985926000712430211,,,,,,,
2021-04-23,55128633.681905380521517349336972366800052,,,,,,,
2021-04-24,52182577.3840990594043563858523308946010822,,,,,,,
2021-04-25,50873245.6984929630282697977376381684496721,,,,,,,
2021-04-26,57021167.054010739140399204791852054986792,,,,,,,
2021-04-27,59774728.51956379518907868763874494882602,,,,,,,
2021-04-28,59159120.576657036991714089619244672806328,,,,,,,
2021-04-29,58973315.534221406997004580094551718490527,,,,,,,
2021-04-30,59083408.458783536046770168461565234227116,,,,,,,
2021-05-01,59519136.608604936639759926503259722710675,,,,,,,
2021-05-02,53859293.4766642409401318599820309036989855,,,,,,,
2021-05-03,62210738.182410256305633152031924973486179,,,,,,,
2021-05-04,54459661.3271025340638983761481637027212628,,,,,,,
2021-05-05,58980252.009521959630118313024921712763214,,,,,,,
2021-05-06,56058307.1812462553372311543292306099448488,,,,,,,
2021-05-07,56056845.8549269281631876811915256982449165,,,,,,,
2021-05-08,56498556.4027574865333636270697371441093606,,,,,,,
2021-05-09,55897514.3315959520201828988322389658149545,,,,,,,
2021-05-10,56588283.09341717318976399008271727932392,,,,,,,
2021-05-11,58595638.826148673012230742820028825401946,,,,,,,
