time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2026-03-25,,,,,,54352.6544402015
2026-03-26,,,,,,56165.6513321993
2026-03-27,,,,,,59995.4018892784
2026-03-28,,,,,,56936.4515009125
2026-03-29,,,,,,56434.5984756712
2026-03-30,,,,,,57882.8137183827
2026-03-31,,,,,,60576.3710737926
2026-04-01,,,,,,61162.3065685682
2026-04-02,,,,,,60568.2013339293
2026-04-03,,,,,,56697.0103095189
2026-04-04,,,,,,55669.6029837026
2026-04-05,,,,,,57576.8891029465
2026-04-06,,,,,,57875.9903084565
2026-04-07,,,,,,64762.5170714183
2026-04-08,,,,,,58473.7847004611
2026-04-09,,,,,,59945.1538208708
2026-04-10,,,,,,58351.6442790613
2026-04-11,,,,,,57478.9185621125
2026-04-12,,,,,,55711.7121184105
2026-04-13,,,,,,68259.036534771
2026-04-14,,,,,,57975.6324002732
2026-04-15,119.52640919642,0.00161144338239729,0.0514487959035993,101.324615854942,119.52640919642,56809.4199859972
2026-04-16,120.210682661513,0.00160791230162163,0.0510064018015994,101.834258506904,120.210682661513,57017.3212754884
2026-04-17,122.180922171944,0.00162700194861354,0.0520000827373969,103.685686761162,122.180922171944,63363.9335062854
2026-04-18,116.57083758886,0.00151165948878888,0.0481247088058398,99.101260234324,116.57083758886,55265.9627258687
2026-04-19,116.177407902631,0.00153284397010582,0.0493547913028689,98.7841552390858,116.177407902631,52656.0052824732
2026-04-20,117.723283296068,0.00159289571995604,0.0519553264303548,100.308791830667,117.723283296068,64351.6373943057
2026-04-21,117.252086213038,0.00154657268392696,0.0506758287472995,99.5041074046854,117.252086213038,
