time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-07-30,,,,,,671800.581976955
2025-07-31,,,,,,890538.779755206
2025-08-01,,,,,,1389416.19067957
2025-08-02,,,,,,274351.67945018
2025-08-03,,,,,,237794.406518547
2025-08-04,,,,,,1435745.65942607
2025-08-05,,,,,,743654.262542885
2025-08-06,,,,,,860698.963982651
2025-08-07,,,,,,2207926.93295086
2025-08-08,,,,,,1638487.81184168
2025-08-09,,,,,,3683663.83271887
2025-08-10,,,,,,165201.713925757
2025-08-11,,,,,,4603869.27894671
2025-08-12,,,,,,4458236.30016355
2025-08-13,,,,,,3727748.6040037
2025-08-14,,,,,,4476658.80080973
2025-08-15,,,,,,2504383.78075257
2025-08-16,,,,,,201568.375037702
2025-08-17,,,,,,626188.487947189
2025-08-18,,,,,,3848334.84148071
2025-08-19,,,,,,3146169.11866482
2025-08-20,,,,,,3855567.7078764
2025-08-21,,,,,,2882539.29856293
2025-08-22,,,,,,4042993.70825058
2025-08-23,,,,,,349163.851096514
2025-08-24,,,,,,612934.355817115
2025-08-25,,,,,,4095579.65331105
2025-08-26,,,,,,2522525.28739548
2025-08-27,,,,,,1935871.63054977
2025-08-28,,,,,,2219171.86718388
2025-08-29,,,,,,2453956.847651
2025-08-30,,,,,,201697.244066631
2025-08-31,,,,,,96664.4295049665
2025-09-01,,,,,,362513.492319454
2025-09-02,,,,,,2843201.83757041
2025-09-03,,,,,,3027782.6569677
2025-09-04,,,,,,2602217.98618181
2025-09-05,,,,,,3430296.48005633
2025-09-06,,,,,,1090103.02230759
2025-09-07,,,,,,540135.134571635
2025-09-08,,,,,,2567365.89874932
2025-09-09,,,,,,766363.946420243
2025-09-10,,,,,,1373941.30598885
2025-09-11,,,,,,6499560.49671295
2025-09-12,,,,,,4899556.29809657
2025-09-13,,,,,,610047.798499625
2025-09-14,,,,,,1004344.91225595
2025-09-15,,,,,,2522072.20292319
2025-09-16,,,,,,2604522.52661071
2025-09-17,,,,,,2702253.03584196
2025-09-18,,,,,,3140322.35597962
2025-09-19,,,,,,2686422.35469958
2025-09-20,,,,,,439820.567417845
2025-09-21,,,,,,420985.131229691
2025-09-22,,,,,,10120692.5758824
2025-09-23,,,,,,1058438.21134731
2025-09-24,,,,,,1947836.17877733
2025-09-25,,,,,,2003217.6880952
2025-09-26,,,,,,953333.243858115
2025-09-27,,,,,,136557.773286309
2025-09-28,,,,,,206310.073092431
2025-09-29,,,,,,2406653.9399068
2025-09-30,,,,,,1788576.36843005
2025-10-01,,,,,,1560951.2404935
2025-10-02,,,,,,2300883.06361883
2025-10-03,,,,,,2169286.95939961
2025-10-04,,,,,,386466.255871108
2025-10-05,,,,,,508647.154888734
2025-10-06,,,,,,1661719.26705864
2025-10-07,,,,,,893312.133109803
2025-10-08,,,,,,1979956.47777228
2025-10-09,,,,,,1126844.74458554
2025-10-10,,,,,,2702560.17365577
2025-10-11,,,,,,449902.354492996
2025-10-12,,,,,,814790.256726964
2025-10-13,,,,,,1217809.02824365
2025-10-14,,,,,,1655768.91342171
2025-10-15,,,,,,2011045.52024935
2025-10-16,,,,,,975285.715116988
2025-10-17,,,,,,1543084.64382943
2025-10-18,,,,,,307365.15914499
2025-10-19,,,,,,206893.862747164
2025-10-20,,,,,,2788578.61608755
2025-10-21,,,,,,1611894.09151032
2025-10-22,,,,,,2142281.07567679
2025-10-23,,,,,,1509230.98784944
2025-10-24,,,,,,2444727.81792032
2025-10-25,,,,,,289344.691168787
2025-10-26,,,,,,304202.806034426
2025-10-27,142.308777765337,0.00124225191797993,0.0341574224658212,122.247321565597,142.308777765337,2117406.50587165
2025-10-28,142.397390878545,0.00124813892084375,0.0345715800931728,122.188095803818,142.397390878545,1409192.0111766
2025-10-29,136.718696186969,0.00121010679978502,0.0343137753089255,117.396955251401,136.718696186969,1595522.46803281
2025-10-30,131.65754017369,0.00119464570402004,0.0337337411516151,113.471542802196,131.65754017369,1459119.82530847
2025-10-31,125.853195363015,0.00116509458538526,0.0331971665091701,108.845973149425,125.853195363015,991498.91580511
2025-11-01,127.341105186115,0.00116235670676787,0.033065776764371,110.288855434599,127.341105186115,252084.70326482
2025-11-02,128.997290529965,0.00117264618513995,0.0333180207386046,111.680272783365,128.997290529965,
