time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2026-04-16,,,,,,316.6337574904
2026-04-17,,,,,,0
2026-04-18,,,,,,0
2026-04-19,,,,,,0
2026-04-20,,,,,,561.5118798428
2026-04-21,,,,,,554.3686166671
2026-04-22,,,,,,107.9041804758
2026-04-23,,,,,,224.8740307923
2026-04-24,,,,,,13.0874399092
2026-04-25,,,,,,0
2026-04-26,,,,,,0
2026-04-27,,,,,,101.428652276
2026-04-28,,,,,,36.079674092
2026-04-29,,,,,,0
2026-04-30,,,,,,0.824669664
2026-05-01,,,,,,432.2800864283
2026-05-02,,,,,,0
2026-05-03,,,,,,0
2026-05-04,,,,,,1803.0824939582
2026-05-05,,,,,,131.7767436044
2026-05-06,,,,,,275.5608418702
2026-05-07,183.04947,0.0022497428207829,0.0779405921033665,155.80997443247,183.04947,110.2188130201
2026-05-08,184.09564,0.00230151199431012,0.0803813554437815,156.961289229406,184.09564,100.2944969366
2026-05-09,182.2225,0.00227267646934704,0.0790085547845442,154.66239133138,182.2225,0
2026-05-10,182.2225,0.00225904166210027,0.0783284787510947,154.714975964369,182.2225,0
2026-05-11,182.2225,0.00221528848417303,0.0767320646745119,154.866729123675,182.2225,558.706019674
2026-05-12,176.11487,0.00215523986959784,0.0752923525515284,149.506434833172,176.11487,380.6376326875
2026-05-13,171.46192,0.00212928557789447,0.0752846010459237,146.103051148582,171.46192,
