time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2023-04-24,,,,,,108485.468543714
2023-04-25,,,,,,87116.518612422
2023-04-26,,,,,,104004.511112342
2023-04-27,,,,,,35749.2247370569
2023-04-28,,,,,,49569.7615892819
2023-04-29,,,,,,49037.303876072
2023-04-30,,,,,,57421.7587349607
2023-05-01,,,,,,43662.8102867753
2023-05-02,,,,,,83935.0745797443
2023-05-03,,,,,,48191.2358800446
2023-05-04,,,,,,56006.0240277685
2023-05-05,,,,,,56539.8177992675
2023-05-06,,,,,,87895.6284905928
2023-05-07,,,,,,70779.3552575126
2023-05-08,,,,,,212187.923487105
2023-05-09,,,,,,217148.841739694
2023-05-10,,,,,,86454.1984163947
2023-05-11,,,,,,56643.7940622812
2023-05-12,,,,,,41637.5752650738
2023-05-13,,,,,,48187.149342281
2023-05-14,,,,,,50090.7085952494
2023-05-15,,,,,,56541.2310662788
2023-05-16,,,,,,147404.033164637
2023-05-17,,,,,,105278.516377383
2023-05-18,,,,,,49577.4839295229
2023-05-19,,,,,,41737.2302445612
2023-05-20,,,,,,230301.400639752
2023-05-21,,,,,,85527.2870111874
2023-05-22,,,,,,49023.3284537229
2023-05-23,,,,,,44521.2883192306
2023-05-24,,,,,,53256.9400813211
2023-05-25,,,,,,73209.7513676848
2023-05-26,,,,,,81795.3392109933
2023-05-27,,,,,,104307.186372713
2023-05-28,,,,,,42669.586223975
2023-05-29,,,,,,44944.0758691509
2023-05-30,,,,,,34002.1876157445
2023-05-31,,,,,,50017.9170959234
2023-06-01,,,,,,46411.9250712698
2023-06-02,,,,,,39517.2772446982
2023-06-03,,,,,,39754.1892182179
2023-06-04,,,,,,53007.6886252799
2023-06-05,,,,,,57729.8110951656
2023-06-06,,,,,,89473.1721205675
2023-06-07,,,,,,134005.026559725
2023-06-08,,,,,,70483.140661482
2023-06-09,,,,,,89540.2141515734
2023-06-10,,,,,,111652.780226151
2023-06-11,,,,,,152003.292894175
2023-06-12,,,,,,65391.8325713059
2023-06-13,,,,,,61387.6136968092
2023-06-14,,,,,,51945.8217858829
2023-06-15,,,,,,48516.2195433327
2023-06-16,,,,,,53249.1823893293
2023-06-17,,,,,,41882.8218160487
2023-06-18,,,,,,42041.1388463316
2023-06-19,,,,,,43114.8194319859
2023-06-20,,,,,,52336.3593846368
2023-06-21,,,,,,82016.3834784542
2023-06-22,,,,,,59366.6408295798
2023-06-23,,,,,,54049.771446918
2023-06-24,,,,,,43273.90267482
2023-06-25,,,,,,45303.5330135248
2023-06-26,,,,,,41616.4607704644
2023-06-27,,,,,,40257.8625382071
2023-06-28,,,,,,37192.5858759118
2023-06-29,,,,,,39020.9400916037
2023-06-30,,,,,,34815.8135455808
2023-07-01,,,,,,42261.0633950638
2023-07-02,,,,,,38855.4724143651
2023-07-03,,,,,,51941.2606102685
2023-07-04,,,,,,152014.737182794
2023-07-05,,,,,,681167.822351832
2023-07-06,,,,,,181831.904349192
2023-07-07,,,,,,84936.9257818613
2023-07-08,,,,,,275800.131181146
2023-07-09,,,,,,125314.174907409
2023-07-10,,,,,,75401.0634832116
2023-07-11,,,,,,37107.0411409547
2023-07-12,,,,,,66001.3018877913
2023-07-13,,,,,,89653.592072863
2023-07-14,,,,,,59745.1498769312
2023-07-15,,,,,,68722.852657531
2023-07-16,,,,,,28020.5771215112
2023-07-17,,,,,,5248.01313433168
2023-07-18,,,,,,9918.94252397669
2023-07-19,,,,,,46628.7197170487
2023-07-20,,,,,,46861.2230691259
2023-07-21,,,,,,79398.2243052166
2023-07-22,,,,,,71362.9806350225
2023-07-23,,,,,,44123.8799024289
2023-07-24,,,,,,37686.6301832457
2023-07-25,,,,,,36583.5039416104
2023-07-26,,,,,,39730.2301725992
2023-07-27,,,,,,58058.5958682272
2023-07-28,,,,,,62052.4969193823
2023-07-29,,,,,,46881.8638816478
2023-07-30,,,,,,34023.0945783607
2023-07-31,,,,,,88072.4787943368
2023-08-01,,,,,,86982.9960560985
2023-08-02,,,,,,62158.2239294546
2023-08-03,,,,,,57844.3358473473
2023-08-04,,,,,,51855.9992240446
2023-08-05,,,,,,37000.6839237839
2023-08-06,,,,,,58333.576704967
2023-08-07,,,,,,66290.542223157
2023-08-08,,,,,,54038.1384453239
2023-08-09,,,,,,47290.1427045625
2023-08-10,,,,,,47529.1798860729
2023-08-11,,,,,,65818.1086291132
2023-08-12,,,,,,43772.0754876977
2023-08-13,,,,,,45853.4129286351
2023-08-14,,,,,,48978.4467607769
2023-08-15,,,,,,37495.3229965961
2023-08-16,,,,,,30064.7790508989
2023-08-17,,,,,,85215.1356644976
2023-08-18,,,,,,102898.362910091
2023-08-19,,,,,,82625.4486589021
2023-08-20,,,,,,43627.530112893
2023-08-21,,,,,,50659.0433080875
2023-08-22,,,,,,33222.8594687097
2023-08-23,,,,,,46615.1558908088
2023-08-24,,,,,,148886.3978529
2023-08-25,,,,,,64946.6954758975
2023-08-26,,,,,,108744.711103252
2023-08-27,,,,,,53028.2521912605
2023-08-28,,,,,,27033.6360629239
2023-08-29,,,,,,42541.2900355504
2023-08-30,,,,,,32005.9407743922
