time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2026-01-23,,,,,,1475212.27770863
2026-01-24,,,,,,53797.6918465954
2026-01-25,,,,,,53349.0014565475
2026-01-26,,,,,,1824376.91071194
2026-01-27,,,,,,1584799.95775607
2026-01-28,,,,,,8816417.8467612
2026-01-29,,,,,,1423043.2779133
2026-01-30,,,,,,1413145.60390875
2026-01-31,,,,,,58333.855806728
2026-02-01,,,,,,56397.5967903381
2026-02-02,,,,,,1265850.51737923
2026-02-03,,,,,,1388281.57026316
2026-02-04,,,,,,1376042.53139411
2026-02-05,,,,,,1370549.43309368
2026-02-09,,,,,,590537.6969293
2026-02-10,,,,,,566085.948590639
2026-02-11,,,,,,1169682.16188253
2026-02-12,,,,,,2155267.01298522
2026-02-13,,,,,,1247296.09192825
2026-02-14,,,,,,60011.9136713806
2026-02-15,,,,,,54621.0074225064
2026-02-16,,,,,,55798.8621936539
2026-02-17,,,,,,1110682.64762156
2026-02-18,,,,,,1127749.52046887
2026-02-19,,,,,,1319379.37897356
2026-02-20,,,,,,388529.997053608
2026-02-21,,,,,,56773.5469042615
2026-02-22,,,,,,55817.7579765388
2026-02-23,,,,,,279973.638757606
2026-02-24,325.393111915515,0.00503004410102726,0.175242661358836,276.03089137657,325.393111915515,291675.965767307
2026-02-25,326.13301140364,0.00508599397135717,0.175773096683384,276.99759719354,326.13301140364,280865.720382329
2026-02-26,333.261883966421,0.00489813525178519,0.161990995300591,282.122820479421,333.261883966421,236961.651200973
2026-02-27,351.844952793446,0.00521103058877613,0.173454021899699,298.282913145789,351.844952793446,282938.351622576
2026-02-28,333.467247118509,0.00506295638714058,0.172807269500116,282.50585464124,333.467247118509,58213.3219111725
2026-03-01,334.440573314574,0.00499421190839875,0.170329775116574,283.512735791624,334.440573314574,54203.2575376113
2026-03-02,333.646310432069,0.00507574071855125,0.17211868007147,283.696919793507,333.646310432069,
