time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-12-09,,,,,,1080792.30226439
2025-12-10,,,,,,1271045.00738961
2025-12-11,,,,,,2105495.84399855
2025-12-12,,,,,,1337837.52842919
2025-12-13,,,,,,131193.702329045
2025-12-14,,,,,,68644.1903858688
2025-12-15,,,,,,1735047.52853277
2025-12-16,,,,,,560235.813450859
2025-12-17,,,,,,434271.918903988
2025-12-18,,,,,,629695.541362977
2025-12-19,,,,,,573437.707066129
2025-12-20,,,,,,71188.52460699
2025-12-21,,,,,,54109.3731374148
2025-12-22,,,,,,886979.127373592
2025-12-23,,,,,,687582.43349848
2025-12-24,,,,,,394542.080428364
2025-12-25,,,,,,18303.4736425893
2025-12-26,,,,,,655882.036743398
2025-12-27,,,,,,37081.4281552808
2025-12-28,,,,,,46965.831711324
2025-12-29,,,,,,873545.978918043
2025-12-30,,,,,,801012.904219433
2025-12-31,,,,,,779638.607983428
2026-01-01,,,,,,81303.7381560343
2026-01-02,,,,,,731585.752785595
2026-01-03,,,,,,119359.507977213
2026-01-04,,,,,,95588.4487840877
2026-01-05,,,,,,1528790.53607376
2026-01-06,,,,,,825239.897936648
2026-01-07,,,,,,709835.71493801
2026-01-08,,,,,,694144.612516647
2026-01-09,,,,,,1025149.54204502
2026-01-10,,,,,,71227.5416412995
2026-01-11,,,,,,39485.9328945458
2026-01-12,,,,,,725432.411738159
2026-01-13,,,,,,936238.37221804
2026-01-14,,,,,,1078662.28792711
2026-01-15,,,,,,785401.842864681
2026-01-16,,,,,,530571.223849246
2026-01-17,,,,,,44645.9672420158
2026-01-18,,,,,,22679.3390492188
2026-01-19,,,,,,36112.3270316051
2026-01-20,,,,,,600147.230558536
2026-01-21,,,,,,468616.610835511
2026-01-22,,,,,,688105.620172226
2026-01-23,,,,,,715436.471045953
2026-01-24,,,,,,90289.0525953784
2026-01-25,,,,,,23836.9338557804
2026-01-26,,,,,,674280.940107471
2026-01-27,,,,,,470330.038751107
2026-01-28,,,,,,707249.321149637
2026-01-29,,,,,,1655327.39940514
2026-01-30,,,,,,2229570.26896291
2026-01-31,,,,,,135132.677109382
2026-02-01,,,,,,54476.8476661999
2026-02-02,,,,,,1757532.61541338
2026-02-03,,,,,,1538280.04275613
2026-02-04,,,,,,1002223.87160802
2026-02-05,,,,,,962590.556287835
2026-02-06,,,,,,788048.226003939
2026-02-07,,,,,,85237.8325759615
2026-02-08,,,,,,55449.4198100267
2026-02-09,,,,,,529899.412552397
2026-02-10,,,,,,645596.799553256
2026-02-11,,,,,,728438.498177283
2026-02-12,187.30992219722,0.00279609963627529,0.0965486023596947,157.813546862576,187.30992219722,855837.528908164
2026-02-13,184.014532032643,0.00277877137940211,0.0946159950193864,155.118288976652,184.014532032643,644700.966600175
2026-02-14,185.298015140335,0.00269090548430511,0.0904549179473446,156.229600906903,185.298015140335,86826.6442202945
2026-02-15,185.091462182718,0.00265181312296965,0.088703136690685,156.280624548104,185.091462182718,66458.3272091576
2026-02-16,185.673904627718,0.00270543512909737,0.0947179518995666,156.590064514651,185.673904627718,75052.3247607229
2026-02-17,184.951884082351,0.00269030947750089,0.0926430712381368,156.138337675701,184.951884082351,742926.089429564
2026-02-18,183.537785004727,0.00272024494508118,0.0921175252477319,154.922121605189,183.537785004727,
