time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2024-11-19,,,,,,1090901.3799062
2024-11-20,,,,,,644344.799831266
2024-11-21,,,,,,3810769.63354259
2024-11-22,,,,,,1018030.98038746
2024-11-23,,,,,,1134010.04303288
2024-11-24,,,,,,579647.792308147
2024-11-25,,,,,,741825.230178706
2024-11-26,,,,,,566881.457098274
2024-11-27,,,,,,411627.189618957
2024-11-28,,,,,,369495.463406006
2024-11-29,,,,,,432403.957079659
2024-11-30,,,,,,424569.149272993
2024-12-01,,,,,,441547.13508405
2024-12-02,,,,,,423664.038845923
2024-12-03,,,,,,379194.48013476
2024-12-04,,,,,,354006.139849379
2024-12-05,,,,,,811329.657396632
2024-12-06,,,,,,394700.240273732
2024-12-07,,,,,,224784.321090991
2024-12-08,,,,,,399165.250610413
2024-12-09,,,,,,334917.638162459
2024-12-10,,,,,,253099.035925647
2024-12-11,,,,,,221321.357691917
2024-12-12,,,,,,222101.694185132
2024-12-13,,,,,,207525.692336464
2024-12-14,,,,,,164105.189057637
2024-12-15,,,,,,179387.965155307
2024-12-16,,,,,,321639.574429788
2024-12-17,,,,,,334870.931106983
2024-12-18,,,,,,370570.847331226
2024-12-19,,,,,,644163.562716585
2024-12-20,,,,,,411880.21854551
2024-12-21,,,,,,195353.279413235
2024-12-22,,,,,,203399.283206273
2024-12-23,,,,,,178580.589170434
2024-12-24,,,,,,185169.496049963
2024-12-25,,,,,,183514.962690712
2024-12-26,,,,,,174785.33446335
2024-12-27,,,,,,126170.766367914
2024-12-28,,,,,,1140924.00548346
2024-12-29,,,,,,375651.984309862
2024-12-30,,,,,,336250.799864488
2024-12-31,,,,,,285709.107414176
2025-01-01,,,,,,209531.764117507
2025-01-02,,,,,,143379.528631982
2025-01-03,,,,,,346535.200083636
2025-01-04,,,,,,221017.24590061
2025-01-05,,,,,,194409.877839617
2025-01-06,,,,,,258318.957765551
2025-01-07,,,,,,323971.168333894
2025-01-08,,,,,,323792.116508661
2025-01-09,,,,,,558936.585602675
2025-01-10,,,,,,297341.652026057
2025-01-11,,,,,,119292.53363116
2025-01-12,,,,,,232079.399037632
2025-01-13,,,,,,185176.150017486
2025-01-14,,,,,,242466.404926831
2025-01-15,,,,,,144202.133556757
2025-01-16,,,,,,155393.261162046
2025-01-17,,,,,,507552.636673213
2025-01-18,,,,,,584212.72927916
2025-01-19,,,,,,4494953.31468778
2025-01-20,,,,,,1306962.43904286
2025-01-21,,,,,,508174.732999057
2025-01-22,,,,,,227333.773494337
2025-01-23,,,,,,256220.632464476
2025-01-24,,,,,,232322.274549866
2025-01-25,,,,,,368640.043617437
2025-01-26,,,,,,418409.032815166
2025-01-27,,,,,,257883.843823622
2025-01-28,,,,,,249414.495495506
2025-01-29,,,,,,183055.616280499
2025-01-30,,,,,,182060.798132182
2025-01-31,,,,,,267463.420458553
2025-02-01,,,,,,273806.635323156
2025-02-02,,,,,,309310.852513571
2025-02-03,,,,,,378109.179169535
2025-02-04,,,,,,258084.161094796
2025-02-05,,,,,,184481.144016389
2025-02-06,,,,,,178060.162213231
2025-02-07,,,,,,203981.571877227
2025-02-08,,,,,,98120.3951627597
2025-02-09,,,,,,168111.482971958
2025-02-10,,,,,,222911.421999084
2025-02-11,,,,,,215185.094656669
2025-02-12,,,,,,377417.687275696
2025-02-13,,,,,,237976.617161489
2025-02-14,,,,,,266272.079547132
2025-02-15,,,,,,158754.805249251
2025-02-16,,,,,,223646.732420195
2025-02-17,,,,,,299141.657839022
2025-02-18,,,,,,314885.450306052
2025-02-19,,,,,,162141.874272588
2025-02-20,,,,,,119581.360211968
2025-02-21,,,,,,360769.643508261
2025-02-22,,,,,,235421.970238615
2025-02-23,,,,,,100676.265675441
2025-02-24,,,,,,228683.034889136
2025-02-25,,,,,,198707.97190962
2025-02-26,,,,,,228079.87405222
2025-02-27,,,,,,2484758.54897067
2025-02-28,,,,,,451770.532699341
2025-03-01,,,,,,313001.686945694
2025-03-02,,,,,,530202.012188394
2025-03-03,,,,,,838937.159542747
2025-03-04,,,,,,389971.351577171
