time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-03-15,,,,,,,953131.6429935
2025-03-16,,,,,,,686506.735225962
2025-03-17,,,,,,,988456.939564178
2025-03-18,,,,,,,1816367.08854604
2025-03-19,,,,,,,11288994.2583546
2025-03-20,,,,,,,14056544.8636374
2025-03-21,,,,,,,7196077.79195337
2025-03-22,,,,,,,3417176.5482539
2025-03-23,,,,,,,1879695.12974095
2025-03-24,,,,,,,1819843.77854133
2025-03-25,,,,,,,1024497.81323014
2025-03-26,,,,,,,1157378.76434453
2025-03-27,,,,,,,824399.243157219
2025-03-28,19166008.23113197,,,,,,908418.874861222
2025-03-29,20341543.379537543,,,,,,2599969.51555963
2025-03-30,20561639.914259788,,,,,,1763712.44632137
2025-03-31,20234492.482586799,,,,,,1533923.55903628
2025-04-01,17728930.244015572,,,,,,2212629.89049833
2025-04-02,17861479.887168142,,,,,,1978044.63147343
2025-04-03,16329863.809216456,,,,,,1598481.91668933
2025-04-04,16522426.893666522,,,,,,2012597.83973243
2025-04-05,17374777.310576126,,,,,,1413853.29523539
2025-04-06,16438664.993403086,,,,,,2501940.2378029
2025-04-07,17778976.201530463,,,,,,6664651.37174714
2025-04-08,13591514.101041712,,,,,,4663768.2768678
2025-04-09,14450830.881303455,,,,,,2140290.87704861
2025-04-10,13521875.937098221,,,,,,1952855.37951819
2025-04-11,14261050.457672394,,,,,,1433970.8482735
2025-04-12,14548919.810775574,,,,,,938381.018782278
2025-04-13,14009450.286567911,,,,,,1250009.98370389
2025-04-14,13750411.315062122,,,,,,918718.384791617
2025-04-15,12496564.70696541,,,,,,797486.135280494
2025-04-16,11686703.308636624,,,,,,2242713.22355163
2025-04-17,11938267.325478086,,,,,,824224.051239917
2025-04-18,13764356.257754514,,,,,,2783400.06276428
2025-04-19,13976282.958584603,,,,,,820348.236375376
2025-04-20,14190448.348023408,,,,,,1335983.85479042
2025-04-21,14131644.903643854,,,,,,846092.647630838
2025-04-22,15288303.930018714,,,,,,1429876.6740609
2025-04-23,15738136.632664247,,,,,,987244.794434175
2025-04-24,15483155.325055698,,,,,,752890.687857652
2025-04-25,15659421.456835744,,,,,,948524.999036235
2025-04-26,19013407.289179099,,,,,,2730198.77233059
2025-04-27,17245661.49325234,,,,,,2583789.00550177
2025-04-28,16636314.181725041,,,,,,1490289.79859248
2025-04-29,16461562.671158346,,,,,,1020025.12435425
2025-04-30,17940318.874400357,,,,,,1450367.77736597
2025-05-01,16792511.388945961,,,,,,826376.429055625
2025-05-02,16493163.427718769,,,,,,650949.896038216
2025-05-03,17578620.258568752,,,,,,1167793.67335066
2025-05-04,15111361.375241392,,,,,,1620305.1762375
2025-05-05,14786790.952635128,,,,,,759082.991781114
2025-05-06,14253146.781916211,,,,,,1035847.24824807
2025-05-07,18141652.410383169,,,,,,3029562.18221373
2025-05-08,17140685.31336949,,,,,,8823641.900293
2025-05-09,17890552.410649013,,,,,,3511549.45242205
2025-05-10,19542095.971014721,,,,,,2470891.32662763
2025-05-11,18325733.61098827,,,,,,4675702.91118543
2025-05-12,16902822.297614038,,,,,,3545822.80693032
2025-05-13,17440058.66735664,,,,,,2253572.56286453
2025-05-14,16223650.928819666,,,,,,1588807.42361647
2025-05-15,14182661.110121334,,,,,,2044901.80349693
2025-05-16,14939285.090942302,,,,,,1604163.35985147
2025-05-17,14844858.794303996,,,,,,1393943.78248098
2025-05-18,15420470.512401327,,,,,,834770.396675849
2025-05-19,14968146.240521968,,,,,,629525.544983604
2025-05-20,15614965.77365086,,,,,,996329.85342702
2025-05-21,15805782.504835416,,,,,,984019.539998156
2025-05-22,15545670.686130303,,,,,,845419.13416529
2025-05-23,14093490.473165263,,,,,,1238089.132299
2025-05-24,14287321.681812233,,,,,,663339.595521015
2025-05-25,14691181.251494157,,,,,,580696.402815601
2025-05-26,14890305.096254156,,,,,,545069.226760909
2025-05-27,14819750.740882086,,,,,,571365.008080777
2025-05-28,15840543.208101617,,,,,,1766682.75169992
2025-05-29,15999051.544256333,,,,,,986176.251773937
2025-05-30,15029674.275713927,,,,,,1359690.49489877
2025-05-31,15438016.431799157,,,,,,1013250.34545656
2025-06-01,15411742.92100918,,,,,,915694.245131587
2025-06-02,15525955.667896936,,,,,,635671.340854262
2025-06-03,15327873.043719139,,,,,,712843.413836169
2025-06-04,15361030.092975675,,,,,,631393.642040274
2025-06-05,14699191.751497716,,,,,,651073.765359327
2025-06-06,15430384.771727975,,,,,,565760.552884607
2025-06-07,15178188.989508791,,,,,,383003.854639333
2025-06-08,15288918.523261353,,,,,,489780.924442121
2025-06-09,15461867.651265638,,,,,,556109.004899679
2025-06-10,15541240.092942988,,,,,,535154.642750534
2025-06-11,15189484.612351017,,,,,,900925.384286691
2025-06-12,15314812.940877737,,,,,,589423.798610013
2025-06-13,15111511.98996833,,,,,,797095.918604124
2025-06-14,15582981.529585575,,,,,,858829.774565258
2025-06-15,15677124.241640877,,,,,,575420.437707547
2025-06-16,15911497.575606804,,,,,,618219.023408089
2025-06-17,16308407.144942427,,,,,,1270749.67360529
2025-06-18,16589483.142949348,,,,,,758725.776149923
2025-06-19,17034452.031202928,,,,,,542866.709168065
