time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-04-22,,,,,,1799137.4386897
2025-04-23,,,,,,1250560.66520189
2025-04-24,,,,,,817385.855406221
2025-04-25,,,,,,909226.746180415
2025-04-26,,,,,,469819.473772808
2025-04-27,,,,,,336976.341258133
2025-04-28,,,,,,886674.352633327
2025-04-29,,,,,,854317.212114601
2025-04-30,,,,,,859763.019525039
2025-05-01,,,,,,728967.721642391
2025-05-02,,,,,,453730.372974718
2025-05-03,,,,,,768529.814169279
2025-05-04,,,,,,390794.332665411
2025-05-05,,,,,,199734.846578746
2025-05-06,,,,,,377579.556809894
2025-05-07,,,,,,257595.501279481
2025-05-08,,,,,,397568.809197558
2025-05-09,,,,,,206816.008584238
2025-05-10,,,,,,250897.443589514
2025-05-11,,,,,,3931658.54204625
2025-05-12,,,,,,2342108.5715511
2025-05-13,,,,,,7513616.00364334
2025-05-14,,,,,,7244680.21675046
2025-05-15,,,,,,1464842.61769098
2025-05-16,,,,,,840116.996560488
2025-05-17,,,,,,6651034.04447742
2025-05-18,,,,,,11923090.4389558
2025-05-19,,,,,,4093342.94927387
2025-05-20,,,,,,1783566.41610458
2025-05-21,,,,,,2409337.48884738
2025-05-22,,,,,,1257149.03977037
2025-05-23,,,,,,887698.761354089
2025-05-24,,,,,,1948128.64107005
2025-05-25,,,,,,947712.265848466
2025-05-26,,,,,,532984.139760467
2025-05-27,,,,,,681056.867494283
2025-05-28,,,,,,654037.622616238
2025-05-29,,,,,,1719778.20600387
2025-05-30,,,,,,1672699.48767296
2025-05-31,,,,,,939614.878471313
2025-06-01,,,,,,762926.389276999
2025-06-02,,,,,,1020055.51903282
2025-06-03,,,,,,800551.460934727
2025-06-04,,,,,,1128106.37857935
2025-06-05,,,,,,721232.001822281
2025-06-06,,,,,,1641976.73153983
2025-06-07,,,,,,3613592.20520043
2025-06-08,,,,,,1016497.39611716
2025-06-09,,,,,,2155933.06454756
2025-06-10,,,,,,1817722.0186576
2025-06-11,,,,,,1557322.6788905
2025-06-12,,,,,,1089589.47311752
2025-06-13,,,,,,1132097.74047362
2025-06-14,,,,,,545973.276021171
2025-06-15,,,,,,469489.829644899
2025-06-16,,,,,,466743.815912695
2025-06-17,,,,,,692931.932714812
2025-06-18,,,,,,439755.31353194
2025-06-19,,,,,,280750.364802354
2025-06-20,,,,,,327955.11328294
2025-06-21,,,,,,300797.144339971
2025-06-22,,,,,,529173.249426248
2025-06-23,,,,,,584984.778931984
2025-06-24,,,,,,379324.755017186
2025-06-25,,,,,,996636.937573309
2025-06-26,,,,,,493849.508313065
2025-06-27,,,,,,1066841.51420664
2025-06-28,,,,,,209774.262045891
2025-06-29,,,,,,375868.512851496
2025-06-30,,,,,,342261.551773443
2025-07-01,,,,,,184788.025909034
2025-07-02,,,,,,361780.008386763
2025-07-03,,,,,,308570.030046621
2025-07-04,,,,,,150541.397358247
2025-07-05,,,,,,120080.127311561
2025-07-06,,,,,,153983.302695362
2025-07-07,,,,,,234404.457583808
2025-07-08,,,,,,203444.713297263
2025-07-09,,,,,,187483.70684792
2025-07-10,,,,,,272125.271162468
2025-07-11,,,,,,442788.722804818
2025-07-12,,,,,,216629.984706349
2025-07-13,,,,,,197809.039323401
2025-07-14,,,,,,294262.695269672
2025-07-15,,,,,,558405.257357718
2025-07-16,,,,,,558439.399148828
2025-07-17,,,,,,417011.740549281
2025-07-18,,,,,,510306.012970046
2025-07-19,,,,,,131630.561164643
2025-07-20,,,,,,173037.599853265
2025-07-21,,,,,,165342.937774485
2025-07-22,,,,,,731331.333936422
2025-07-23,,,,,,21295183.8519126
2025-07-24,,,,,,33943414.8655942
2025-07-25,,,,,,6214110.07582244
2025-07-26,,,,,,11431387.2351232
2025-07-27,,,,,,10909728.9275547
2025-07-28,,,,,,3351456.78785702
2025-07-29,,,,,,2288555.99675205
2025-07-30,,,,,,2709355.76933404
2025-07-31,,,,,,2334824.85284272
2025-08-01,,,,,,11517737.688465
2025-08-02,,,,,,7486923.66000924
2025-08-03,,,,,,3187789.10486999
2025-08-04,,,,,,4461011.31486486
2025-08-05,,,,,,2325902.37463665
2025-08-06,,,,,,1886451.06903876
2025-08-07,,,,,,4416468.78200107
2025-08-08,,,,,,8893447.43005161
2025-08-09,,,,,,5047182.18738002
2025-08-10,,,,,,2787406.07281478
2025-08-11,,,,,,4309608.54276379
2025-08-12,,,,,,1921194.93177591
2025-08-13,,,,,,10716579.0450159
2025-08-14,,,,,,30972683.1200563
2025-08-15,,,,,,16406263.1033701
2025-08-16,,,,,,27633461.7764479
2025-08-17,,,,,,58435655.5556955
2025-08-18,,,,,,36593525.3646156
2025-08-19,,,,,,24178629.2836462
2025-08-20,,,,,,34246512.7820924
2025-08-21,,,,,,11835562.9374229
2025-08-22,,,,,,15908755.5966717
2025-08-23,,,,,,9395909.03483213
2025-08-24,,,,,,12385733.3760793
2025-08-25,,,,,,11128602.3486184
2025-08-26,,,,,,7173471.05702517
2025-08-27,,,,,,5620776.6580075
2025-08-28,,,,,,7625224.59790761
2025-08-29,,,,,,15842497.4124753
2025-08-30,,,,,,8139227.232605
2025-08-31,,,,,,2376815.40050883
2025-09-01,,,,,,4396052.06351881
2025-09-02,,,,,,4035337.21275047
2025-09-03,,,,,,5125190.71158461
2025-09-04,,,,,,2697393.05227272
2025-09-05,,,,,,2369848.37295137
2025-09-06,,,,,,1683947.75776308
2025-09-07,,,,,,1628512.87637371
2025-09-08,,,,,,3736997.34444787
2025-09-09,,,,,,2561139.61157577
2025-09-10,,,,,,2741550.22058572
2025-09-11,,,,,,1146650.31042302
2025-09-12,,,,,,6568916.63373268
2025-09-13,,,,,,9291749.89766348
2025-09-14,,,,,,1792722.51016937
2025-09-15,,,,,,3933124.38697188
2025-09-16,,,,,,4808349.05685233
2025-09-17,,,,,,1982317.01315623
2025-09-18,,,,,,2398538.54561284
2025-09-19,,,,,,1013656.35499131
2025-09-20,,,,,,671162.743966254
2025-09-21,,,,,,1042111.76844041
2025-09-22,,,,,,2039901.3561128
2025-09-23,,,,,,814234.602513437
2025-09-24,,,,,,1573495.52903819
2025-09-25,,,,,,1051847.91123757
2025-09-26,,,,,,877844.683915893
2025-09-27,,,,,,1363138.92703604
2025-09-28,,,,,,886146.588570556
2025-09-29,,,,,,1956639.34630713
2025-09-30,,,,,,899232.77811103
2025-10-01,,,,,,1802611.59211081
2025-10-02,,,,,,1132263.07499983
2025-10-03,,,,,,1513223.22066937
2025-10-04,,,,,,1214763.77916858
2025-10-05,,,,,,834461.219956476
2025-10-06,,,,,,497050.035271234
2025-10-07,,,,,,864040.410220543
2025-10-08,,,,,,1079313.81908869
2025-10-09,,,,,,1948619.91434829
2025-10-10,,,,,,7830537.77100035
2025-10-11,,,,,,5361071.12166757
2025-10-12,,,,,,2080778.14738002
2025-10-13,,,,,,1522439.38135952
2025-10-14,,,,,,1512657.50670647
2025-10-15,,,,,,1115209.514351
2025-10-16,,,,,,536350.304014117
2025-10-17,,,,,,1047272.98871687
2025-10-18,,,,,,684244.839827545
2025-10-19,,,,,,3889640.22745053
2025-10-20,,,,,,1030386.86746031
2025-10-21,,,,,,979703.302719858
2025-10-22,,,,,,2337337.94061393
2025-10-23,,,,,,1199457.9341257
2025-10-24,,,,,,1423552.86635919
2025-10-25,,,,,,2707716.28775881
2025-10-26,,,,,,16841224.35508
2025-10-27,,,,,,6351550.58131426
2025-10-28,,,,,,8803165.63503882
2025-10-29,,,,,,4170095.0871962
2025-10-30,,,,,,2066103.32986293
2025-10-31,,,,,,1186438.71089626
2025-11-01,,,,,,804923.495896755
2025-11-02,,,,,,825044.347391746
2025-11-03,,,,,,1012648.27932082
2025-11-04,,,,,,814966.716846664
2025-11-05,,,,,,654945.473198505
2025-11-06,,,,,,665742.25069691
2025-11-07,,,,,,1358522.3820544
2025-11-08,,,,,,442356.767713722
2025-11-09,,,,,,1006540.83204738
2025-11-10,,,,,,1295322.76956961
2025-11-11,,,,,,548908.106442078
2025-11-12,,,,,,675925.410892794
2025-11-13,,,,,,619484.617028988
2025-11-14,,,,,,717836.390369761
2025-11-15,,,,,,239033.746822362
2025-11-16,,,,,,326545.426543781
2025-11-17,,,,,,1020906.17413532
2025-11-18,,,,,,1380662.58773466
2025-11-19,,,,,,1097124.96162025
2025-11-20,,,,,,1721488.97566961
2025-11-21,,,,,,1341051.35442185
2025-11-22,,,,,,831994.391887932
2025-11-23,,,,,,2005153.27294671
2025-11-24,,,,,,646253.867771538
2025-11-25,,,,,,265617.4679664
2025-11-26,,,,,,719097.131400593
2025-11-27,,,,,,397580.569802753
2025-11-28,,,,,,263133.67328184
2025-11-29,,,,,,268600.165768003
2025-11-30,,,,,,317364.226874134
2025-12-01,0.15846131561038,0.00000174887246721749,0.0000527745202215022,0.13666418170609,0.15846131561038,360486.159586946
2025-12-02,0.146040056725838,0.0000016882338577658,0.0000520680664414812,0.125815802945257,0.146040056725838,343726.921785996
2025-12-03,0.15329655772384,0.00000167485924038779,0.0000510413560779942,0.131829883357305,0.15329655772384,213170.313151324
2025-12-04,0.15399514502902,0.00000164508744470573,0.0000482780856622818,0.131985003356512,0.15399514502902,187587.624918568
2025-12-05,0.151354018436743,0.00000164148413981323,0.0000482560058722834,0.130009537634398,0.151354018436743,183678.588970755
2025-12-06,0.147686326014397,0.00000165419578678567,0.0000488792563168821,0.126990578191534,0.147686326014397,131978.44131297
2025-12-07,0.149207881789499,0.00000167330518068292,0.0000491427143112866,0.128296992746354,0.149207881789499,
