time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-04-22,,,,,,12552202.6010489
2025-04-23,,,,,,8595375.35450005
2025-04-24,,,,,,7050128.653844
2025-04-25,,,,,,6890867.81394629
2025-04-26,,,,,,4355343.88413505
2025-04-27,,,,,,9285096.42704352
2025-04-28,,,,,,13612186.535936
2025-04-29,,,,,,8897735.9689232
2025-04-30,,,,,,7597223.58754706
2025-05-01,,,,,,7163236.38104424
2025-05-02,,,,,,7865335.63441045
2025-05-03,,,,,,4686044.47237024
2025-05-04,,,,,,4333806.55958058
2025-05-05,,,,,,6971792.61335883
2025-05-06,,,,,,12422156.5932968
2025-05-07,,,,,,8197407.59100375
2025-05-08,,,,,,9929300.89422879
2025-05-09,,,,,,11769933.1742865
2025-05-10,,,,,,6398867.74512623
2025-05-11,,,,,,8158891.6489544
2025-05-12,,,,,,10711493.3531821
2025-05-13,,,,,,9700017.47697927
2025-05-14,,,,,,13202068.4592095
2025-05-15,,,,,,9144103.36790456
2025-05-16,,,,,,6204801.30795501
2025-05-17,,,,,,5905480.49875035
2025-05-18,,,,,,7212228.40505153
2025-05-19,,,,,,10053814.932285
2025-05-20,,,,,,7670923.00947447
2025-05-21,,,,,,14155471.8193455
2025-05-22,,,,,,16464506.4054635
2025-05-23,,,,,,11966384.9124512
2025-05-24,,,,,,9381830.49390284
2025-05-25,,,,,,7491200.61163835
2025-05-26,,,,,,6331055.61184708
2025-05-27,,,,,,7867670.04545832
2025-05-28,,,,,,7027626.75210087
2025-05-29,,,,,,7325793.84073942
2025-05-30,,,,,,9076674.99747089
2025-05-31,,,,,,4567673.70245521
2025-06-01,,,,,,3898922.92869055
2025-06-02,,,,,,4803571.88846427
2025-06-03,,,,,,10856052.1054711
2025-06-04,,,,,,9936113.45148918
2025-06-05,,,,,,12099753.1572658
2025-06-06,,,,,,10213740.917586
2025-06-07,,,,,,4362996.29803591
2025-06-08,,,,,,4000786.44410695
2025-06-09,,,,,,6734087.72713881
2025-06-10,,,,,,7215270.60682831
2025-06-11,,,,,,7865489.48457831
2025-06-12,,,,,,5827615.97966584
2025-06-13,,,,,,7863890.41181691
2025-06-14,,,,,,3756990.82730478
2025-06-15,,,,,,3451927.2484242
2025-06-16,,,,,,6362831.39452377
2025-06-17,,,,,,6948918.71900177
2025-06-18,,,,,,5298297.09975919
2025-06-19,,,,,,3973914.51248344
2025-06-20,,,,,,12000496.8492305
2025-06-21,,,,,,8607512.80007121
2025-06-22,,,,,,46416239.2018071
2025-06-23,,,,,,29343772.6380881
2025-06-24,,,,,,15811061.5163084
2025-06-25,,,,,,11472292.6883824
2025-06-26,,,,,,41302961.6289722
2025-06-27,,,,,,47046716.105419
2025-06-28,,,,,,42741777.4088964
2025-06-29,,,,,,18126475.7288979
2025-06-30,,,,,,4850971.41181296
2025-07-01,,,,,,5506593.60849828
2025-07-02,,,,,,6700672.13477712
2025-07-03,,,,,,5789434.34897336
2025-07-04,,,,,,5122335.77767263
2025-07-05,,,,,,2874421.13282559
2025-07-06,,,,,,2502092.07771248
2025-07-07,,,,,,4900581.57380507
2025-07-08,,,,,,4478203.7304773
2025-07-09,,,,,,5150875.22198945
2025-07-10,,,,,,7271777.76529638
2025-07-11,,,,,,12858862.8881326
2025-07-12,,,,,,5744575.35261398
2025-07-13,,,,,,3750181.13616132
2025-07-14,,,,,,8171540.45392233
2025-07-15,,,,,,8536449.15516265
2025-07-16,,,,,,5684989.39164707
2025-07-17,,,,,,6112598.57055972
2025-07-18,,,,,,15747045.0142457
2025-07-19,,,,,,134241545.84519
2025-07-20,,,,,,127258309.699009
2025-07-21,,,,,,46161015.5776843
2025-07-22,,,,,,24549070.917634
2025-07-23,,,,,,16113659.7072746
2025-07-24,,,,,,16733653.9330639
2025-07-25,,,,,,18061780.5413694
2025-07-26,,,,,,43094085.4313524
2025-07-27,,,,,,47037849.2520568
2025-07-28,,,,,,11701544.1040825
2025-07-29,,,,,,11934789.8055086
2025-07-30,,,,,,12308062.0747273
2025-07-31,,,,,,8513429.28066708
2025-08-01,,,,,,10935116.7097178
2025-08-02,,,,,,7433165.39598176
2025-08-03,,,,,,5439758.72063853
2025-08-04,,,,,,8449660.12711014
2025-08-05,,,,,,6242335.75887446
2025-08-06,,,,,,3854087.60277519
2025-08-07,,,,,,8875120.91801966
2025-08-08,,,,,,4913534.75720968
2025-08-09,,,,,,7490721.53238818
2025-08-10,,,,,,7002479.63125452
2025-08-11,,,,,,8106323.83624196
2025-08-12,,,,,,9196797.508028
2025-08-13,,,,,,10916984.4962124
2025-08-14,,,,,,12458581.5861755
2025-08-15,,,,,,8008025.0926132
2025-08-16,,,,,,3848484.45739297
2025-08-17,,,,,,3700991.60596477
2025-08-18,,,,,,8938664.73898377
2025-08-19,,,,,,9855148.9210078
2025-08-20,,,,,,8956901.20927503
2025-08-21,,,,,,6691033.42713862
2025-08-22,,,,,,17225574.9350823
2025-08-23,,,,,,14579225.1982613
2025-08-24,,,,,,13061139.4291817
2025-08-25,,,,,,15265194.7183772
2025-08-26,,,,,,8934482.96367113
2025-08-27,,,,,,6696969.7506837
2025-08-28,,,,,,6001921.32860281
2025-08-29,,,,,,9499181.59327704
2025-08-30,,,,,,6099773.45026116
2025-08-31,,,,,,4698959.82692145
2025-09-01,,,,,,7391296.02960207
2025-09-02,,,,,,7706375.67963807
2025-09-03,,,,,,7815292.32449434
2025-09-04,,,,,,7109383.96606043
2025-09-05,,,,,,8574168.61392019
2025-09-06,,,,,,3110180.20243108
2025-09-07,,,,,,3505865.028841
2025-09-08,,,,,,6352172.90802467
2025-09-09,,,,,,7577965.79010043
2025-09-10,,,,,,7703455.82424613
2025-09-11,,,,,,9388167.16581832
2025-09-12,,,,,,9575383.31652439
2025-09-13,,,,,,14868193.9500423
2025-09-14,,,,,,9270905.73805181
2025-09-15,,,,,,9172454.41458516
2025-09-16,,,,,,7541627.9598502
2025-09-17,,,,,,8790736.93787011
2025-09-18,,,,,,7459963.62360977
2025-09-19,,,,,,5685577.46301886
2025-09-20,,,,,,4798711.67640238
2025-09-21,,,,,,4404541.51425244
2025-09-22,,,,,,9265299.45476091
2025-09-23,,,,,,7422372.03039041
2025-09-24,,,,,,5827450.16032657
2025-09-25,,,,,,9306320.9563282
2025-09-26,,,,,,7599993.72525374
2025-09-27,,,,,,3385331.14781179
2025-09-28,,,,,,4122729.8569883
2025-09-29,,,,,,9538593.39306066
2025-09-30,,,,,,11318875.3205639
2025-10-01,,,,,,9199011.01886249
2025-10-02,,,,,,8198156.02474253
2025-10-03,,,,,,8363179.45790482
2025-10-04,,,,,,5012899.72246736
2025-10-05,,,,,,7672325.81507555
2025-10-06,,,,,,8186669.50221406
2025-10-07,,,,,,8950047.29994006
2025-10-08,,,,,,7790387.46178371
2025-10-09,,,,,,7489628.35119765
2025-10-10,,,,,,16645402.0189971
2025-10-11,,,,,,13846867.3493146
2025-10-12,,,,,,8508590.15878494
2025-10-13,,,,,,8170390.79909864
2025-10-14,,,,,,10673016.0606285
2025-10-15,,,,,,8607179.18532572
2025-10-16,,,,,,9319715.4369511
2025-10-17,,,,,,10520409.0715622
2025-10-18,,,,,,4194047.0133874
2025-10-19,,,,,,5325265.12081585
2025-10-20,,,,,,6935657.69644698
2025-10-21,,,,,,10148270.4422873
