time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2026-03-03,,,,,,21843172.4024676
2026-03-04,,,,,,22487399.8539594
2026-03-05,,,,,,30017116.075059
2026-03-06,,,,,,18026802.5779261
2026-03-07,,,,,,10084246.7746599
2026-03-08,,,,,,6581846.17541307
2026-03-09,,,,,,6363097.22757623
2026-03-10,,,,,,9710628.73586246
2026-03-11,,,,,,9430807.96794386
2026-03-12,,,,,,9547738.55472474
2026-03-13,,,,,,12273639.6015366
2026-03-14,,,,,,4717068.88494919
2026-03-15,,,,,,9198097.6055003
2026-03-16,,,,,,49340858.9832177
2026-03-17,,,,,,8639005.82251063
2026-03-18,,,,,,7795756.44373245
2026-03-19,,,,,,4388063.39092618
2026-03-20,,,,,,3701291.46640989
2026-03-21,,,,,,3523242.9554861
2026-03-22,,,,,,12154977.3709903
2026-03-23,,,,,,7690193.37515173
2026-03-24,0.0993467659951671,0.00000140466687704097,0.0000462480993708694,0.0855935554505497,0.0993467659951671,8037427.14747854
2026-03-25,0.0931014852552424,0.0000013185308112546,0.0000431612815671167,0.0801789835861655,0.0931014852552424,5528790.92778782
2026-03-26,0.0923205339210983,0.00000129515787869542,0.0000425728292940221,0.0798662649658777,0.0923205339210983,4511565.75832782
2026-03-27,0.0869950826433948,0.00000126588068470296,0.0000422504776914173,0.075439383906934,0.0869950826433948,4208499.16349707
2026-03-28,0.0802860863124997,0.00000121252119414045,0.0000403671072138507,0.0697893334061311,0.0802860863124997,4710299.58404904
2026-03-29,0.0802854256167551,0.00000121000946271586,0.0000402555257135701,0.0698480654030511,0.0802854256167551,2660947.71274577
2026-03-30,0.0810946164653465,0.00000122932558482019,0.0000408975293973206,0.0706248457140941,0.0810946164653465,
