time,volume_reported_spot_usd_1d
2025-05-07,171487.296376
2025-05-08,1999113.03586
2025-05-09,1171149.226041
2025-05-10,771756.832938
2025-05-11,472311.137057
2025-05-12,558179.345216
2025-05-13,368197.750591
2025-05-14,778729.333813
2025-05-15,509494.379452
2025-05-16,733026.470325
2025-05-17,326557.613675
2025-05-18,1052932.657809
2025-05-19,272276.388873
2025-05-20,136330.113271
2025-05-21,603971.488864
2025-05-22,792463.745433
2025-05-23,447260.897547
2025-05-24,696630.424301
2025-05-25,476676.135758
2025-05-26,469489.009337
2025-05-27,542916.334312
2025-05-28,3136919.838464
2025-05-29,1017166.608748
2025-05-30,1157157.40846
2025-05-31,518557.921559
2025-06-01,226815.334994
2025-06-02,239728.138383
2025-06-03,745512.633652
2025-06-04,568496.263122
2025-06-05,1185263.878709
2025-06-06,764676.412397
2025-06-07,279837.273204
2025-06-08,240811.262994
2025-06-09,905417.277694
2025-06-10,901756.879573
2025-06-11,492034.547248
2025-06-12,706277.764149
2025-06-13,1473960.342975
2025-06-14,209577.237693
2025-06-15,1044726.540142
2025-06-16,686938.128643
2025-06-17,1050742.30197412
2025-06-18,1072539.10587109
2025-06-19,500856.628916834
2025-06-20,1188191.87226534
2025-06-21,1515020.66123727
2025-06-22,2362673.32789307
2025-06-23,1531759.82267591
2025-06-24,1161525.59805924
2025-06-25,899657.545191728
2025-06-26,636183.567099278
2025-06-27,517984.958274501
2025-06-28,133884.791664609
2025-06-29,181334.541605948
2025-06-30,633309.457703834
2025-07-01,771335.877030475
2025-07-02,1240781.89770425
2025-07-03,762191.166406363
2025-07-04,404691.343431814
2025-07-05,88515.8750979532
2025-07-06,89286.1975942798
2025-07-07,459817.472072111
2025-07-08,607155.056832089
2025-07-09,919699.429810173
2025-07-10,1144673.75850123
2025-07-11,1405779.00632224
2025-07-12,1654145.37128869
2025-07-13,1256072.8841122
2025-07-14,767938.15896421
2025-07-15,131366.375437524
2025-07-16,90639.7842691181
2025-07-17,76538.3407257002
2025-07-18,221092.921940011
2025-07-19,0
2025-07-20,242106.465236609
2025-07-21,114357.097405104
2025-07-22,284662.12523716
2025-07-23,902780.834443957
2025-07-24,1623462.81295024
2025-07-25,1377210.71700909
2025-07-26,26253.0468655452
2025-07-27,248202.320345234
2025-07-28,1437894.49024159
2025-07-29,896311.947037584
2025-07-30,633056.900977246
2025-07-31,470223.489913192
2025-08-01,2108185.06039431
2025-08-02,1162681.61043231
2025-08-03,892240.673257163
2025-08-04,399550.648068267
2025-08-05,422313.581127456
2025-08-06,432933.405873234
2025-08-07,756182.637498696
2025-08-08,1604716.33531235
2025-08-09,3731815.43287095
2025-08-10,1187740.35363074
2025-08-11,1764078.91129603
2025-08-12,618701.34877618
2025-08-13,2176836.38901107
2025-08-14,2786629.34187328
2025-08-15,2263001.41732012
2025-08-16,534034.537461385
2025-08-17,893091.763001703
2025-08-18,5174635.65655931
2025-08-19,2267112.01227412
2025-08-20,1521842.35679901
2025-08-21,792400.002637128
2025-08-22,3898022.88627422
2025-08-23,1897217.39506469
2025-08-24,2481651.12434965
2025-08-25,2156069.47940716
2025-08-26,1359296.59459847
2025-08-27,1573898.3754379
2025-08-28,1068277.58491601
2025-08-29,1576420.65291878
2025-08-30,1013472.15360934
2025-08-31,635384.414011936
2025-09-01,1720439.65743026
2025-09-02,783480.774369303
2025-09-03,1141593.57331943
2025-09-04,874404.675825804
2025-09-05,2214593.09298668
2025-09-06,154702.809290042
2025-09-07,211044.462779466
2025-09-08,1483370.70877817
2025-09-09,1443862.80066248
2025-09-10,1462844.35111993
2025-09-11,616007.025566398
2025-09-12,806143.386209703
2025-09-13,1412824.5571769
2025-09-14,1044673.74494349
2025-09-15,380220.82470418
2025-09-16,447415.916444101
2025-09-17,1221257.67799402
2025-09-18,709718.226567268
2025-09-19,792288.521854496
2025-09-20,300369.758921237
2025-09-21,139159.552869217
2025-09-22,1744509.92623344
2025-09-23,1169643.21422398
2025-09-24,408172.87809786
2025-09-25,1248148.03060889
2025-09-26,1051079.19591452
2025-09-27,345516.483037358
2025-09-28,172225.555163123
2025-09-29,533366.878304635
2025-09-30,856390.569790225
2025-10-01,1381194.93903489
2025-10-02,2297449.11542105
2025-10-03,1416486.76543114
2025-10-04,431014.532564431
2025-10-05,549204.841662391
2025-10-06,1570332.7241661
2025-10-07,649538.968218613
2025-10-08,884100.000757268
2025-10-09,391701.701642289
2025-10-10,3597402.63524829
2025-10-11,155172.529442844
2025-10-12,146446.92636849
2025-10-13,1596783.89261299
2025-10-14,812962.765249891
2025-10-15,1023198.42147673
2025-10-16,1082583.6085003
2025-10-17,2288065.70927171
2025-10-18,648558.114237945
2025-10-19,540985.289687319
2025-10-20,472203.620500651
2025-10-21,870722.289735252
2025-10-22,531524.759352941
2025-10-23,322403.565269271
2025-10-24,289463.100860683
2025-10-25,6931.57057141085
2025-10-26,216596.859329063
2025-10-27,525978.948249035
2025-10-28,171529.857959857
2025-10-29,423922.971259303
2025-10-30,822298.714462818
2025-10-31,251403.769737639
2025-11-01,121582.522649419
2025-11-02,74203.0904414692
2025-11-03,894182.186145425
2025-11-04,1872706.75557806
2025-11-05,695149.174790552
2025-11-06,349177.00610357
2025-11-07,397562.425116632
2025-11-08,17425.1998538813
2025-11-09,129407.950350018
2025-11-10,366695.54208799
2025-11-11,219977.9238011
2025-11-12,204738.769340175
2025-11-13,689897.566224303
2025-11-14,1353149.62824196
2025-11-15,9203.13544501172
2025-11-16,343875.425862706
2025-11-17,1362907.20441054
2025-11-18,1327331.17122993
2025-11-19,568129.971645882
2025-11-20,1028688.19881761
2025-11-21,1143221.635126
2025-11-22,304568.391991654
2025-11-23,620513.315874884
2025-11-24,758258.8378051
2025-11-25,473108.425509018
2025-11-26,442271.314216286
2025-11-27,690909.09463956
2025-11-28,277870.397275461
2025-11-29,105021.158485539
2025-11-30,103399.302549115
2025-12-01,1021777.02720603
