time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2026-01-15,,,,,,294313026.712568
2026-01-16,,,,,,148455441.90722
2026-01-17,,,,,,72725269.6037528
2026-01-18,,,,,,61043522.8241513
2026-01-19,,,,,,95726136.7476715
2026-01-20,,,,,,78307966.8300972
2026-01-21,,,,,,106703307.003142
2026-01-22,,,,,,236067267.949596
2026-01-23,,,,,,144471725.375754
2026-01-24,,,,,,155295031.293671
2026-01-25,,,,,,278841522.933391
2026-01-26,,,,,,220079064.173555
2026-01-27,,,,,,338072339.901235
2026-01-28,,,,,,1033189496.12416
2026-01-29,,,,,,655069839.314229
2026-01-30,,,,,,60325102.8211767
2026-01-31,,,,,,33596090.9668773
2026-02-01,,,,,,21327957.94368
2026-02-02,,,,,,22286306.6319262
2026-02-03,,,,,,31804571.0549182
2026-02-04,,,,,,14816843.437825
2026-02-05,,,,,,17765178.6576496
2026-02-06,,,,,,25701007.4978584
2026-02-07,,,,,,15682735.6002383
2026-02-08,,,,,,8739690.35865813
2026-02-09,,,,,,13019458.625365
2026-02-10,,,,,,9697374.21060153
2026-02-11,,,,,,13077539.8164133
2026-02-12,,,,,,10278514.4434329
2026-02-13,,,,,,18526613.3113635
2026-02-14,,,,,,11293765.0017622
2026-02-15,,,,,,9812888.21827597
2026-02-16,,,,,,15438307.4633537
2026-02-17,,,,,,12814329.4147278
2026-02-18,,,,,,18443658.6926637
2026-02-19,,,,,,10023795.4426731
2026-02-20,,,,,,19174016.4241657
2026-02-21,,,,,,8380832.38792943
2026-02-22,,,,,,5331357.54265054
2026-02-23,,,,,,17780894.9368936
2026-02-24,,,,,,54530959.1820312
2026-02-25,,,,,,18728538.1817862
2026-02-26,,,,,,26816265.844974
2026-02-27,,,,,,10552065.9998185
2026-02-28,,,,,,9108170.72906235
2026-03-01,,,,,,8200127.0421774
2026-03-02,,,,,,6686189.24305559
2026-03-03,,,,,,6788466.31426043
2026-03-04,,,,,,6170284.90733057
2026-03-05,,,,,,5328495.16042822
2026-03-06,,,,,,12776959.8727506
2026-03-07,,,,,,9238424.90537373
2026-03-08,,,,,,4578661.9092111
2026-03-09,,,,,,5681561.75970107
2026-03-10,,,,,,5819660.62215625
2026-03-11,,,,,,5210190.038896
2026-03-12,,,,,,4652759.16062667
2026-03-13,,,,,,4609235.82114978
2026-03-14,,,,,,3732004.41660787
2026-03-15,,,,,,3197903.75265799
2026-03-16,,,,,,3083179.12879996
2026-03-17,,,,,,2763393.64808036
2026-03-18,,,,,,4477256.70323125
2026-03-19,,,,,,2248986.19931533
2026-03-20,,,,,,6189399.56041449
2026-03-21,,,,,,2912742.26596366
2026-03-22,,,,,,2278886.23535274
2026-03-23,,,,,,6132768.48847334
2026-03-24,,,,,,2196024.29556149
2026-03-25,,,,,,4632784.18455206
2026-03-26,,,,,,3659682.03526131
2026-03-27,,,,,,3614115.72383863
2026-03-28,,,,,,2385405.3766791
2026-03-29,,,,,,1852065.59620209
2026-03-30,,,,,,1953760.87227633
2026-03-31,,,,,,2253313.62096582
2026-04-01,,,,,,4240597.18998717
2026-04-02,,,,,,4707599.22185166
2026-04-03,,,,,,3489445.96334085
2026-04-04,,,,,,4631192.65475332
2026-04-05,,,,,,12844722.1401018
2026-04-06,,,,,,11560775.3960693
2026-04-07,,,,,,2738435.40933238
2026-04-08,,,,,,2383900.7077297
2026-04-09,,,,,,2914294.04178113
2026-04-10,,,,,,4089678.78354772
2026-04-11,,,,,,6015356.48510828
2026-04-12,,,,,,3639154.46714594
2026-04-13,,,,,,2959741.48766215
2026-04-14,,,,,,4490944.44073396
2026-04-15,,,,,,2126730.6005682
2026-04-16,,,,,,3208169.12249965
2026-04-17,0.0192473280507973,0.000000256303845867045,0.00000819164427083613,0.0163337482790956,0.0192473280507973,3044473.8819532
2026-04-18,0.0198648479803649,0.000000257602043220946,0.00000820093639456442,0.0168878555729411,0.0198648479803649,7347051.14877141
2026-04-19,0.0199038684337235,0.000000262611511663117,0.00000845561362058874,0.0169240032525356,0.0199038684337235,4394184.19418032
2026-04-20,0.0200416497821562,0.000000271180494334046,0.00000884506809087235,0.0170769419579091,0.0200416497821562,2598380.72034476
2026-04-21,0.0192701928276224,0.00000025417674690288,0.0000083284914000229,0.0163533408978741,0.0192701928276224,2786321.22124054
2026-04-22,0.0197613430928036,0.000000259650597057703,0.00000850423414871026,0.0168333382285961,0.0197613430928036,2584309.98534337
2026-04-23,0.0188065275632271,0.000000240131125050775,0.00000789608576521203,0.0160625255497686,0.0188065275632271,
