time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2022-06-07,,,,,,9119.63040212219
2022-06-08,,,,,,19991.3481141543
2022-06-09,,,,,,32630.7399237034
2022-06-10,,,,,,3747.73914321784
2022-06-11,,,,,,1602.14470934781
2022-06-12,,,,,,7101.04827976131
2022-06-13,,,,,,53556.7142790942
2022-06-14,,,,,,44657.3970138413
2022-06-15,,,,,,249595.382043262
2022-06-16,,,,,,83744.1261758652
2022-06-17,,,,,,35844.9477541975
2022-06-18,,,,,,105422.423762874
2022-06-19,,,,,,95422.0790191419
2022-06-20,,,,,,69866.2885531259
2022-06-21,,,,,,154166.05788023
2022-06-22,,,,,,32454.079802113
2022-06-23,,,,,,724743.38138385
2022-06-24,,,,,,404583.721398115
2022-06-25,,,,,,133672.35350165
2022-06-26,,,,,,201636.725433271
2022-06-27,,,,,,141452.643037441
2022-06-28,,,,,,588976.48976865
2022-06-29,,,,,,145920.62020045
2022-06-30,,,,,,108350.439846778
2022-07-01,,,,,,88751.1377690669
2022-07-02,,,,,,109174.745066766
2022-07-03,,,,,,123101.385653358
2022-07-04,,,,,,1487137.92381135
2022-07-05,,,,,,102293.302278679
2022-07-06,,,,,,104929.093589269
2022-07-07,,,,,,47129.8209457816
2022-07-08,,,,,,86870.3306810667
2022-07-09,,,,,,50212.6822708859
2022-07-10,,,,,,36959.1650756666
2022-07-11,,,,,,806019.940744212
2022-07-12,,,,,,123502.298333125
2022-07-13,,,,,,409857.553617507
2022-07-14,,,,,,1407665.04827881
2022-07-15,,,,,,422996.098384653
2022-07-16,,,,,,250745.875764407
2022-07-17,,,,,,106083.78001819
2022-07-18,,,,,,95052.3641591744
2022-07-19,,,,,,600338.678119299
2022-07-20,,,,,,152707.011942157
2022-07-21,,,,,,128131.427952362
2022-07-22,,,,,,107293.068418083
2022-07-23,,,,,,127165.461957775
2022-07-24,,,,,,66265.9278737777
2022-07-25,,,,,,35788.7906148227
2022-07-26,,,,,,56166.2897958845
2022-07-27,,,,,,105012.070420578
2022-07-28,,,,,,80365.7054826127
2022-07-29,,,,,,75539.4745291713
2022-07-30,,,,,,57102.9834217403
2022-07-31,,,,,,50916.1265263835
2022-08-01,,,,,,1572807.90342163
2022-08-02,,,,,,724243.608832634
2022-08-03,,,,,,298597.066309355
2022-08-04,,,,,,58817.6060050974
2022-08-05,,,,,,71415.8538471294
2022-08-06,,,,,,194268.400161011
2022-08-07,,,,,,49900.1279555755
2022-08-08,,,,,,200533.404845967
2022-08-09,,,,,,86410.4356959933
2022-08-10,,,,,,66014.6089151911
2022-08-11,,,,,,49040.5818252587
2022-08-12,,,,,,293843.118672513
2022-08-13,,,,,,128395.807534715
2022-08-14,,,,,,56150.3025598471
2022-08-15,,,,,,108405.615167315
2022-08-16,,,,,,78224.5751815313
2022-08-17,,,,,,81441.5757280042
2022-08-18,,,,,,64599.9786696778
2022-08-19,,,,,,64387.8622617891
2022-08-20,,,,,,81559.5735731375
2022-08-21,,,,,,53550.9795540471
2022-08-22,,,,,,65668.4350735808
2022-08-23,,,,,,119956.508245259
2022-08-24,,,,,,56552.688083112
2022-08-25,,,,,,52895.351632734
2022-08-26,,,,,,557122.20773558
2022-08-27,,,,,,71129.7217600043
2022-08-28,,,,,,35062.4963776942
2022-08-29,,,,,,59020.8975873276
2022-08-30,,,,,,74943.5532010188
2022-08-31,,,,,,80279.3427995266
2022-09-01,,,,,,78704.3131226606
2022-09-02,,,,,,33843.2894122245
2022-09-03,,,,,,24569.0781693698
2022-09-04,,,,,,70494.4564287923
2022-09-05,,,,,,47791.8453016758
2022-09-06,,,,,,4330600.43920159
2022-09-07,,,,,,66618.1353110615
2022-09-08,,,,,,35730.5045522576
2022-09-09,,,,,,46717.1383400617
2022-09-10,,,,,,58427.5290268046
2022-09-11,,,,,,62660.0454464707
2022-09-12,,,,,,44327.0425743534
2022-09-13,,,,,,70894.1816582578
2022-09-14,,,,,,42392.9657858931
2022-09-15,,,,,,71383.8688575372
2022-09-16,,,,,,111476.337439988
2022-09-17,,,,,,63676.6945677673
2022-09-18,,,,,,173793.632629975
2022-09-19,,,,,,58678.560818256
2022-09-20,,,,,,74346.5799225763
2022-09-21,,,,,,51648.3954536691
2022-09-22,,,,,,63085.9385002682
2022-09-23,,,,,,32033.9226679445
2022-09-24,,,,,,26946.0573155309
2022-09-25,,,,,,38491.3052216502
2022-09-26,,,,,,46908.9704371461
2022-09-27,,,,,,54186.2415944746
2022-09-28,,,,,,60760.9105262651
2022-09-29,,,,,,188254.519585736
2022-09-30,,,,,,34880.752328765
2022-10-01,,,,,,49573.1988255644
2022-10-02,,,,,,101194.413674565
2022-10-03,,,,,,2009082.30912982
2022-10-04,,,,,,741854.228323186
2022-10-05,,,,,,153531.343463538
2022-10-06,,,,,,124491.702267958
2022-10-07,,,,,,176910.116595201
2022-10-08,,,,,,96252.446873092
2022-10-09,,,,,,47293.7728404831
2022-10-10,,,,,,41121.5593203433
2022-10-11,,,,,,57091.0720610984
2022-10-12,,,,,,57855.4845409469
2022-10-13,,,,,,395796.383563623
2022-10-14,,,,,,173058.495400158
2022-10-15,,,,,,48916.3091829807
2022-10-16,,,,,,71850.6287717577
2022-10-17,,,,,,2386198.82673351
2022-10-18,,,,,,157949.726963238
2022-10-19,,,,,,165193.840924032
2022-10-20,,,,,,118380.347989471
2022-10-21,,,,,,110141.370063197
2022-10-22,,,,,,331539.576757052
2022-10-23,,,,,,134299.81903536
2022-10-24,,,,,,124031.942950712
2022-10-25,,,,,,300259.867334011
2022-10-26,,,,,,329854.254913631
2022-10-27,,,,,,177657.750193711
2022-10-28,,,,,,158079.444120402
2022-10-29,,,,,,153351.472260524
2022-10-30,,,,,,153657.602580497
2022-10-31,,,,,,693190.875068228
