time,volume_reported_spot_usd_1d
2021-07-22,455537.227280019
2021-07-23,466957.9763498
2021-07-24,585245.272586664
2021-07-25,338047.399098135
2021-07-26,1368773.46120951
2021-07-27,607608.797003652
2021-07-28,1214663.00617177
2021-07-29,1261458.58812631
2021-07-30,533355.173089856
2021-07-31,759173.582884758
2021-08-01,1853840.08174806
2021-08-02,471140.988076942
2021-08-03,807377.740163608
2021-08-04,1661478.42048419
2021-08-05,925912.451241059
2021-08-06,2192803.30773347
2021-08-07,1218613.83987051
2021-08-08,2913899.58749048
2021-08-09,1035944.16779948
2021-08-10,889686.100812202
2021-08-11,1377964.35519972
2021-08-12,1104031.2116653
2021-08-13,1154054.982645
2021-08-14,946257.536348975
2021-08-15,841782.393644119
2021-08-16,3286716.79077327
2021-08-17,5723893.55581178
2021-08-18,2952135.39179035
2021-08-19,7063701.59314905
2021-08-20,3062982.32826878
2021-08-21,4370554.01080935
2021-08-22,4736900.33674231
2021-08-23,2385605.10715986
2021-08-24,4409291.44899835
2021-08-25,1838337.03866963
2021-08-26,2333485.89425214
2021-08-27,2124888.59102602
2021-08-28,1437022.98403965
2021-08-29,10337128.7867775
2021-08-30,53480243.6934123
2021-08-31,17247484.5930071
2021-09-01,16799295.4117487
2021-09-02,8785749.08110614
2021-09-03,10696164.0971666
2021-09-04,16892120.4285311
2021-09-05,16881196.9056596
2021-09-06,17439254.2521852
2021-09-07,51041297.2102589
2021-09-08,26689288.3242719
2021-09-09,30438814.9182078
2021-09-10,15231878.6364844
2021-09-11,12889786.9450108
2021-09-12,8664484.97734141
2021-09-13,8844771.66116588
2021-09-14,21045377.5249577
2021-09-15,20297581.6282204
2021-09-16,7447344.64860393
2021-09-17,7112847.04619093
2021-09-18,7086749.55564182
2021-09-19,9430101.5974972
2021-09-20,14651446.182924
2021-09-21,10607738.9214163
2021-09-22,12163360.246068
2021-09-23,7253009.52004357
2021-09-24,8380282.7266447
2021-09-25,14602296.3508353
2021-09-26,7963711.92333267
2021-09-27,9027929.50018115
2021-09-28,8443112.56412452
2021-09-29,2917203.19297848
2021-09-30,2972973.95378868
2021-10-01,5622527.68646761
2021-10-02,9025601.08996862
2021-10-03,4274113.88016805
2021-10-04,3019629.62922725
2021-10-05,4032221.5352603
2021-10-06,9702158.30512306
2021-10-07,40684680.9262211
2021-10-08,48833283.0758545
2021-10-09,20502701.488887
2021-10-10,15074132.6413499
2021-10-11,24588353.3535002
2021-10-12,10540943.3600613
2021-10-13,13091329.2520385
2021-10-14,7898913.52930211
2021-10-15,10478081.9734499
2021-10-16,7579870.57021176
2021-10-17,13025181.2487267
2021-10-18,19377406.1847031
2021-10-19,11940728.0430466
2021-10-20,14607467.6332425
2021-10-21,10695608.534923
2021-10-22,13857074.8755165
2021-10-23,10699423.9380283
2021-10-24,13811856.6615814
2021-10-25,12732381.5066314
2021-10-26,44221030.1700107
2021-10-27,35503380.3940569
2021-10-28,27243251.4591329
2021-10-29,10427408.2910768
2021-10-30,14760523.1417586
2021-10-31,12284674.6569837
2021-11-01,6097146.64384682
2021-11-02,6123518.98048553
2021-11-03,11748092.6780786
2021-11-04,11927226.189883
2021-11-05,13857785.6428914
2021-11-06,7716255.27239882
2021-11-07,5497530.12209714
2021-11-08,14186652.7533061
2021-11-09,10441501.3852253
2021-11-10,15942621.2202305
2021-11-11,7176819.89279366
2021-11-12,13182007.8937164
2021-11-13,3527773.00277708
2021-11-14,3274053.25577569
2021-11-15,11226989.8974665
2021-11-16,13485127.2408128
2021-11-17,11361444.8272363
2021-11-18,21372873.9525114
2021-11-19,11756284.325578
2021-11-20,7835943.36995872
2021-11-21,11490978.2209331
2021-11-22,4051502.17771168
2021-11-23,18307794.0968349
2021-11-24,20315953.8340377
2021-11-25,13897221.7620768
2021-11-26,17008416.3871787
2021-11-27,5519103.76957071
2021-11-28,5588927.36405064
2021-11-29,6380020.56457916
2021-11-30,6084874.50854201
2021-12-01,7202987.21035739
2021-12-02,5374417.21208776
2021-12-03,4321868.27063368
2021-12-04,26009233.655975
2021-12-05,12172005.7812176
2021-12-06,12873440.1716525
2021-12-07,6720604.39226469
2021-12-08,5243280.5529685
2021-12-09,3920617.89848032
2021-12-10,4558403.95705827
2021-12-11,2586872.53313917
2021-12-12,2056661.09107596
2021-12-13,6683377.90932397
2021-12-14,3635993.15287872
2021-12-15,4379943.59395709
2021-12-16,5431673.11056006
2021-12-17,3898317.33276042
2021-12-18,5901540.08993637
2021-12-19,1953113.8412921
2021-12-20,1961176.46635157
2021-12-21,3246934.53867035
2021-12-22,6700592.03726453
2021-12-23,13328913.0814447
2021-12-24,19655301.4788848
2021-12-25,7986737.30976781
2021-12-26,15177328.3818837
2021-12-27,18222831.278248
2021-12-28,14780804.855284
2021-12-29,10140907.7039606
2021-12-30,5976946.99518701
2021-12-31,5663816.52261573
2022-01-01,8664046.93866009
2022-01-02,7481798.6985916
2022-01-03,25857134.2496501
2022-01-04,20793808.5675759
2022-01-05,64019374.6550733
2022-01-06,32415143.429325
2022-01-07,18458926.6160498
2022-01-08,20048533.565223
2022-01-09,14377222.7251574
2022-01-10,13851583.1875296
2022-01-11,12494930.50049
2022-01-12,32256093.2439293
2022-01-13,25457764.3391998
2022-01-14,15101138.488664
2022-01-15,10329070.1698237
2022-01-16,19342087.5715924
2022-01-17,10255745.2095975
2022-01-18,14585739.4046536
2022-01-19,16417293.875181
2022-01-20,12249297.2031718
2022-01-21,24819782.3360027
2022-01-22,22666717.8555323
2022-01-23,15299626.1506823
2022-01-24,19382710.3262258
2022-01-25,13011008.1982482
2022-01-26,14777898.7291423
2022-01-27,10049888.3570742
2022-01-28,9003791.29981616
2022-01-29,2833360.09536449
2022-01-30,4944378.1183525
2022-01-31,8337595.6238151
2022-02-01,4161167.39125042
2022-02-02,3829972.47912182
2022-02-03,2791120.18093935
2022-02-04,5127734.54823408
2022-02-05,5068793.30120428
2022-02-06,1816944.30597252
2022-02-07,7237973.51373425
2022-02-08,3893842.3184364
2022-02-09,2849451.64837445
2022-02-10,6480577.15869857
2022-02-11,3151221.63432734
2022-02-12,1960451.75481513
2022-02-13,1111217.75579256
2022-02-14,2036155.93153826
2022-02-15,2068109.83378371
2022-02-16,2061081.6460956
2022-02-17,5240717.33218686
2022-02-18,2506986.09196124
2022-02-19,1805025.58963742
2022-02-20,3307469.58766348
2022-02-21,3292627.90931291
2022-02-22,3381855.56673376
2022-02-23,1982058.54954225
2022-02-24,7175519.45177842
2022-02-25,5135091.45443476
2022-02-26,4473874.0446662
2022-02-27,3014073.69020287
2022-02-28,2560332.7281492
2022-03-01,4996286.84869557
2022-03-02,5943402.79075888
2022-03-03,8999036.11616946
2022-03-04,3672587.08563584
2022-03-05,1941203.96483607
2022-03-06,8400136.13417988
2022-03-07,6427549.26294852
2022-03-08,900480.849066497
2022-03-09,2204885.75812899
2022-03-10,2958936.34231237
2022-03-11,4528675.24628635
2022-03-12,1170202.90796043
2022-03-13,963683.354003533
2022-03-14,1966974.6412354
2022-03-15,3276235.6939753
2022-03-16,3313401.42253879
2022-03-17,1642196.58426857
2022-03-18,2238462.10690305
2022-03-19,1545502.83589438
2022-03-20,1196999.91547838
2022-03-21,1320686.84023887
2022-03-22,2163463.03056742
2022-03-23,1897191.94432078
2022-03-24,2023697.98721017
2022-03-25,3067080.75009533
2022-03-26,820623.159716639
2022-03-27,1015414.89909164
2022-03-28,1409570.49699444
2022-03-29,1742611.54963552
2022-03-30,725180.897729705
2022-03-31,3257673.00862574
2022-04-01,4350926.16866668
2022-04-02,2973680.66783176
2022-04-03,1845558.71119653
2022-04-04,1482928.15662127
2022-04-05,1274654.22332696
2022-04-06,2203280.01015896
2022-04-07,631261.375314421
2022-04-08,1597943.0905932
2022-04-09,341315.359545722
2022-04-10,628909.6977733
2022-04-11,2344456.12967343
2022-04-12,825643.238719277
2022-04-13,707755.772820011
2022-04-14,370462.445514437
2022-04-15,500527.098082053
2022-04-16,420273.075017571
2022-04-17,732046.416055553
2022-04-18,915289.90588221
2022-04-19,3539919.27949099
2022-04-20,1322740.7459868
2022-04-21,796021.7313989
2022-04-22,2537855.74190042
2022-04-23,383257.45561186
2022-04-24,306829.75860355
2022-04-25,3099818.71117625
2022-04-26,1380660.8738178
2022-04-27,472590.671660023
2022-04-28,904225.428221948
2022-04-29,1847858.11336137
2022-04-30,2273904.30603953
2022-05-01,2727998.58031197
2022-05-02,1697999.07046412
