time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMVRVCur,CapMrktCurUSD,CapMrktEstUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SplyCur,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2016-10-17,2,1,1614335527,1614335527,,,,34335,,,,,,,,,,,24335,4,4,
2016-10-18,93,88,1614335527,1614335527,,,,296.49868112,,,,,,,,,,,24631.49868112,183,185,
2016-10-19,134,173,1614335527,1614335527,,,,2358.34465584,,,,,,,,,,,26489.84333696,260,263,
2016-10-20,122,227,1614335528,1614335528,,,,2824.38397484,,,,,,,,,,,29314.2273118,248,262,
2016-10-21,110,257,1614335528,1614335528,,,,2801.21987616,,,,,,,,,,,32115.44718796,263,268,
2016-10-22,87,279,1614335528,1614335528,,,,2380.01014344,,,,,,,,,,,34495.4573314,189,203,
2016-10-23,63,294,1614335528,1614335528,,,,2364.40970288,,,,,,,,,,,36859.86703428,130,139,
2016-10-24,92,303,1614335528,1614335528,,,,2764.52041032,,,,,,,,,,,39624.3874446,184,193,
2016-10-25,195,367,1614335528,1614335528,,,,5275.35787792,,,,,,,,,,,44899.74532252,346,362,
2016-10-26,93,391,1614335528,1614335528,,,,4061.70512752,,,,,,,,,,,48961.45045004,137,146,
2016-10-27,86,422,1614335529,1614335529,,,,51262.4121992,,,,,,,,,,,83223.86264924,123,146,
2016-10-28,81,437,1614335529,1614335529,,,,3624.39072044,,,,,,,,,,,66348.25336968,136,149,
2016-10-29,75,448,1614335529,1614335529,,,,6556.18889892,,,,,,,,,,,72904.4422686,165,169,
2016-10-30,64,455,1614335529,1614335529,,,,844.30832944,,,,,,,,,,,73748.75059804,82,86,
2016-10-31,76,471,1614335529,1614335529,,,,9449.53737972,,,,,,,,,,,83198.28797776,161,166,
2016-11-01,57,482,1614335529,1614335529,,,,6151.65084344,,,,,,,,,,,89349.9388212,100,104,
2016-11-02,39,483,1614335529,1614335529,,,,789.29903888,,,,,,,,,,,90139.23786008,58,60,
2016-11-03,32,484,1614335530,1614335530,,,,432.56617276,,,,,,,,,,,90571.80403284,60,61,
2016-11-04,31,493,1614335530,1614335530,,,,16212.19029364,,,,,,,,,,,96783.99432648,33,43,
2016-11-05,28,497,1614335530,1614335530,,,,2467.4341482,,,,,,,,,,,99251.42847468,46,48,
2016-11-06,22,499,1614335530,1614335530,,,,946.13309048,,,,,,,,,,,100197.56156516,35,38,
2016-11-07,29,503,1614335530,1614335530,,,,1392.43012192,,,,,,,,,,,101589.99168708,60,65,
2016-11-08,25,505,1614335530,1614335530,,,,8606.36194636,,,,,,,,,,,110196.35363344,44,55,
2016-11-09,21,508,1614335530,1614335530,,,,702.51969476,,,,,,,,,,,110898.8733282,27,27,
2016-11-10,52,517,1614335530,1614335530,,,,6645.6233526,,,,,,,,,,,107044.4966808,82,96,
2016-11-11,166,563,1614335530,1614335530,,,,25787.98794924,,,,,,,,,,,121832.48463004,242,339,
2016-11-12,38,570,1614335530,1614335530,,,,3654.079519,,,,,,,,,,,125486.56414904,52,63,
2016-11-13,24,574,1614335530,1614335530,,,,2571.7189114,,,,,,,,,,,128058.28306044,46,52,
2016-11-14,69,588,1614335531,1614335531,,,,4704.93020436,,,,,,,,,,,132763.2132648,122,144,
2016-11-15,56,598,1614335531,1614335531,,,,4074.39327916,,,,,,,,,,,136837.60654396,80,102,
2016-11-16,36,597,1614335531,1614335531,,,,1553.03129184,,,,,,,,,,,138390.6378358,55,62,
2016-11-17,30,604,1614335531,1614335531,,,,1011.42925976,,,,,,,,,,,139402.06709556,57,66,
2016-11-18,40,607,1614335531,1614335531,,,,8662.18908388,,,,,,,,,,,148064.25617944,77,92,
2016-11-19,37,606,1614335531,1614335531,,,,1904.3219302,,,,,,,,,,,149968.57810964,46,56,
2016-11-20,15,608,1614335531,1614335531,,,,5900.68723216,,,,,,,,,,,155869.2653418,17,22,
2016-11-21,52,612,1614335531,1614335531,,,,2160.09991732,,,,,,,,,,,158029.36525912,102,123,
