time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2026-03-03,,,,,,105948.022695632
2026-03-04,,,,,,60210.8400427796
2026-03-05,,,,,,58364.471525207
2026-03-06,,,,,,67535.4501854584
2026-03-07,,,,,,59343.6810971974
2026-03-08,,,,,,55988.7027178409
2026-03-09,,,,,,67226.3115634514
2026-03-10,,,,,,65784.3271167038
2026-03-11,,,,,,60222.0881276528
2026-03-12,,,,,,58983.2916805174
2026-03-13,,,,,,59992.9632175966
2026-03-14,,,,,,56610.3756567023
2026-03-15,,,,,,54264.3502802222
2026-03-16,,,,,,55182.3662374134
2026-03-17,,,,,,53193.2553948329
2026-03-18,,,,,,54255.7903704597
2026-03-19,,,,,,57607.793009526
2026-03-20,,,,,,55895.0938585816
2026-03-21,,,,,,53880.147742362
2026-03-22,,,,,,56554.051417668
2026-03-23,,,,,,69010.5165538298
2026-03-24,,,,,,60423.4023091072
2026-03-25,,,,,,58434.8534731875
2026-03-26,,,,,,57505.0065913852
2026-03-27,,,,,,62725.5437462719
2026-03-28,,,,,,54328.6998211159
2026-03-29,,,,,,56568.7459675783
2026-03-30,,,,,,60560.421558898
2026-03-31,,,,,,59581.3486693725
2026-04-01,,,,,,57885.4811859091
2026-04-02,,,,,,58699.533162207
2026-04-03,,,,,,56250.7257279852
2026-04-04,,,,,,55892.5760440529
2026-04-05,,,,,,59425.4612200617
2026-04-06,,,,,,56801.2728028431
2026-04-07,,,,,,60131.3811207047
2026-04-08,,,,,,56576.3081146746
2026-04-09,,,,,,58196.2251307815
2026-04-10,,,,,,55062.4257338241
2026-04-11,,,,,,54396.1221673388
2026-04-12,,,,,,54959.5122694105
2026-04-13,,,,,,56666.7089227173
2026-04-14,,,,,,56391.6657195613
2026-04-15,,,,,,53897.79209508
2026-04-16,,,,,,58746.7000831491
2026-04-17,,,,,,56508.9945516775
2026-04-18,,,,,,54474.1846805523
2026-04-19,,,,,,58311.436227847
2026-04-20,,,,,,59056.7480346892
2026-04-21,,,,,,56846.060681011
2026-04-22,,,,,,55955.2450071079
2026-04-23,,,,,,55406.2758505762
2026-04-24,,,,,,56332.5650506321
2026-04-25,,,,,,55055.9103753819
2026-04-26,,,,,,59410.5517618438
2026-04-27,,,,,,57058.5454056469
2026-04-28,,,,,,55538.721017253
2026-04-29,,,,,,59832.2981127879
2026-04-30,,,,,,56944.657464713
2026-05-01,,,,,,58388.3185694033
2026-05-02,,,,,,54739.1778029604
2026-05-03,422.167601419423,0.00536340979749406,0.182054233131945,360.096092972698,422.167601419423,55955.5648230393
2026-05-04,425.108696953715,0.00540512607030194,0.182760806483895,362.331995136966,425.108696953715,59399.7200121339
2026-05-05,415.259055014512,0.00520204562605185,0.176901296765732,355.198189038332,415.259055014512,56226.0537020303
2026-05-06,418.760884088445,0.00517392728424308,0.177392622178981,357.44444429562,418.760884088445,57075.9277263674
2026-05-07,428.683347681828,0.00526867017881216,0.182528984886845,364.891203683525,428.683347681828,58277.1103820337
2026-05-08,430.55133339617,0.00538263186448902,0.187990871302067,367.091216116268,430.55133339617,56418.9138894478
2026-05-09,431.989306619819,0.00538776458540745,0.18730316398035,366.653400054363,431.989306619819,
