time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2020-11-19,,,,,,,50565.3074293973
2020-11-20,,,,,,,13826.9225594658
2020-11-21,,,,,,,8572.82988503492
2020-11-22,,,,,,,94701.925789091
2020-11-23,,,,,,,69544.507222148
2020-11-24,,,,,,,3651.52590709379
2020-11-25,,,,,,,198276.089721592
2020-11-26,,,,,,,53699.4167924346
2020-11-27,,,,,,,414943.773202345
2020-11-28,,,,,,,19142.8425935994
2020-11-29,56542775.1845523,,,,,,28231.290640143
2020-11-30,134778194.715371,,,,,,347766.916183185
2020-12-01,129146074.717874,,,,,,63563.5565387199
2020-12-02,122521135.172037,,,,,,20425.1046655703
2020-12-03,122733772.91507,,,,,,32486.0584061386
2020-12-04,120985123.853387,,,,,,118014.691201282
2020-12-05,124261047.191004,,,,,,42567.3022812095
2020-12-06,125568505.472725,,,,,,74718.1588698556
2020-12-07,130812973.749161,,,,,,147263.50500713
2020-12-08,123062113.700343,,,,,,64030.9777470229
2020-12-09,116313240.879925,,,,,,74503.0749755795
2020-12-10,119404037.728598,,,,,,3861437.68228399
2020-12-11,108723497.079207,,,,,,2214930.13513648
2020-12-12,114219907.656191,,,,,,1313206.6065737
2020-12-13,114258236.424788,,,,,,968130.71710959
2020-12-14,110548798.327287,,,,,,658907.140526841
2020-12-15,111782157.094582,,,,,,1166630.70038842
2020-12-16,115894472.728858,,,,,,2017987.59129094
2020-12-17,112698587.025336,,,,,,1565211.62209303
2020-12-18,116772772.727135,,,,,,1224081.6906145
2020-12-19,125619808.019778,,,,,,3449734.04862315
2020-12-20,119637488.363878,,,,,,1371363.5526806
2020-12-21,112746416.838523,,,,,,1692625.34475314
2020-12-22,110502101.196423,,,,,,1110072.66371669
2020-12-23,95674409.3416654,,,,,,1345695.33125738
2020-12-24,102533547.897513,,,,,,1270151.71881927
2020-12-25,101351079.994822,,,,,,778417.597982828
2020-12-26,100929107.729883,,,,,,730147.172975793
2020-12-27,108106985.780786,,,,,,3483749.27509951
2020-12-28,113506765.868423,,,,,,9261571.05152762
2020-12-29,114114469.206348,,,,,,4379345.36189091
2020-12-30,111123865.297413,,,,,,1451642.26693997
2020-12-31,107517964.704207,,,,,,1189000.41382533
2021-01-01,109302421.449929,,,,,,1876742.90320899
2021-01-02,105809833.990954,,,,,,1612825.72445547
2021-01-03,105107946.732148,,,,,,2083698.27194714
2021-01-04,108264124.166026,,,,,,24080603.0290112
2021-01-05,109877987.475741,,,,,,2262956.22519763
2021-01-06,122648961.615457,,,,,,4863037.42886001
2021-01-07,127960956.524992,,,,,,14743935.4325955
2021-01-08,122345389.512607,,,,,,5123802.36272207
2021-01-09,129358313.686698,,,,,,3359109.00254043
2021-01-10,135031171.689201,,,,,,9544226.66003772
2021-01-11,113160709.088491,,,,,,4213133.63740058
2021-01-12,111126248.111664,,,,,,2823877.01280689
2021-01-13,118543112.70662,,,,,,3527294.08624646
2021-01-14,121316556.929303,,,,,,2338976.24803932
2021-01-15,118132035.291965,,,,,,2176347.42114579
2021-01-16,123372189.826111,,,,,,5271133.3668866
2021-01-17,124443151.469293,,,,,,6964704.95033809
2021-01-18,127937957.220646,,,,,,2463102.46306755
2021-01-19,131448891.896516,,,,,,8909227.83253112
2021-01-20,128831282.62389,,,,,,3613379.24353208
2021-01-21,113901582.177852,,,,,,2837618.23090692
2021-01-22,118422936.379553,,,,,,3322138.8945378
2021-01-23,116965691.613225,,,,,,2168331.1702995
2021-01-24,119321481.129233,,,,,,1725547.8638853
2021-01-25,116205881.286814,,,,,,1925374.12015519
2021-01-26,116305257.599777,,,,,,1261863.71750522
2021-01-27,109366406.445837,,,,,,2545087.03137376
2021-01-28,118593785.340506,,,,,,4124296.32900535
2021-01-29,118763952.116681,,,,,,2670489.25615198
2021-01-30,123246765.019844,,,,,,2416793.00172111
2021-01-31,116890707.380848,,,,,,2644921.68037083
2021-02-01,121908654.558605,,,,,,1920230.6374371
2021-02-02,127684374.79721,,,,,,3185613.1722026
2021-02-03,136747473.131542,,,,,,7736794.69472422
2021-02-04,136660935.239333,,,,,,5838523.4947101
2021-02-05,151056937.028202,,,,,,4967876.94109149
2021-02-06,203439384.232263,,,,,,166901567.32165
2021-02-07,180099862.647644,,,,,,18320312.9994764
2021-02-08,183333743.234877,,,,,,13109740.9078419
2021-02-09,188563860.063908,,,,,,6420570.58711264
2021-02-10,189705941.466195,,,,,,9968646.52791336
2021-02-11,208866484.331808,,,,,,8208071.19725693
2021-02-12,223142037.84839,,,,,,9823638.73483813
2021-02-13,245478969.169127,,,,,,15334528.3195046
2021-02-14,238951003.255771,,,,,,9118713.29954912
2021-02-15,226423985.396461,,,,,,8451095.89558121
2021-02-16,252962746.951014,,,,,,53191697.2027449
2021-02-17,249412904.353886,,,,,,11315496.4095647
2021-02-18,285446180.301729,,,,,,34071519.1345256
2021-02-19,427754100.918694,,,,,,612400410.127649
2021-02-20,423708124.031285,,,,,,198066525.946292
2021-02-21,427873181.977706,,,,,,34518039.8970796
2021-02-22,386673930.528657,,,,,,22361539.9018449
2021-02-23,316075819.935431,,,,,,29350291.2905031
2021-02-24,383715757.669409,,,,,,95178745.0940382
2021-02-25,363273982.815286,,,,,,40772609.493862
2021-02-26,339519040.519657,,,,,,14279427.2007195
2021-02-27,350357825.780942,,,,,,19591906.7055024
2021-02-28,322723985.328165,,,,,,14123029.6076479
2021-03-01,352649622.242148,,,,,,11894449.3177502
2021-03-02,345531982.477425,,,,,,10337383.6093993
2021-03-03,370260158.395365,,,,,,21968651.2339027
2021-03-04,363795511.242439,,,,,,16128239.4515205
2021-03-05,410753123.264886,,,,,,23653685.9653667
2021-03-06,412277950.612055,,,,,,30133097.2266541
2021-03-07,425603804.823239,,,,,,16218524.8997319
2021-03-08,423044656.343264,,,,,,13116598.6265527
2021-03-09,461131473.621281,,,,,,35467067.7538534
2021-03-10,461676742.106634,,,,,,56975744.4711768
2021-03-11,461328759.332546,,,,,,28014605.9134948
2021-03-12,479550709.690683,,,,,,40772399.6786365
2021-03-13,490090163.991159,,,,,,31711766.0277047
2021-03-14,479250826.895973,,,,,,30924078.4906794
2021-03-15,445572497.310444,,,,,,29658539.0095864
2021-03-16,427600011.666637,,,,,,15468046.0716492
2021-03-17,431627803.003899,,,,,,16039042.8308978
2021-03-18,443675511.459276,,,,,,26601889.6701009
2021-03-19,457229771.42244,,,,,,17263071.1415584
2021-03-20,462093988.334855,,,,,,57915413.7122553
2021-03-21,465883323.394936,,,,,,19477048.4166814
2021-03-22,476501240.285076,,,,,,63258576.9066274
2021-03-23,539903364.291685,,,,,,74260961.6529233
2021-03-24,471439491.956291,,,,,,33370529.8400435
2021-03-25,445521291.509603,,,,,,19284157.7246463
2021-03-26,482633181.459082,,,,,,14731962.3704215
2021-03-27,565515692.103402,,,,,,62171197.8978936
2021-03-28,609278795.278025,,,,,,94169625.0477377
2021-03-29,633531535.564042,,,,,,81259388.0578289
2021-03-30,648587270.009993,,,,,,60470963.1594309
2021-03-31,620754457.505903,,,,,,40423640.7177586
2021-04-01,594508098.17097,,,,,,30146582.2404257
2021-04-02,601590778.284984,,,,,,31279593.9801057
2021-04-03,572072215.542819,,,,,,48647621.3852868
2021-04-04,594049971.170876,,,,,,24929174.5717461
2021-04-05,554910141.234828,,,,,,34451438.0199577
2021-04-06,536026183.148167,,,,,,25897702.6092084
2021-04-07,486333103.461264,,,,,,27396636.3039104
2021-04-08,530986900.970376,,,,,,12925001.3313668
2021-04-09,579096393.774628,,,,,,48227231.0021941
2021-04-10,602843800.808039,,,,,,133399482.36804
2021-04-11,596117564.187721,,,,,,39196485.3228686
2021-04-12,571142150.500025,,,,,,20365190.862502
2021-04-13,572848176.998977,,,,,,22967656.1661181
2021-04-14,547917133.50398,,,,,,19311865.0492271
2021-04-15,575418016.220839,,,,,,13174199.5759791
2021-04-16,537479825.062064,,,,,,27153297.4422291
2021-04-17,535134290.92157,,,,,,16569706.7918249
2021-04-18,474878872.137177,,,,,,15210529.978387
2021-04-19,446877299.59156,,,,,,28513670.943827
2021-04-20,462132185.08836,,,,,,47722696.7694086
2021-04-21,445115704.836333,,,,,,12351768.3799269
2021-04-22,382945901.751399,,,,,,18367776.6499491
2021-04-23,358253822.929059,,,,,,17487053.5073968
2021-04-24,339188021.417777,,,,,,9823019.2980653
2021-04-25,348308752.344814,,,,,,15906318.8407843
2021-04-26,414601549.681402,,,,,,28053242.5993175
2021-04-27,451506434.03387,,,,,,20246792.0036467
2021-04-28,458402393.834605,,,,,,52199253.6302034
2021-04-29,447645980.43076,,,,,,8102747.91568305
2021-04-30,463126271.761216,,,,,,8394721.53485632
2021-05-01,463196663.059397,,,,,,7307562.16470372
2021-05-02,485337398.816204,,,,,,20886418.7458539
