time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2024-11-19,,,,,,7897258.68819781
2024-11-20,,,,,,7299718.46286217
2024-11-21,,,,,,7667070.84180653
2024-11-22,,,,,,8041507.99083646
2024-11-23,,,,,,8670283.08029482
2024-11-24,,,,,,7893299.53027442
2024-11-25,,,,,,7636459.67814011
2024-11-26,,,,,,8680676.64591719
2024-11-27,,,,,,7563449.28905167
2024-11-28,,,,,,8478613.41414672
2024-11-29,,,,,,7489485.13060467
2024-11-30,,,,,,7526211.53562119
2024-12-01,,,,,,7235398.03259546
2024-12-02,,,,,,7106924.6457285
2024-12-03,,,,,,8481143.0719146
2024-12-04,,,,,,7930838.64500075
2024-12-05,,,,,,6913023.97435774
2024-12-06,,,,,,7857073.94484545
2024-12-07,,,,,,8024368.19316557
2024-12-08,,,,,,7814662.29352337
2024-12-09,,,,,,8976207.64973348
2024-12-10,,,,,,11436521.6237791
2024-12-11,,,,,,9765410.36507355
2024-12-12,,,,,,8468748.95403668
2024-12-13,,,,,,7934856.50199409
2024-12-14,,,,,,7925481.03511407
2024-12-15,,,,,,6536244.96868113
2024-12-16,,,,,,8325307.24523684
2024-12-17,,,,,,7809652.73756574
2024-12-18,,,,,,8706985.04748243
2024-12-19,,,,,,9616941.01770667
2024-12-20,,,,,,9920075.97767502
2024-12-21,,,,,,7679686.65196198
2024-12-22,,,,,,6518683.61196705
2024-12-23,,,,,,6665229.1249802
2024-12-24,,,,,,6746091.5466775
2024-12-25,,,,,,6740223.72389966
2024-12-26,,,,,,6046696.55358859
2024-12-27,,,,,,6716354.58794501
2024-12-28,,,,,,5607598.20697155
2024-12-29,,,,,,5733672.44797056
2024-12-30,,,,,,6049944.37319265
2024-12-31,,,,,,6120483.43568464
2025-01-01,,,,,,5232642.21622106
2025-01-02,,,,,,6534390.48804639
2025-01-03,,,,,,5744946.27084502
2025-01-04,,,,,,5903648.41988515
2025-01-05,,,,,,4952245.13378449
2025-01-06,,,,,,6291002.33693969
2025-01-07,,,,,,6842068.58508389
2025-01-08,,,,,,7495090.65369414
