time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,principal_market_price_usd,principal_market_usd
2020-12-18,314975355.009667709269536,,,,,,,
2020-12-19,583244704.303126151037336,,,,,,,
2020-12-20,899991121.405245772474728,,,,,,,
2020-12-21,578572554.080784586413324,,,,,,,
2020-12-22,661050121.52427609266256,,,,,,,
2020-12-23,514654774.666185076556958,,,,,,,
2020-12-24,502431366.498988792617804,,,,,,,
2020-12-25,443619673.509622028175276,,,,,,,
2020-12-26,589748908.349073577413582,,,,,,,
2020-12-27,483545011.829703117021312,,,,,,,
2020-12-28,471319098.010513540381152,,,,,,,
2020-12-29,446854563.989892291771174,,,,,,,
2020-12-30,458318983.916267802879876,,,,,,,
2020-12-31,429588597.882417685949562,,,,,,,
2021-01-01,442054862.462495669047362,,,,,,,
2021-01-02,400177676.42044485050394,,,,,,,
2021-01-03,369835634.98272352797108,,,,,,,
2021-01-04,374969158.837201147009518,,,,,,,
2021-01-05,406110793.87042649151459,,,,,,,
2021-01-06,455203727.52435247418115,,,,,,,
2021-01-07,422841471.935862179593536,,,,,,,
2021-01-08,405620573.251429884286536,,,,,,,
2021-01-09,431237191.439430438724038,,,,,,,
2021-01-10,399747670.104783732867954,,,,,,,
2021-01-11,353820250.889078457486444,,,,,,,
2021-01-12,336511609.142641848685068,,,,,,,
2021-01-13,401090377.491787958733876,,,,,,,
2021-01-14,406883959.964175259650318,,,,,,,
2021-01-15,415070885.657630999488536,,,,,,,
2021-01-16,562289909.21640929362971,,,,,,,
2021-01-17,650821444.362000654379806,,,,,,,
2021-01-18,766705755.972735704757996,,,,,,,
2021-01-19,662477503.727630493634056,,,,,,,
2021-01-20,635846136.046005019443126,,,,,,,
2021-01-21,543657346.64411786583201,,,,,,,
2021-01-22,624799784.812143767632806,,,,,,,
2021-01-23,709109421.801747547530066,,,,,,,
2021-01-24,680492654.863452073153758,,,,,,,
2021-01-25,652663269.8304217727397,,,,,,,
2021-01-26,659405477.350687758661308,,,,,,,
2021-01-27,592828073.212805647964994,,,,,,,
2021-01-28,694557750.93405563694117,,,,,,,
2021-01-29,678081673.410463751792532,,,,,,,
2021-01-30,783597529.218867635215086,,,,,,,
2021-01-31,996709845.854986884876918,,,,,,,
2021-02-01,956905547.178021696529638,,,,,,,
2021-02-02,930518349.56624582257518,,,,,,,
2021-02-03,1015792205.636703448761132,,,,,,,
2021-02-04,1010045009.630630513331558,,,,,,,
2021-02-05,1161529983.372832112691366,,,,,,,
2021-02-06,1058868121.523737768772646,,,,,,,
2021-02-07,1121506050.055075589959236,,,,,,,
2021-02-08,1179284423.250581262522414,,,,,,,
2021-02-09,1292541096.01441991857002,,,,,,,
2021-02-10,1538552237.30507902784844,,,,,,,
2021-02-11,2487346232.94388865260614,,,,,,,
2021-02-12,2791704075.18401748454092,,,,,,,
2021-02-13,2880995231.87326547415654,,,,,,,
2021-02-14,2672119612.80814289306112,,,,,,,
2021-02-15,2618256578.8196173791123,,,,,,,
2021-02-16,2541651251.2683654843,,,,,,,
2021-02-17,2667521177.56354658639718,,,,,,,
2021-02-18,2810320640.53376479964016,,,,,,,
2021-02-19,2632509614.31461474802942,,,,,,,
2021-02-20,2792888646.72047107420842,,,,,,,
2021-02-21,2782974473.86046937299334,,,,,,,
2021-02-22,2462536043.5507344216366,,,,,,,
2021-02-23,2045021078.17312005708072,,,,,,,
2021-02-24,2300778712.91567735886996,,,,,,,
2021-02-25,2140683924.09268447811436,,,,,,,
2021-02-26,2106729461.87450935253052,,,,,,,
2021-02-27,2049622137.35352756570186,,,,,,,
2021-02-28,1941689685.02031641953848,,,,,,,
2021-03-01,2324077272.70820729926584,,,,,,,
2021-03-02,2230570767.6018673176153,,,,,,,
2021-03-03,2433462439.96868310773202,,,,,,,
2021-03-04,2276347669.1555625668604,,,,,,,
2021-03-05,2247168236.7420127013952,,,,,,,
2021-03-06,2201070855.08896244069502,,,,,,,
2021-03-07,2296738512.2364250871823,,,,,,,
2021-03-08,2323137917.99294843573208,,,,,,,
2021-03-09,2610532508.77792292906688,,,,,,,
2021-03-10,2488433226.6770380693068,,,,,,,
2021-03-11,2341400131.41816081038388,,,,,,,
2021-03-12,2117231601.20659206178146,,,,,,,
2021-03-13,2204795207.38519328192868,,,,,,,
