time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-11-04,,,,,,20489.8244877387
2025-11-05,,,,,,14459.763093257
2025-11-06,,,,,,12192.9610206625
2025-11-07,,,,,,9490.71019772584
2025-11-08,,,,,,9398.55262768863
2025-11-09,,,,,,9505.34784048009
2025-11-10,,,,,,10823.4411433455
2025-11-11,,,,,,10040.4143530494
2025-11-12,,,,,,9706.66778167462
2025-11-13,,,,,,9485.61918009312
2025-11-14,,,,,,10309.9287693533
2025-11-15,,,,,,9715.31660182974
2025-11-16,,,,,,9029.36679483806
2025-11-17,,,,,,8812.29120857543
2025-11-18,,,,,,10720.2697869919
2025-11-19,,,,,,9518.38163155877
2025-11-20,,,,,,15521.9914735352
2025-11-21,,,,,,8483.52864166706
2025-11-22,,,,,,9749.57513636475
2025-11-23,,,,,,9880.77005246106
2025-11-24,,,,,,5800.9250565481
2025-11-25,,,,,,6208.03703387526
2025-11-26,,,,,,13045.7022969312
2025-11-27,,,,,,11695.2898215743
2025-11-28,,,,,,12225.4022925352
2025-11-29,,,,,,11742.484015564
2025-11-30,,,,,,11848.4151851418
2025-12-01,,,,,,12448.2553895592
2025-12-02,,,,,,20592.2115301578
2025-12-03,,,,,,13559.2077670343
2025-12-04,,,,,,12797.6271668119
2025-12-05,,,,,,13139.1782934928
2025-12-06,,,,,,11995.9222897988
2025-12-07,,,,,,11816.0719915058
2025-12-08,,,,,,12688.1061984461
2025-12-09,,,,,,12815.1657918073
2025-12-10,,,,,,16862.9451276596
2025-12-11,,,,,,12504.6667090747
2025-12-12,,,,,,18851.2532434216
2025-12-13,,,,,,11661.1777952851
2025-12-14,,,,,,10966.6089802156
2025-12-15,,,,,,11428.7505244401
2025-12-16,,,,,,11553.2234451237
2025-12-17,,,,,,11848.1485903878
2025-12-18,,,,,,12330.8451962731
2025-12-19,,,,,,13291.0271358728
2025-12-20,,,,,,11749.7721420542
2025-12-21,,,,,,11568.4216895946
2025-12-22,,,,,,13524.7088495127
2025-12-23,,,,,,12116.6645140171
2025-12-24,,,,,,11735.9380418582
2025-12-25,,,,,,11294.7622360935
2025-12-26,,,,,,12481.4104559612
2025-12-27,,,,,,11517.7767330052
2025-12-28,,,,,,11842.4133888517
2025-12-29,,,,,,11656.3264634099
2025-12-30,,,,,,10862.5769890771
2025-12-31,,,,,,11479.6373821732
2026-01-01,,,,,,11693.8367445748
2026-01-02,,,,,,13635.7849818576
2026-01-03,,,,,,11785.0103641805
2026-01-04,,,,,,11651.9833591458
2026-01-05,,,,,,13680.255372833
2026-01-06,,,,,,12706.7980310996
2026-01-07,,,,,,14718.8287722451
2026-01-08,,,,,,13662.7998505712
2026-01-09,,,,,,12360.6374946094
2026-01-10,,,,,,11863.2239147269
2026-01-11,,,,,,11918.8583166438
2026-01-12,,,,,,12471.55083394
2026-01-13,,,,,,12179.4568123746
2026-01-14,,,,,,16437.3564832047
2026-01-15,,,,,,15546.0317705358
2026-01-16,,,,,,14700.0121283956
2026-01-17,,,,,,12143.4942215558
2026-01-18,,,,,,12023.3709484383
2026-01-19,,,,,,13619.1339564844
2026-01-20,,,,,,17020.7739572733
2026-01-21,,,,,,15467.6837745861
2026-01-22,,,,,,12620.3952487908
2026-01-23,226.245333149209,0.00253083013262333,0.0767481509089299,192.502058354627,226.245333149209,13686.5395849058
2026-01-24,223.483231736727,0.00249870082416004,0.0757160994537725,189.04529980705,223.483231736727,12232.2964650857
2026-01-25,224.473353022684,0.00251693957077561,0.0760755884756937,189.900966491312,224.473353022684,11747.537834097
2026-01-26,224.420624445222,0.00259608865205958,0.0799553135726933,189.171675962689,224.420624445222,14197.2272360086
2026-01-27,224.196907060479,0.00253795978387275,0.0765130291650546,188.78299711904,224.196907060479,12419.6362119311
2026-01-28,224.655728392831,0.00251685828622256,0.0743198161809833,186.836392974529,224.655728392831,12542.0200471891
2026-01-29,220.051017110257,0.00246755407326331,0.0731445626626769,183.865929781748,220.051017110257,
