time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2023-04-24,,,,,,66048.4025051088
2023-04-25,,,,,,84858.5566210655
2023-04-26,,,,,,71454.4619849142
2023-04-27,,,,,,69041.0157221117
2023-04-28,,,,,,60275.8024648013
2023-04-29,,,,,,61034.4406821966
2023-04-30,,,,,,75678.3974057322
2023-05-01,,,,,,69149.383935368
2023-05-02,,,,,,63163.2884572531
2023-05-03,,,,,,94706.3458392505
2023-05-04,,,,,,64920.5953588551
2023-05-05,,,,,,68895.1079278144
2023-05-06,,,,,,73812.8591994828
2023-05-07,,,,,,73045.1859624644
2023-05-08,,,,,,117974.493726153
2023-05-09,,,,,,64162.6491536233
2023-05-10,,,,,,99614.7220296341
2023-05-11,,,,,,64744.3364786958
2023-05-12,,,,,,90772.0360477812
2023-05-13,,,,,,52737.1374662909
2023-05-14,,,,,,53715.4978569981
2023-05-15,,,,,,62129.0364685536
2023-05-16,,,,,,58506.13669913
2023-05-17,,,,,,59893.5856825315
2023-05-18,,,,,,61142.9653398516
2023-05-19,,,,,,61844.3225113028
2023-05-20,,,,,,53367.0848050033
2023-05-21,,,,,,70148.9069125675
2023-05-22,,,,,,60935.3130873182
2023-05-23,,,,,,62734.6035493953
2023-05-24,,,,,,88386.3134971332
2023-05-25,,,,,,50886.6335119605
2023-05-26,,,,,,57176.1262886912
2023-05-27,,,,,,52951.0265007939
2023-05-28,,,,,,60868.5879573004
2023-05-29,,,,,,53170.2938525414
2023-05-30,,,,,,62751.3987323647
2023-05-31,,,,,,100613.799713938
2023-06-01,,,,,,58521.2153085289
2023-06-02,,,,,,60631.0662993172
2023-06-03,,,,,,54192.3409101432
2023-06-04,,,,,,61150.4215481488
2023-06-05,,,,,,59077.0777002988
2023-06-06,,,,,,67423.4165212522
2023-06-07,,,,,,59775.3658856423
2023-06-08,,,,,,56940.5203122079
2023-06-09,,,,,,53208.3207821557
2023-06-10,,,,,,78030.5702327065
2023-06-11,,,,,,55263.2905446698
2023-06-12,,,,,,58358.5756643394
2023-06-13,,,,,,58565.3236591994
