time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-12-01,,,,,,45466.6355149404
2025-12-02,,,,,,86723.3084967007
2025-12-03,,,,,,119332.349166616
2025-12-04,,,,,,77893.5107483655
2025-12-05,,,,,,74243.3589413153
2025-12-06,,,,,,54309.6484115463
2025-12-07,,,,,,54113.8328360913
2025-12-08,,,,,,129194.848866459
2025-12-09,,,,,,84767.1176759675
2025-12-10,,,,,,72958.8548427495
2025-12-11,,,,,,92361.0011028774
2025-12-12,,,,,,84265.4540370609
2025-12-13,,,,,,52222.1925482773
2025-12-14,,,,,,55870.474839793
2025-12-15,,,,,,81246.1477437787
2025-12-16,,,,,,118721.427931008
2025-12-17,,,,,,99875.2551674355
2025-12-18,,,,,,122719.586340477
2025-12-19,,,,,,95236.9464294337
2025-12-20,,,,,,65496.6888855228
2025-12-21,,,,,,54251.8926065663
2025-12-22,,,,,,81560.6370208321
2025-12-23,,,,,,88132.698185844
2025-12-24,,,,,,63806.0838456418
2025-12-25,,,,,,51736.0410302514
2025-12-26,,,,,,74216.7713744017
2025-12-27,,,,,,53436.2612717612
2025-12-28,,,,,,54265.6222486361
2025-12-29,,,,,,71882.5575322991
2025-12-30,,,,,,67337.0423083372
2025-12-31,,,,,,83047.0565068671
2026-01-01,,,,,,56297.0887875953
2026-01-02,,,,,,865866.184471567
2026-01-03,,,,,,53858.0922416658
2026-01-04,,,,,,55954.5286378678
2026-01-05,,,,,,1266951.38499396
2026-01-06,,,,,,1015374.94754571
2026-01-07,,,,,,805435.11129324
2026-01-08,,,,,,1092299.61021471
2026-01-09,,,,,,621861.793555463
2026-01-10,,,,,,66855.45203137
2026-01-11,,,,,,55096.8958632163
2026-01-12,,,,,,1480504.33879764
2026-01-13,,,,,,826518.317152453
2026-01-14,,,,,,944290.675215301
2026-01-15,,,,,,1042254.15044574
2026-01-16,,,,,,1200915.33548745
2026-01-17,,,,,,54668.8171054875
2026-01-18,,,,,,57744.774100646
2026-01-19,,,,,,55061.6710294386
2026-01-20,308.088736117477,0.00332974440090399,0.0967280413186683,264.704191554045,308.088736117477,1738298.43632121
2026-01-21,294.286313105474,0.00333519691223881,0.100171748905512,250.9959546311,294.286313105474,1480651.67077919
2026-01-22,300.456400442374,0.00335333192285214,0.100420739218375,257.394768242697,300.456400442374,687590.285727752
2026-01-23,297.409238049334,0.0033268852484104,0.100888751011128,253.05224952605,297.409238049334,840406.091010943
2026-01-24,294.37373421653,0.00329130685368121,0.0997337955215113,249.011840431245,294.37373421653,57211.5398025867
2026-01-25,294.321768083198,0.00330012491306433,0.0997477046011482,248.991639612489,294.321768083198,56641.0472642536
2026-01-26,294.449810648136,0.00340618342861487,0.104904916827456,248.201627211853,294.449810648136,
