time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2026-03-25,,,,,,228632.365804031
2026-03-26,,,,,,155190.203762953
2026-03-27,,,,,,204152.411601793
2026-03-28,,,,,,290120.774867562
2026-03-29,,,,,,101094.927301295
2026-03-30,,,,,,42703.7940149008
2026-03-31,,,,,,43774.0430935552
2026-04-01,,,,,,55795.1603013979
2026-04-02,,,,,,110456.451643343
2026-04-03,,,,,,45488.450637682
2026-04-04,,,,,,25752.7039424889
2026-04-05,,,,,,90002.7348628472
2026-04-06,,,,,,75034.3845805325
2026-04-07,,,,,,67316.2884921998
2026-04-08,,,,,,65127.5093942674
2026-04-09,,,,,,56013.3703373079
2026-04-10,,,,,,119752.806064187
2026-04-11,,,,,,81951.4518449949
2026-04-12,,,,,,845603.235558458
2026-04-13,0.0157096508073011,0.000000222247558066779,0.00000717289727761747,0.0134654055276246,0.0157096508073011,442808.733603731
2026-04-14,0.0140212916943505,0.00000018787050622792,0.00000590821734155195,0.0119172712757835,0.0140212916943505,184402.249019572
2026-04-15,0.0140284288386817,0.000000189129908356704,0.00000603837910819728,0.0118921431061479,0.0140284288386817,114845.703671688
2026-04-16,0.013139787852194,0.000000175754983338144,0.00000557532229197928,0.0111311284757774,0.013139787852194,44611.6426566569
2026-04-17,0.0128540369265154,0.000000171168646914938,0.00000547066572920204,0.0109082467433294,0.0128540369265154,32930.9641454346
2026-04-18,0.0129756090162168,0.000000168264232271873,0.00000535680637112913,0.0110310540132709,0.0129756090162168,247081.209634507
2026-04-19,0.0132272837766281,0.000000174520696785349,0.00000561924940558532,0.0112469892173612,0.0132272837766281,
