time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2021-07-22,,,,,,,4663031.13588528
2021-07-23,,,,,,,4339886.47443617
2021-07-24,,,,,,,4215277.40836187
2021-07-25,,,,,,,6021432.86943348
2021-07-26,,,,,,,11505406.3876457
2021-07-27,,,,,,,6058523.16018211
2021-07-28,,,,,,,3317433.91708071
2021-07-29,,,,,,,16810213.5575891
2021-07-30,,,,,,,21510060.1452166
2021-07-31,,,,,,,7881266.83183325
2021-08-01,,,,,,,15255570.2623215
2021-08-02,,,,,,,7604812.0820629
2021-08-03,,,,,,,3852068.39631045
2021-08-04,,,,,,,9375956.47244886
2021-08-05,,,,,,,18790777.4839431
2021-08-06,,,,,,,11312690.6683219
2021-08-07,,,,,,,13181694.3097484
2021-08-08,,,,,,,17049878.7839472
2021-08-09,,,,,,,8222208.66709668
2021-08-10,,,,,,,7204148.74810279
2021-08-11,,,,,,,11109657.0697809
2021-08-12,,,,,,,13631286.9826656
2021-08-13,,,,,,,9988728.96589405
2021-08-14,,,,,,,9992826.98263362
2021-08-15,,,,,,,27326129.9772607
2021-08-16,,,,,,,12176463.1186584
2021-08-17,,,,,,,8417871.06608541
2021-08-18,,,,,,,6818796.92846156
2021-08-19,,,,,,,5993383.5710303
2021-08-20,,,,,,,4919023.27544702
2021-08-21,,,,,,,7023061.15794536
2021-08-22,,,,,,,4708107.7548742
2021-08-23,,,,,,,26697831.638276
2021-08-24,,,,,,,132850459.510959
2021-08-25,,,,,,,17388088.0825434
2021-08-26,,,,,,,6695097.93944587
2021-08-27,,,,,,,96121559.1977127
2021-08-28,,,,,,,49159875.0501439
2021-08-29,,,,,,,11456222.2962898
2021-08-30,,,,,,,6029081.31272028
2021-08-31,,,,,,,7979583.12037634
2021-09-01,,,,,,,24037417.4113438
2021-09-02,,,,,,,54810805.5155885
2021-09-03,,,,,,,29441260.2176
2021-09-04,,,,,,,34564361.004099
2021-09-05,,,,,,,54815943.869123
2021-09-06,,,,,,,36002858.6889472
2021-09-07,,,,,,,33461559.6196069
2021-09-08,,,,,,,39800428.5342658
2021-09-09,,,,,,,18726829.0497623
2021-09-10,,,,,,,9987902.10726994
2021-09-11,,,,,,,3649912.08044492
2021-09-12,,,,,,,3600896.87603739
2021-09-13,,,,,,,49579832.9126199
2021-09-14,,,,,,,10238286.1344199
2021-09-15,,,,,,,5683859.30519979
2021-09-16,,,,,,,4589972.55415912
2021-09-17,,,,,,,4892476.18665097
2021-09-18,,,,,,,4794599.3291934
2021-09-19,,,,,,,9474705.34309121
2021-09-20,,,,,,,7836237.24065438
2021-09-21,,,,,,,11987636.8669072
2021-09-22,,,,,,,8835623.79850754
2021-09-23,,,,,,,5943675.4208497
2021-09-24,,,,,,,23836405.4299245
2021-09-25,,,,,,,3267888.83129158
2021-09-26,,,,,,,2748241.7807534
2021-09-27,,,,,,,2406506.64480663
2021-09-28,,,,,,,2341397.42858886
2021-09-29,,,,,,,4272896.58249738
2021-09-30,,,,,,,46750842.3820248
2021-10-01,,,,,,,28384176.8679298
2021-10-02,,,,,,,9849582.63606032
2021-10-03,,,,,,,5013922.36096965
2021-10-04,,,,,,,4334687.1928221
2021-10-05,,,,,,,61614479.6825197
2021-10-06,,,,,,,47660747.1450281
2021-10-07,,,,,,,17363914.1601631
2021-10-08,,,,,,,638039787.311875
2021-10-09,,,,,,,264887239.868437
2021-10-10,,,,,,,21001265.9522485
2021-10-11,,,,,,,361917371.875046
2021-10-12,,,,,,,31362631.6754428
2021-10-13,,,,,,,33063712.6680153
2021-10-14,,,,,,,147505880.421884
2021-10-15,,,,,,,44419933.9009652
2021-10-16,,,,,,,24654763.9353041
2021-10-17,,,,,,,11465871.1672679
2021-10-18,,,,,,,10915310.4126089
2021-10-19,,,,,,,10645399.7240844
2021-10-20,,,,,,,9548122.63588737
2021-10-21,,,,,,,9190217.06529874
2021-10-22,,,,,,,14397544.1677423
2021-10-23,,,,,,,5562303.83147673
2021-10-24,,,,,,,4322294.55407294
2021-10-25,,,,,,,7043487.29828042
2021-10-26,,,,,,,4942032.84280065
2021-10-27,,,,,,,12445120.9609418
2021-10-28,,,,,,,7136557.18157877
2021-10-29,,,,,,,6327307.03853943
2021-10-30,,,,,,,8513893.58623733
2021-10-31,,,,,,,13385689.8643863
2021-11-01,,,,,,,8126349.05021366
2021-11-02,,,,,,,9950487.39356915
2021-11-03,,,,,,,12580016.3129902
2021-11-04,,,,,,,8353487.92089383
2021-11-05,,,,,,,7560854.49885559
2021-11-06,,,,,,,17592558.8376448
2021-11-07,,,,,,,6782174.40285436
2021-11-08,,,,,,,7210695.19675657
2021-11-09,,,,,,,6336076.6286643
2021-11-10,,,,,,,10597258.1039501
2021-11-11,,,,,,,18368791.3747457
2021-11-12,,,,,,,5204813.08920712
2021-11-13,,,,,,,3816227.33580468
2021-11-14,,,,,,,3662246.93875303
2021-11-15,,,,,,,6329514.77367269
2021-11-16,,,,,,,88559180.477924
2021-11-17,,,,,,,35828424.4405191
2021-11-18,,,,,,,32303760.3218421
2021-11-19,,,,,,,8224177.19353582
2021-11-20,,,,,,,10047314.7669705
2021-11-21,,,,,,,6094647.88694463
2021-11-22,,,,,,,8095123.90762956
2021-11-23,,,,,,,10789397.5589172
2021-11-24,,,,,,,15101293.0327262
2021-11-25,,,,,,,29061409.0107016
2021-11-26,,,,,,,25159018.4904759
2021-11-27,,,,,,,5366659.462546
2021-11-28,,,,,,,28359978.5283742
2021-11-29,,,,,,,9612495.11002443
2021-11-30,,,,,,,11831112.4905243
2021-12-01,,,,,,,7188459.26957161
2021-12-02,,,,,,,32752510.2079747
2021-12-03,,,,,,,12163898.7808358
2021-12-04,,,,,,,28348919.5718207
2021-12-05,,,,,,,10094918.406473
2021-12-06,,,,,,,8846433.44861717
2021-12-07,,,,,,,5469087.48860856
2021-12-08,,,,,,,4721946.0950447
2021-12-09,,,,,,,3426195.62515936
2021-12-10,,,,,,,4678749.54446268
2021-12-11,,,,,,,2236409.24583199
2021-12-12,,,,,,,3147737.2431886
2021-12-13,,,,,,,2930229.27096892
2021-12-14,,,,,,,12131268.1390876
2021-12-15,,,,,,,3247657.13505775
2021-12-16,,,,,,,2937035.93348579
2021-12-17,,,,,,,2842336.40523137
2021-12-18,,,,,,,2223201.56852203
2021-12-19,,,,,,,2678685.38702893
2021-12-20,,,,,,,2124451.91638386
2021-12-21,,,,,,,4183181.35931722
2021-12-22,,,,,,,2341059.42865512
2021-12-23,,,,,,,2952799.74789308
2021-12-24,,,,,,,3305060.74711608
2021-12-25,,,,,,,1760347.73419345
2021-12-26,,,,,,,1787221.34967946
2021-12-27,,,,,,,2340192.77735631
2021-12-28,,,,,,,2836953.56137846
2021-12-29,,,,,,,1800407.05619585
2021-12-30,,,,,,,1372522.39313832
2021-12-31,,,,,,,1252339.71811749
2022-01-01,,,,,,,718053.43309155
2022-01-02,,,,,,,5908160.39963353
2022-01-03,,,,,,,5995234.4945469
2022-01-04,,,,,,,2786593.81901071
