time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2026-01-23,,,,,,12255645.5278874
2026-01-24,,,,,,165062.815858757
2026-01-25,,,,,,55067.5727984966
2026-01-26,,,,,,9078248.98360299
2026-01-27,,,,,,9525077.35770965
2026-01-28,,,,,,7159115.48721334
2026-01-29,,,,,,11726108.5110717
2026-01-30,,,,,,11077228.0164082
2026-01-31,,,,,,159504.191917942
2026-02-01,,,,,,54430.5650656226
2026-02-02,,,,,,8111971.89189144
2026-02-03,,,,,,4322464.60079416
2026-02-04,,,,,,3190050.98358887
2026-02-05,,,,,,8871041.59464574
2026-02-09,,,,,,3804765.0885371
2026-02-10,,,,,,2286323.77422509
2026-02-11,,,,,,1883620.81680225
2026-02-12,,,,,,1745014.28782913
2026-02-13,,,,,,1865706.54990015
2026-02-14,42.0400173302839,0.000610506880544121,0.0205222183045825,35.4450376851333,42.0400173302839,80453.7954104827
2026-02-15,41.7195535946892,0.000597717789908747,0.0199936573061964,35.2256004396884,41.7195535946892,56445.1236558769
2026-02-16,41.7173996818967,0.00060785988650529,0.0212813247201729,35.1828132266062,41.7173996818967,54623.9690926671
2026-02-17,41.6293121575351,0.000605539833210854,0.020852273827543,35.1439058385923,41.6293121575351,353292.682112232
2026-02-18,40.6811384270776,0.000602942119866791,0.0204178436394788,34.3384784461407,40.6811384270776,151750.882256901
2026-02-19,41.9826365621748,0.000632452386907475,0.0215088868291347,35.6330176796027,41.9826365621748,135408.955189478
2026-02-20,42.9520800567148,0.000641723749985006,0.0220508905152268,36.5018977325593,42.9520800567148,
