time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2024-12-12,,,,,,23338476.1720675
2024-12-13,,,,,,20484053.4271366
2024-12-14,,,,,,28293371.3168902
2024-12-15,,,,,,18118709.052399
2024-12-16,,,,,,33834005.0974504
2024-12-17,,,,,,15706708.602869
2024-12-18,,,,,,18060875.61259
2024-12-19,,,,,,10072406.7984624
2024-12-20,,,,,,5497304.07050737
2024-12-21,,,,,,3704426.79204976
2024-12-22,,,,,,3378920.1424112
2024-12-23,,,,,,3077975.43124867
2024-12-24,,,,,,2193062.33316726
2024-12-25,,,,,,1989367.3180299
2024-12-26,,,,,,1988539.53551578
2024-12-27,,,,,,1333447.96500668
2024-12-28,,,,,,772192.915869447
2024-12-29,,,,,,1739261.52440678
2024-12-30,,,,,,1720242.35830887
2024-12-31,,,,,,1140828.02849127
2025-01-01,,,,,,1335296.47124984
2025-01-02,,,,,,1336297.18890757
2025-01-03,,,,,,1443339.36985256
2025-01-04,,,,,,1338992.53904696
2025-01-05,,,,,,842281.817617482
2025-01-06,,,,,,1989070.97261655
2025-01-07,,,,,,1586089.33803477
2025-01-08,,,,,,725092.836348795
2025-01-09,,,,,,1671001.74860796
2025-01-10,,,,,,1917941.15751394
2025-01-11,,,,,,1302853.55980158
2025-01-12,,,,,,1019792.88464966
2025-01-13,,,,,,2240043.3927294
2025-01-14,,,,,,1984766.48376787
2025-01-15,,,,,,2813967.75449184
2025-01-16,,,,,,2027524.17742077
2025-01-17,,,,,,2101931.25164627
2025-01-18,,,,,,1941609.94084568
2025-01-19,,,,,,5436650.76023251
2025-01-20,,,,,,9254736.49989704
2025-01-21,,,,,,1075543.04992431
2025-01-22,,,,,,802881.891423379
2025-01-23,,,,,,1404410.44343599
2025-01-24,,,,,,2071123.06831028
2025-01-25,,,,,,1560613.56995228
2025-01-26,,,,,,1007315.73343118
2025-01-27,,,,,,980779.347533589
2025-01-28,,,,,,503633.054898863
2025-01-29,,,,,,496561.796679452
2025-01-30,,,,,,836911.574429693
2025-01-31,,,,,,884141.533094045
2025-02-01,,,,,,869745.252856403
2025-02-02,,,,,,986555.759718599
2025-02-03,,,,,,1302869.18401985
2025-02-04,,,,,,853309.408504485
2025-02-05,,,,,,1276054.49307373
2025-02-06,,,,,,611609.766046499
2025-02-07,,,,,,1234137.42495508
2025-02-08,,,,,,594565.52755153
2025-02-09,,,,,,475934.030140626
2025-02-10,,,,,,305180.443962298
2025-02-11,,,,,,739564.46365941
2025-02-12,,,,,,281417.051516472
2025-02-13,,,,,,190159.322146139
2025-02-14,,,,,,358621.104207212
2025-02-15,,,,,,328803.705611704
2025-02-16,,,,,,198718.123355519
2025-02-17,,,,,,353674.146867068
2025-02-18,,,,,,475034.401712391
2025-02-19,,,,,,352466.261160708
2025-02-20,,,,,,486924.039202081
2025-02-21,,,,,,590903.34538682
2025-02-22,,,,,,331374.154884545
2025-02-23,,,,,,244035.798334243
2025-02-24,,,,,,376345.010402918
2025-02-25,,,,,,503051.848584665
2025-02-26,,,,,,349725.73179179
2025-02-27,,,,,,407458.992803445
2025-02-28,,,,,,379677.29957343
2025-03-01,,,,,,333506.923598953
2025-03-02,,,,,,534547.02643246
2025-03-03,,,,,,323651.893973334
2025-03-04,,,,,,1302366.3693305
2025-03-05,,,,,,1488055.03555329
2025-03-06,,,,,,1011385.52827312
2025-03-07,,,,,,933468.570979939
2025-03-08,,,,,,290497.274417663
2025-03-09,,,,,,519662.12844542
2025-03-10,,,,,,530552.664167011
2025-03-11,,,,,,675800.099640937
2025-03-12,,,,,,619710.317183795
2025-03-13,,,,,,682301.699220685
2025-03-14,,,,,,311671.217022991
2025-03-15,,,,,,220534.21290295
2025-03-16,,,,,,211712.613291095
2025-03-17,,,,,,370601.522529032
2025-03-18,,,,,,331096.044037019
2025-03-19,,,,,,284071.145011437
2025-03-20,,,,,,420412.825162785
2025-03-21,,,,,,147154.393842895
2025-03-22,,,,,,166073.735279155
2025-03-23,,,,,,175468.928820711
2025-03-24,,,,,,203676.617167328
2025-03-25,,,,,,263403.415625929
2025-03-26,,,,,,224765.635454815
2025-03-27,,,,,,244969.813596908
2025-03-28,,,,,,380929.569835699
2025-03-29,,,,,,188437.829467541
2025-03-30,,,,,,138259.772356603
2025-03-31,,,,,,186971.026957843
