time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2021-07-22,,,,,,50726254.8520025
2021-07-23,,,,,,60269879.9924932
2021-07-24,,,,,,69030395.701014
2021-07-25,,,,,,56938280.1091269
2021-07-26,,,,,,140498294.408927
2021-07-27,,,,,,113441731.250463
2021-07-28,,,,,,141966860.053664
2021-07-29,,,,,,130472893.003949
2021-07-30,,,,,,98139901.9037592
2021-07-31,,,,,,78011587.6972215
2021-08-01,,,,,,111398101.364279
2021-08-02,,,,,,97229636.7606696
2021-08-03,,,,,,221350475.134452
2021-08-04,,,,,,206249915.457698
2021-08-05,,,,,,132241762.30229
2021-08-06,,,,,,106898239.453555
2021-08-07,,,,,,118223018.579895
2021-08-08,,,,,,81645369.2412194
2021-08-09,,,,,,99321114.3283177
2021-08-10,,,,,,147146684.886248
2021-08-11,,,,,,130127109.87787
2021-08-12,,,,,,99232764.6105373
2021-08-13,,,,,,67988038.4757421
2021-08-14,,,,,,58251884.4275677
2021-08-15,,,,,,102175866.453901
2021-08-16,,,,,,340001730.149165
2021-08-17,,,,,,477134728.288618
2021-08-18,,,,,,544891561.032908
2021-08-19,,,,,,522903353.338121
2021-08-20,,,,,,289611051.807744
2021-08-21,,,,,,195396069.747382
2021-08-22,,,,,,164113518.06944
2021-08-23,,,,,,238356025.814528
2021-08-24,,,,,,536430875.969991
2021-08-25,,,,,,196424831.204011
2021-08-26,,,,,,182491183.837632
2021-08-27,,,,,,267728060.176142
2021-08-28,,,,,,280734195.019052
2021-08-29,,,,,,225643611.052894
2021-08-30,,,,,,266965916.578225
2021-08-31,,,,,,190861445.582099
2021-09-01,,,,,,150746140.771414
2021-09-02,,,,,,143896258.036137
2021-09-03,,,,,,142483893.52721
2021-09-04,,,,,,76101486.4369898
2021-09-05,,,,,,142131442.540346
2021-09-06,,,,,,149761005.368152
2021-09-07,,,,,,269932945.501161
2021-09-08,,,,,,289003787.494009
2021-09-09,,,,,,194300557.177306
2021-09-10,,,,,,723696279.677189
2021-09-11,,,,,,404772283.32314
2021-09-12,,,,,,280300079.529399
2021-09-13,,,,,,264392324.725905
2021-09-14,,,,,,156622165.347531
2021-09-15,,,,,,141937195.900677
2021-09-16,,,,,,227625618.219577
2021-09-17,,,,,,169869272.897244
2021-09-18,,,,,,113226854.425319
2021-09-19,,,,,,166945419.080485
2021-09-20,,,,,,276038341.940497
2021-09-21,,,,,,268331273.948397
2021-09-22,,,,,,231538090.94996
2021-09-23,,,,,,265263094.19313
2021-09-24,,,,,,521868365.895092
2021-09-25,,,,,,292198509.12638
2021-09-26,,,,,,251990238.31432
2021-09-27,,,,,,292669405.294542
2021-09-28,,,,,,218444449.197973
2021-09-29,,,,,,203970700.404751
2021-09-30,,,,,,202996203.144846
2021-10-01,,,,,,234673969.561617
2021-10-02,,,,,,321307216.2789
2021-10-03,,,,,,439783123.146603
2021-10-04,,,,,,568323498.178527
2021-10-05,,,,,,299408788.155283
2021-10-06,,,,,,287862386.800973
