time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-08-05,,,,,,233595.840395953
2025-08-06,,,,,,5328476.87272704
2025-08-07,,,,,,4241721.79817551
2025-08-08,,,,,,2928439.09571338
2025-08-09,,,,,,1633528.6759242
2025-08-10,,,,,,1866593.52108306
2025-08-11,,,,,,1777225.8186659
2025-08-12,,,,,,1987344.63044709
2025-08-13,,,,,,2106503.13450522
2025-08-14,,,,,,1706898.41334862
2025-08-15,,,,,,1435077.1082739
2025-08-16,,,,,,597023.362894961
2025-08-17,,,,,,4711109.04220113
2025-08-18,,,,,,4341087.0188451
2025-08-19,,,,,,1220678.47731023
2025-08-20,,,,,,1718277.53815653
2025-08-21,,,,,,800995.353882982
2025-08-22,,,,,,1704643.33485993
2025-08-23,,,,,,834077.161767192
2025-08-24,,,,,,943898.145493379
2025-08-25,,,,,,1088400.3353393
2025-08-26,,,,,,1025713.71757638
2025-08-27,,,,,,1031851.3687953
2025-08-28,,,,,,869498.234710834
2025-08-29,,,,,,987472.944439544
2025-08-30,,,,,,702131.751874625
2025-08-31,,,,,,458058.889539925
2025-09-01,,,,,,788712.549334467
2025-09-02,,,,,,848147.135342738
2025-09-03,,,,,,853807.810516317
2025-09-04,,,,,,879052.655234484
2025-09-05,,,,,,419851.305416642
2025-09-06,,,,,,367407.0595536
2025-09-07,,,,,,1106357.25508126
2025-09-08,,,,,,1588267.89934863
2025-09-09,,,,,,2413085.25476038
2025-09-10,,,,,,1044110.69340958
2025-09-11,,,,,,819766.654033411
2025-09-12,,,,,,2278927.75303519
2025-09-13,,,,,,960724.816766982
2025-09-14,,,,,,879272.217316127
2025-09-15,,,,,,655455.30442014
2025-09-16,,,,,,664323.036487664
2025-09-17,,,,,,489613.87665464
2025-09-18,,,,,,1074503.3106183
2025-09-19,,,,,,1018575.60759122
2025-09-20,,,,,,1438560.83591656
2025-09-21,,,,,,3252708.37450685
2025-09-22,,,,,,1817917.38963887
2025-09-23,,,,,,691747.211858001
2025-09-24,,,,,,1048290.99873774
2025-09-25,,,,,,1030149.82844745
2025-09-26,,,,,,2469437.05693002
2025-09-27,,,,,,11422358.686543
2025-09-28,,,,,,14243354.8573882
2025-09-29,,,,,,1259164.12504777
2025-09-30,,,,,,711890.39608844
2025-10-01,,,,,,4534394.46571594
2025-10-02,,,,,,1096267.49363277
2025-10-03,,,,,,705060.742450828
2025-10-04,,,,,,1483283.55907624
2025-10-05,,,,,,1789127.73135818
2025-10-06,,,,,,676449.721577117
2025-10-07,,,,,,417303.683204238
2025-10-08,,,,,,711032.632646725
2025-10-09,,,,,,722238.016653588
2025-10-10,,,,,,724626.89525499
2025-10-11,,,,,,803684.724786123
2025-10-12,,,,,,710232.794065514
2025-10-13,,,,,,324630.687824491
2025-10-14,,,,,,326652.582865479
2025-10-15,,,,,,201787.197955243
2025-10-16,,,,,,310417.241089168
2025-10-17,,,,,,361191.457263069
2025-10-18,,,,,,184254.845021542
2025-10-19,,,,,,317708.464092499
2025-10-20,,,,,,165506.161425893
2025-10-21,,,,,,285998.622375577
2025-10-22,,,,,,393015.107129862
2025-10-23,,,,,,283925.694100911
2025-10-24,,,,,,593848.12048775
2025-10-25,,,,,,671554.44214922
2025-10-26,,,,,,992158.129194455
2025-10-27,,,,,,474110.097362094
2025-10-28,,,,,,576098.058640725
2025-10-29,,,,,,926973.311861417
2025-10-30,,,,,,827826.62890148
2025-10-31,,,,,,385674.236676846
2025-11-01,,,,,,433098.527246377
2025-11-02,,,,,,338308.336456533
2025-11-03,,,,,,366071.409227165
2025-11-04,,,,,,627345.859380027
2025-11-05,,,,,,441613.383126485
2025-11-06,,,,,,328137.302376606
2025-11-07,,,,,,355093.118480362
2025-11-08,,,,,,191251.001370291
2025-11-09,,,,,,210281.347256282
2025-11-10,,,,,,240966.201953895
