time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2024-06-11,,,,,,228756.193470943
2024-06-12,,,,,,150894.175249066
2024-06-13,,,,,,235533.008865393
2024-06-14,,,,,,71919.3641318499
2024-06-15,,,,,,162083.028484004
2024-06-16,,,,,,53928.118095904
2024-06-17,,,,,,32589.1033351588
2024-06-18,,,,,,149684.285426226
2024-06-19,,,,,,124341.523135937
2024-06-20,,,,,,34324.3045537562
2024-06-21,,,,,,26356.726294036
2024-06-22,,,,,,377630.098234064
2024-06-23,,,,,,88298.5300967608
2024-06-24,,,,,,192318.779709517
2024-06-25,,,,,,4110613.30712724
2024-06-26,,,,,,1001812.6832261
2024-06-27,,,,,,1002105.7887433
2024-06-28,,,,,,174505.956459081
2024-06-29,,,,,,258019.862452412
2024-06-30,,,,,,149201.753930374
2024-07-01,,,,,,869537.004033429
2024-07-02,,,,,,1415764.79553466
2024-07-03,,,,,,3009879.70767438
2024-07-04,,,,,,1303692.69333517
2024-07-05,,,,,,1760941.47611412
2024-07-06,,,,,,819588.078441105
2024-07-07,,,,,,389449.055447155
2024-07-08,,,,,,820483.124782798
2024-07-09,,,,,,388824.102943159
2024-07-10,,,,,,191350.615899952
2024-07-11,,,,,,781177.907356699
2024-07-12,,,,,,251230.793066599
2024-07-13,,,,,,94420.1559235178
2024-07-14,,,,,,347287.165739427
2024-07-15,,,,,,888820.457819752
2024-07-16,,,,,,274397.127557356
2024-07-17,,,,,,442973.811521937
2024-07-18,,,,,,504064.16767019
2024-07-19,,,,,,532788.61056391
2024-07-20,,,,,,274817.705929227
2024-07-21,,,,,,323705.098991388
2024-07-22,,,,,,466861.709555717
2024-07-23,,,,,,304971.851272287
2024-07-24,,,,,,745304.11021413
2024-07-25,,,,,,1653561.87961696
2024-07-26,,,,,,612664.584481027
2024-07-27,,,,,,415832.718229962
2024-07-28,,,,,,183584.506225183
2024-07-29,,,,,,495341.357616877
2024-07-30,,,,,,525660.496256898
2024-07-31,,,,,,641389.307352514
2024-08-01,,,,,,1611750.85289208
2024-08-02,,,,,,1887017.64580929
2024-08-03,,,,,,1642208.4770663
2024-08-04,,,,,,1709345.28704341
2024-08-05,,,,,,9758948.41901775
2024-08-06,,,,,,555433.228123195
2024-08-07,,,,,,487012.615731431
2024-08-08,,,,,,968282.152556102
2024-08-09,,,,,,558491.917353931
2024-08-10,,,,,,860294.880577295
2024-08-11,,,,,,525255.771943631
2024-08-12,,,,,,352051.799292152
2024-08-13,,,,,,959672.739974838
2024-08-14,,,,,,393907.53419073
2024-08-15,,,,,,1378091.42196065
2024-08-16,,,,,,365096.136751403
2024-08-17,,,,,,290446.143092304
