time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-08-28,,,,,,2024291.87336189
2025-08-29,,,,,,58036708.9112783
2025-08-30,,,,,,45980157.5991569
2025-08-31,,,,,,92786032.3496512
2025-09-01,,,,,,42752766.5941741
2025-09-02,,,,,,20097466.1319013
2025-09-03,,,,,,10946619.8971985
2025-09-04,,,,,,21704969.5093056
2025-09-05,,,,,,15348657.1675726
2025-09-06,,,,,,47871432.4063848
2025-09-07,,,,,,37455015.9817499
2025-09-08,,,,,,20774344.2015521
2025-09-09,,,,,,48642479.8990073
2025-09-10,,,,,,19316203.3143259
2025-09-11,,,,,,12541615.7892606
2025-09-12,,,,,,28567093.4526893
2025-09-13,,,,,,53381153.1203198
2025-09-14,,,,,,370818513.046067
2025-09-15,,,,,,342192299.79746
2025-09-16,,,,,,62229155.5536908
2025-09-17,,,,,,24712134.002691
2025-09-18,,,,,,21422247.8657533
2025-09-19,,,,,,18630751.4298112
2025-09-20,,,,,,21317558.3051293
2025-09-21,,,,,,25877621.6291337
2025-09-22,,,,,,14970361.3219093
2025-09-23,,,,,,13948709.8077374
2025-09-24,,,,,,9878305.32029586
2025-09-25,,,,,,13634705.9192848
2025-09-26,,,,,,9666204.9025622
2025-09-27,,,,,,6614596.38611194
2025-09-28,,,,,,6879863.44828034
2025-09-29,,,,,,32554648.1415801
2025-09-30,,,,,,8719241.94244899
2025-10-01,,,,,,13650704.5145701
2025-10-02,,,,,,10571244.183444
2025-10-03,,,,,,8900439.04372639
2025-10-04,,,,,,22094992.938743
2025-10-05,,,,,,7007672.31810078
2025-10-06,,,,,,5076842.13840687
2025-10-07,,,,,,6350958.23137219
2025-10-08,,,,,,9059573.81097802
2025-10-09,,,,,,5647407.75745456
2025-10-10,,,,,,8696491.65141532
2025-10-11,,,,,,6343008.14132499
2025-10-12,,,,,,4663964.65832674
2025-10-13,,,,,,4049420.1129614
2025-10-14,,,,,,2656874.66438268
2025-10-15,,,,,,2539974.71727118
2025-10-16,,,,,,2714557.07487574
2025-10-17,,,,,,2425368.81920521
2025-10-18,,,,,,15410247.129589
2025-10-19,,,,,,6450405.81801143
2025-10-20,,,,,,2143197.03106796
2025-10-21,,,,,,1696241.04760595
2025-10-22,,,,,,1267669.31555031
2025-10-23,,,,,,1690200.67757599
2025-10-24,,,,,,963416.878094453
2025-10-25,,,,,,2684290.68687965
2025-10-26,,,,,,1227335.37978798
2025-10-27,,,,,,1355519.53467486
2025-10-28,,,,,,1037338.55630724
2025-10-29,,,,,,985039.932520103
2025-10-30,,,,,,1457272.65989623
2025-10-31,,,,,,1638247.88847039
2025-11-01,,,,,,993524.843627796
2025-11-02,,,,,,1325522.82988743
2025-11-03,,,,,,5887829.40691169
2025-11-04,,,,,,1788214.08637291
2025-11-05,,,,,,17351804.8188165
2025-11-06,,,,,,16579204.9169523
2025-11-07,,,,,,4428785.27171955
2025-11-08,,,,,,1324248.08854298
2025-11-09,,,,,,2249162.48745395
2025-11-10,,,,,,1014813.7717536
2025-11-11,,,,,,1050537.69376873
2025-11-12,,,,,,3160911.68892616
2025-11-13,,,,,,2238616.00565353
2025-11-14,,,,,,2746132.82520469
2025-11-15,,,,,,949234.892611219
2025-11-16,,,,,,1178206.82467153
2025-11-17,,,,,,857162.623433351
2025-11-18,,,,,,657708.379515334
2025-11-19,0.0777898816186003,0.000000837923987791765,0.0000249531325747717,0.0671645088939034,0.0777898816186003,642715.627169762
2025-11-20,0.0773488680746932,0.000000847004605262923,0.0000256509997314007,0.0670379353397803,0.0773488680746932,1404978.03162911
2025-11-21,0.0787535696828481,0.000000906137308285961,0.0000276835911474337,0.0683062877825424,0.0787535696828481,10655411.6474299
2025-11-22,0.09116908017921,0.0000010732333953292,0.0000330677777903851,0.0792058656442683,0.09116908017921,3506207.24536968
2025-11-23,0.0842641444837601,0.000000993973965765578,0.0000303969367301471,0.0732343413110908,0.0842641444837601,5284259.23996872
2025-11-24,0.0921052772061227,0.0000010602356933893,0.0000328681304191687,0.0800980812602467,0.0921052772061227,6775516.73962285
2025-11-25,0.0892477436088041,0.00000100984572043844,0.000030164912754136,0.0774883151835033,0.0892477436088041,
