time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2026-01-21,,,,,,3548341.15959083
2026-01-22,,,,,,7604986.24214714
2026-01-23,,,,,,88799661.4987269
2026-01-24,,,,,,52518971.1408701
2026-01-25,,,,,,20648060.9155994
2026-01-26,,,,,,4849713.01209234
2026-01-27,,,,,,3070193.30458826
2026-01-28,,,,,,2586588.62934152
2026-01-29,0.207479669724867,0.00000232658458421212,0.00006896586938209,0.173361808937508,0.207479669724867,3755991.17759185
2026-01-30,0.188977399945336,0.00000223587921919947,0.0000670480961444738,0.15792604003679,0.188977399945336,6803850.2008628
2026-01-31,0.192367775339399,0.00000228962825886582,0.0000712568128070699,0.162414438159741,0.192367775339399,
