time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,principal_market_price_usd,principal_market_usd
2023-08-17,19980738.246300324424197510552,,,,,,,
2023-08-18,19738002.443240571905426740135,,,,,,,
2023-08-19,19805374.218470910589430972065,,,,,,,
2023-08-20,19949807.19364965060462380974,,,,,,,
2023-08-21,19901012.791086126496417646905,,,,,,,
2023-08-22,19629326.594414523438103867965,,,,,,,
2023-08-23,20275585.476191346139983394505,,,,,,,
2023-08-24,20363081.315907064028562425912,,,,,,,
2023-08-25,20099087.845010280175066256764,,,,,,,
2023-08-26,20327818.552633201832280352124,,,,,,,
2023-08-27,20164544.396587995145371082984,,,,,,,
2023-08-28,20374558.96001112439061288222,,,,,,,
2023-08-29,20627857.046009698407608399144,,,,,,,
2023-08-30,20343451.982449420742747250716,,,,,,,
2023-08-31,20465906.033734888172842120686,,,,,,,
2023-09-01,20049957.84580357210731961979,,,,,,,
2023-09-02,19972668.294584552827894173939,,,,,,,
2023-09-03,19945158.176883528993095035328,,,,,,,
2023-09-04,19968299.741937728803237719771,,,,,,,
2023-09-05,19938128.365697810153296573244,,,,,,,
2023-09-06,19736729.793365846162801551305,,,,,,,
2023-09-07,19865796.997226689719394713609,,,,,,,
2023-09-08,19586921.098532188065475611788,,,,,,,
2023-09-09,19604062.545876306569275874136,,,,,,,
2023-09-10,19705897.810057043901472237097,,,,,,,
2023-09-11,19042836.521296265335576038204,,,,,,,
2023-09-12,19198004.081004723024757343069,,,,,,,
2023-09-13,19362778.766573088937217228919,,,,,,,
2023-09-14,19303637.641310651553117124749,,,,,,,
2023-09-15,16874284.282558579927867270296,,,,,,,
2023-09-16,17138428.540309838642295223473,,,,,,,
2023-09-17,16939489.001993239018596559265,,,,,,,
2023-09-18,17087880.699700900399153904466,,,,,,,
2023-09-19,17070734.90825764880033962032,,,,,,,
2023-09-20,17101673.70179609436609323238,,,,,,,
2023-09-21,17496280.55755685812931746236,,,,,,,
2023-09-22,17540567.6439447309814134891,,,,,,,
2023-09-23,17561756.564785042203299990482,,,,,,,
2023-09-24,17140803.22217849990973776145,,,,,,,
2023-09-25,17399259.746560860875036980137,,,,,,,
2023-09-26,17028688.398885416734086208356,,,,,,,
2023-09-27,17111580.876905569844982711219,,,,,,,
2023-09-28,17502599.888583909399151612644,,,,,,,
2023-09-29,16842584.614581549412774799575,,,,,,,
2023-09-30,16682774.818122071816475332092,,,,,,,
2023-10-01,16540662.059737580099772189701,,,,,,,
2023-10-02,17446841.162761144174695572584,,,,,,,
2023-10-03,16444077.195830136999789401795,,,,,,,
2023-10-04,15831070.59854257595736257484,,,,,,,
2023-10-05,16356349.543416233667339256443,,,,,,,
2023-10-06,15619293.465949167894027859626,,,,,,,
2023-10-07,16132350.769216185242956412124,,,,,,,
2023-10-08,15818348.16428991182587031709,,,,,,,
2023-10-09,15644041.260868707266615717152,,,,,,,
2023-10-10,15071406.11148277507154136728,,,,,,,
2023-10-11,15048445.468585059017143867811,,,,,,,
2023-10-12,14536653.943160787117121508536,,,,,,,
2023-10-13,14809597.48071227199787457308,,,,,,,
2023-10-14,14486443.017625839859878380348,,,,,,,
2023-10-15,14695629.637064316963460209695,,,,,,,
2023-10-16,14482430.138144032919488496898,,,,,,,
2023-10-17,14852545.672053369587868289416,,,,,,,
2023-10-18,13829397.870181047087635158002,,,,,,,
2023-10-19,14799516.343480676089372977796,,,,,,,
2023-10-20,13124319.645940264155146716171,,,,,,,
2023-10-21,13429246.534923047998528269261,,,,,,,
2023-10-22,16010922.787338999904336240392,,,,,,,
2023-10-23,27948736.000431456439896627246,,,,,,,
2023-10-24,23224664.3117944865007684359,,,,,,,
2023-10-25,20795885.852719580312558315792,,,,,,,
2023-10-26,18358973.99423516467040995806,,,,,,,
2023-10-27,18792084.27371994941826625197,,,,,,,
2023-10-28,19244923.01105541681186320694,,,,,,,
2023-10-29,18444831.343368316392682955952,,,,,,,
2023-10-30,20638220.32792762615561873548,,,,,,,
2023-10-31,20887285.3060011344528719074,,,,,,,
2023-11-01,23124225.932471075303794419315,,,,,,,
2023-11-02,21655168.193361026633079198945,,,,,,,
2023-11-03,21361649.883136439982592879224,,,,,,,
2023-11-04,26153607.471249121222822709068,,,,,,,
2023-11-05,23353625.642921469294496548708,,,,,,,
2023-11-06,23915690.85270282848147064925,,,,,,,
2023-11-07,23693705.547069065618537070381,,,,,,,
2023-11-08,22642877.768263389174360772503,,,,,,,
2023-11-09,21929120.021648211357524085064,,,,,,,
2023-11-10,21650437.27816270738105519873,,,,,,,
2023-11-11,25999584.813480046010260085495,,,,,,,
2023-11-12,27145781.96152249362244916423,,,,,,,
2023-11-13,25281374.595280971999978080704,,,,,,,
2023-11-14,30024818.318263783262565426496,,,,,,,
2023-11-15,26718631.453688128267848196656,,,,,,,
2023-11-16,23600858.449530599862766538102,,,,,,,
2023-11-17,23350793.469519301744612685536,,,,,,,
2023-11-18,22300141.875824151416722776195,,,,,,,
2023-11-19,21350805.852725054806148042512,,,,,,,
2023-11-20,22611430.570523442898410828708,,,,,,,
2023-11-21,21675386.304543552105116849328,,,,,,,
2023-11-22,22137591.606115818329404063587,,,,,,,
2023-11-23,22884176.9691592630610192418,,,,,,,
2023-11-24,23528344.574816063947331710375,,,,,,,
2023-11-25,23171014.562561426207324817958,,,,,,,
2023-11-26,24663770.455169006379724442158,,,,,,,
2023-11-27,24418120.317464607533790500574,,,,,,,
2023-11-28,24457589.175285606640232208093,,,,,,,
2023-11-29,26518120.768977725804912985528,,,,,,,
2023-11-30,26313664.161196717975578192592,,,,,,,
2023-12-01,26101507.495685769602313159429,,,,,,,
2023-12-02,25217140.696002447825050362671,,,,,,,
2023-12-03,24585335.45009534668191108873,,,,,,,
2023-12-04,22935952.90868602254161162012,,,,,,,
2023-12-05,22362830.815783518456696295726,,,,,,,
2023-12-06,22333036.74765336743184291894,,,,,,,
2023-12-07,22249460.946702573555607620788,,,,,,,
2023-12-08,26552082.335214618316382138112,,,,,,,
2023-12-09,24398290.3149765733725081603,,,,,,,
2023-12-10,25687973.615118864914377235212,,,,,,,
2023-12-11,28581954.10995439955148276943,,,,,,,
2023-12-12,27678208.79216561641882519612,,,,,,,
2023-12-13,30948559.85396003115805329872,,,,,,,
2023-12-14,27980160.794887542751663612875,,,,,,,
2023-12-15,27015953.551115119279621860915,,,,,,,
2023-12-16,31781939.09902528186684237194,,,,,,,
2023-12-17,32605367.040799157501841269484,,,,,,,
2023-12-18,28074147.459115602799377625788,,,,,,,
2023-12-19,28198938.217139694152768603109,,,,,,,
2023-12-20,28623366.565606584608965723782,,,,,,,
2023-12-21,29534767.50553564764031476131,,,,,,,
2023-12-22,28598124.77422165410794501136,,,,,,,
2023-12-23,28746898.408477475567944290688,,,,,,,
2023-12-24,32128363.373593789702710214542,,,,,,,
2023-12-25,32064934.369345962337201319513,,,,,,,
2023-12-26,30280019.192659683353492570052,,,,,,,
2023-12-27,32202680.350218256855762087131,,,,,,,
2023-12-28,30134563.658435614426017704465,,,,,,,
2023-12-29,27955261.449257879762639117244,,,,,,,
2023-12-30,29310434.558599847100574350132,,,,,,,
2023-12-31,28934284.362994549599421672587,,,,,,,
2024-01-01,28355787.05686575636172594744,,,,,,,
2024-01-02,28239267.522389387685956655051,,,,,,,
2024-01-03,24953420.340016876294946947416,,,,,,,
2024-01-04,25100500.769158016542611102735,,,,,,,
2024-01-05,23137001.07579269395250018571,,,,,,,
2024-01-06,22099430.696170838125635209857,,,,,,,
2024-01-07,21713776.837809084394247957194,,,,,,,
2024-01-08,20825906.756700960862883940036,,,,,,,
2024-01-09,20490413.090977304618357399604,,,,,,,
2024-01-10,20993892.080920663424470963443,,,,,,,
2024-01-11,22333725.330015584101556855733,,,,,,,
2024-01-12,21527114.270157951551699151616,,,,,,,
2024-01-13,21119496.019122337065985008165,,,,,,,
2024-01-14,21574984.880205028031352149448,,,,,,,
2024-01-15,20640414.523553438270929071896,,,,,,,
2024-01-16,21153099.207832173804510764788,,,,,,,
2024-01-17,21420080.934036524701618211359,,,,,,,
2024-01-18,19595868.64781162864693074722,,,,,,,
2024-01-19,19991181.534633883672805783317,,,,,,,
2024-01-20,20254639.529195795591618396534,,,,,,,
2024-01-21,21265711.384231970472406266424,,,,,,,
2024-01-22,20831354.10198671992250918676,,,,,,,
2024-01-23,19772953.915204585493296658575,,,,,,,
2024-01-24,19920836.153627579370707720008,,,,,,,
2024-01-25,19130876.108024420697830151104,,,,,,,
2024-01-26,18295222.9725638244833066301,,,,,,,
2024-01-27,19270094.29993826793550202694,,,,,,,
2024-01-28,18853903.603712211441598176505,,,,,,,
2024-01-29,18309865.164215924165148239114,,,,,,,
2024-01-30,18031502.454684147846647066375,,,,,,,
2024-01-31,17231909.176545348216131167422,,,,,,,
