time,CapMrktEstUSD,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,principal_market_price_usd,principal_market_usd
2019-06-22,68215097.5868204840914290451994,,,,,,,
2019-06-23,66027488.909244141473445557215,,,,,,,
2019-06-24,66722829.5123479827504507937792,,,,,,,
2019-06-25,66105333.6878721672352843992042,,,,,,,
2019-06-26,62458196.8424968331693868861036,,,,,,,
2019-06-27,56187669.2827395947690519233062,,,,,,,
2019-06-28,64089485.6524421877323258737857,,,,,,,
2019-06-29,64084464.39959461239347878389,,,,,,,
2019-06-30,59678466.0154788040488443519296,,,,,,,
2019-07-01,67608105.4709490111438675730392,,,,,,,
2019-07-02,63200781.9983495960298390322347,,,,,,,
2019-07-03,69519720.0092803855105315096908,,,,,,,
2019-07-04,66592413.4098104140853610551028,,,,,,,
2019-07-05,70468136.07381434155972906609,,,,,,,
2019-07-06,71756190.462853358684552480484,,,,,,,
2019-07-07,70764083.6582674978423418155825,,,,,,,
2019-07-08,66818413.441722788270165299036,,,,,,,
2019-07-09,63851717.1321891689853295660149,,,,,,,
2019-07-10,58376749.5641635503101862637553,,,,,,,
2019-07-11,52363237.9682410269552580672296,,,,,,,
2019-07-12,53497688.2723720072588695618798,,,,,,,
2019-07-13,54280478.5409028794018892696882,,,,,,,
2019-07-14,47397588.2958058797851227835384,,,,,,,
2019-07-15,45090251.0844519016055019457938,,,,,,,
2019-07-16,37847240.2375023719360821702908,,,,,,,
2019-07-17,39136979.6639326615989329437644,,,,,,,
2019-07-18,42790650.8476351945784476301848,,,,,,,
2019-07-19,42416629.930438371774176712358,,,,,,,
2019-07-20,44468508.858335937081423780788,,,,,,,
2019-07-21,43633526.307854538848064539675,,,,,,,
2019-07-22,43133137.0201207069199894232182,,,,,,,
2019-07-23,40835931.45247947475058680742,,,,,,,
2019-07-24,41125833.7452215693220328312413,,,,,,,
2019-07-25,41302618.0584779613047912548992,,,,,,,
2019-07-26,42489557.577529508635774854912,,,,,,,
2019-07-27,39157885.9345997555035452981361,,,,,,,
2019-07-28,39273986.72795929382569726136,,,,,,,
2019-07-29,38542511.7956534832907908200703,,,,,,,
2019-07-30,38449500.1905449963932283103107,,,,,,,
2019-07-31,39130124.8204966077999498489888,,,,,,,
2019-08-01,36914699.4667381571766039319344,,,,,,,
2019-08-02,37471498.8605989920405974729904,,,,,,,
2019-08-03,37767916.236325431507969931516,,,,,,,
2019-08-04,40799833.4908482990712559091809,,,,,,,
2019-08-05,39077883.9327664118552107820478,,,,,,,
2019-08-06,36912861.9154109306171303280225,,,,,,,
2019-08-07,37038131.0965474568867992955734,,,,,,,
2019-08-08,34680389.7836409276439927919585,,,,,,,
2019-08-09,31389493.8937953477664473414469,,,,,,,
2019-08-10,31621391.5963852387334630497971,,,,,,,
2019-08-11,32342175.1986857144737903774596,,,,,,,
2019-08-12,31749635.0233625200295240044,,,,,,,
2019-08-13,30616266.1125274279403758193427,,,,,,,
2019-08-14,27637192.8871803645657075393854,,,,,,,
2019-08-15,29186657.159513045606418692308,,,,,,,
2019-08-16,30896170.5841107938198630910494,,,,,,,
2019-08-17,34010005.1360982852699925773125,,,,,,,
2019-08-18,32792828.4992353285033993726545,,,,,,,
2019-08-19,33017517.2521908465408222070356,,,,,,,
2019-08-20,31438925.245004700782956216746,,,,,,,
2019-08-21,31254897.720770310580680035845,,,,,,,
2019-08-22,31977726.6947232303068341654854,,,,,,,
2019-08-23,31968575.1297279101938877942692,,,,,,,
2019-08-24,38470252.9924693233833629266895,,,,,,,
2019-08-25,34827693.5955024807799199850952,,,,,,,
2019-08-26,34434195.686719309160247876098,,,,,,,
2019-08-27,35941587.1278710963410923792336,,,,,,,
2019-08-28,33631369.7262102131056849206608,,,,,,,
2019-08-29,31750349.225373222260315027602,,,,,,,
2019-08-30,31750333.6868851786117971225644,,,,,,,
2019-08-31,31881815.7552359835495940864154,,,,,,,
2019-09-01,31253158.915635693607333542538,,,,,,,
2019-09-02,32369795.5842810824080676996192,,,,,,,
2019-09-03,32774288.2617491798911013469988,,,,,,,
2019-09-04,31713789.5752240259449352740384,,,,,,,
2019-09-05,32125744.5348241024892994838883,,,,,,,
2019-09-06,29798208.4670115889295568574524,,,,,,,
2019-09-07,31341602.4130389421651713137968,,,,,,,
2019-09-08,31261564.763216339634872739619,,,,,,,
2019-09-09,32735797.0646108937583772136336,,,,,,,
2019-09-10,31607541.5224430524301273296872,,,,,,,
2019-09-11,30823203.9685026510629667295106,,,,,,,
2019-09-12,29771343.3267669743455297545097,,,,,,,
2019-09-13,30576902.9152625418182325722368,,,,,,,
