time,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-11-04,,,,,,4074729.6068492
2025-11-05,,,,,,4720057.72007277
2025-11-06,,,,,,4328974.65727116
2025-11-07,,,,,,1216698.95968694
2025-11-08,,,,,,1237490.27229649
2025-11-09,,,,,,246093.548770044
2025-11-10,,,,,,527524.112021887
2025-11-11,,,,,,227707.548103557
2025-11-12,,,,,,280743.474677924
2025-11-13,,,,,,205053.346579219
2025-11-14,,,,,,527526.508588043
2025-11-15,,,,,,389668.973211395
2025-11-16,,,,,,706037.592250995
2025-11-17,,,,,,507512.627301838
2025-11-18,,,,,,492911.19844365
2025-11-19,,,,,,507579.552605178
2025-11-20,,,,,,471334.591456375
2025-11-21,,,,,,2030846.22847464
2025-11-22,,,,,,559736.320216613
2025-11-23,,,,,,347564.30755621
2025-11-24,,,,,,931844.020138768
2025-11-25,,,,,,494572.162595979
2025-11-26,,,,,,295567.310490455
2025-11-27,,,,,,289250.987527745
2025-11-28,,,,,,287353.422219218
2025-11-29,,,,,,392860.112041447
2025-11-30,,,,,,279110.895617265
2025-12-01,,,,,,312094.416348538
2025-12-02,,,,,,217433.038345759
2025-12-03,,,,,,333581.930062017
2025-12-04,,,,,,181018.129455508
2025-12-05,,,,,,289599.674147405
2025-12-06,,,,,,212108.782564357
2025-12-07,,,,,,688408.245250763
2025-12-08,,,,,,297728.148019114
2025-12-09,,,,,,388592.905606183
2025-12-10,,,,,,267176.656825002
2025-12-11,,,,,,526121.193953651
2025-12-12,,,,,,606463.772346201
2025-12-13,,,,,,198215.425946746
2025-12-14,,,,,,203515.379039948
2025-12-15,,,,,,287409.268056489
2025-12-16,,,,,,253225.01230767
2025-12-17,,,,,,227876.936639201
2025-12-18,,,,,,147468.184934412
2025-12-19,,,,,,182174.879567253
2025-12-20,,,,,,186050.678656183
2025-12-21,,,,,,122883.568097326
2025-12-22,,,,,,167359.106543267
2025-12-23,,,,,,205984.891466827
2025-12-24,,,,,,131171.364898198
2025-12-25,,,,,,132896.901682267
2025-12-26,,,,,,150062.39454559
2025-12-27,,,,,,121851.537803825
2025-12-28,,,,,,264698.069302803
2025-12-29,,,,,,331345.18925797
2025-12-30,,,,,,228947.584461103
2025-12-31,,,,,,170270.168366458
2026-01-01,,,,,,260156.390083963
2026-01-02,,,,,,186308.062706944
2026-01-03,,,,,,158205.962631647
2026-01-04,,,,,,210435.442811244
2026-01-05,,,,,,216580.131104184
2026-01-06,,,,,,151405.27908062
2026-01-07,,,,,,104299.790986748
2026-01-08,,,,,,104779.196236858
2026-01-09,,,,,,90307.5453902358
2026-01-10,,,,,,137383.814994694
2026-01-11,,,,,,133906.948631848
2026-01-12,,,,,,126570.21016743
2026-01-13,,,,,,259118.84425508
2026-01-14,,,,,,182580.414891292
2026-01-15,,,,,,189654.805289043
2026-01-16,,,,,,502167.79454642
2026-01-17,,,,,,190705.741638698
2026-01-18,,,,,,133747.418647374
2026-01-19,,,,,,243999.386230248
2026-01-20,,,,,,351873.295523279
2026-01-21,,,,,,1090531.7169999
2026-01-22,0.107253452724793,0.0000011970336672097,0.0000358470346795371,0.091881809030132,0.107253452724793,2433996.26916804
2026-01-23,0.108668623974688,0.0000012155911646782,0.0000368631513224399,0.0924612830793566,0.108668623974688,945143.58667844
2026-01-24,0.104216916809153,0.00000116521894684797,0.0000353086823407995,0.0881574788857636,0.104216916809153,537428.879052917
2026-01-25,0.0961630730050493,0.00000107824220752534,0.0000325903376502375,0.0813524645955998,0.0961630730050493,763922.651399925
2026-01-26,0.0963927418903073,0.00000111506731603189,0.0000343422620938852,0.0812526771062396,0.0963927418903073,551328.090265334
2026-01-27,0.0982090213955946,0.00000111174837326493,0.000033516384399922,0.0826960266592212,0.0982090213955946,99418.1228086619
2026-01-28,0.0953560066678338,0.00000106829038920999,0.0000315453380067569,0.0793034411440442,0.0953560066678338,
