time,CapMrktEstUSD,ReferenceRate,ReferenceRateUSD,volume_reported_spot_usd_1d
2025-07-30,,,,1145574.06686766
2025-07-31,,,,1013725.76146488
2025-08-01,,,,1425567.12789988
2025-08-02,,,,907983.927591018
2025-08-03,,,,478291.788975058
2025-08-04,,,,6968.11710066243
2025-08-05,,,,16171.3002344449
2025-08-06,,,,16733.8811730885
2025-08-07,,,,6799.53712258429
2025-08-08,,,,2780.23825527428
2025-08-09,,,,2155.0263337652
2025-08-10,,,,13903.1081305972
2025-08-11,,,,3195.48406648691
2025-08-12,,,,498594.231886218
2025-08-13,,,,1890.41865281476
2025-08-14,,,,4684.97486568981
2025-08-15,,,,1821.02628183277
2025-08-16,,,,2340.55424317326
2025-08-17,,,,3780.02863048274
2025-08-18,,,,4710.51841813939
2025-08-19,,,,1430.57246838342
2025-08-20,,,,6054.08365516436
2025-08-21,,,,14462.0485002634
2025-08-22,,,,1778.97682840461
2025-08-23,,,,4715.62040719651
2025-08-24,,,,2585.7405832503
2025-08-25,,,,1883.32366671856
2025-08-26,,,,3003.79006246814
2025-08-27,,,,1890.04500340514
2025-08-28,,,,1259.2858110911
2025-08-29,,,,1139.82003606549
2025-08-30,,,,752.361304579556
2025-08-31,,,,0
2025-09-01,,,,0
2025-09-02,,,,0
2025-09-03,,,,0
2025-09-04,,,,0
2025-09-05,,,,0
2025-09-06,,,,0
2025-09-07,,,,0
2025-09-08,,,,500681265.018736
2025-09-09,,,,277159886.728256
2025-09-10,,,,463901608.276129
2025-09-11,,,,167912690.853704
2025-09-12,,,,93267293.1852759
2025-09-13,,,,127482648.280619
2025-09-14,,,,236938476.802574
2025-09-15,,,,111111589.972706
2025-09-16,,,,75192096.6876464
2025-09-17,,,,94639823.4692595
2025-09-18,,,,176968254.940101
2025-09-19,,,,441778448.429683
2025-09-20,,,,595617191.535858
2025-09-21,,,,950391881.768337
2025-09-22,,,,967517164.656636
2025-09-23,,,,59349631.4562521
2025-09-24,,,,51506286.8617526
2025-09-25,,,,60888378.0341332
2025-09-26,125792898.0830081505,,,44020882.9321382
2025-09-27,118786638.233860207,,,27196527.5525684
2025-09-28,118560353.5362944795,,,26395078.5912831
2025-09-29,101098032.938545222,,,33878045.7779212
2025-09-30,92167946.185148656,,,30387690.5158311
2025-10-01,98537759.508243776,,,33552234.6707021
2025-10-02,95723335.1883964395,,,27804359.4906885
2025-10-03,132798213.801704211,,,360360376.407394
2025-10-04,115862369.3739743935,,,81885028.1186705
2025-10-05,129656509.505464616,,,220292103.629606
